Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	209.086	74	0.275183 0.0233109	0.911198 0.00353202	0.915536 0.00358664	
7.5	168.417	64	0.27033 0.0250271	0.920662 0.00334542	0.906998 0.00436325	
12.5	141.349	56.5	0.260483 0.0247192	0.921681 0.00347785	0.896777 0.00471419	
17.5	118.006	49.5	0.287012 0.0223105	0.929582 0.00318718	0.900366 0.00470023	
22.5	98.3196	42.5	0.321189 0.0226083	0.932227 0.00331464	0.880723 0.00612885	
27.5	81.3579	36	0.302057 0.0236561	0.93289 0.00333523	0.857975 0.00721878	
32.5	67.3962	30.5	0.332604 0.0208664	0.925988 0.00359035	0.842953 0.00715646	
37.5	55.3185	26	0.322806 0.0213047	0.918826 0.00450255	0.80618 0.00910964	
42.5	45.2326	22	0.359604 0.0214869	0.911955 0.00463462	0.77378 0.010829	
47.5	36.4731	18	0.274406 0.0239811	0.88365 0.00643832	0.714151 0.0125964	
52.5	29.009	14.5	0.164393 0.0251402	0.859219 0.0072585	0.683016 0.0140129	
57.5	22.6382	12	0.00202005 0.0274676	0.818497 0.00949741	0.6176 0.0164995	
62.5	17.6488	10	0.131953 0.0254759	0.770389 0.0106465	0.584109 0.0177561	
67.5	13.2292	8	0.289574 0.0218712	0.720486 0.0127915	0.54578 0.0200805	
72.5	9.61075	6	0.359442 0.0200367	0.688648 0.0131974	0.508712 0.0211284	
77.5	6.74343	4.5	0.423241 0.0191439	0.679371 0.0149948	0.472839 0.0223883	
82.5	4.51223	3.5	0.411243 0.0197014	0.653492 0.0165158	0.43494 0.0220204	
87.5	2.76352	2.5	0.420342 0.0244991	0.60844 0.0197101	0.405294 0.0254951	
92.5	1.43154	2	0.377785 0.02832	0.636103 0.026523	0.322314 0.0267162	
97.5	0.419767	2	0.156386 0.0355402	0.438968 0.0460153	0.372638 0.061434	
