Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	243.395	77.5	0.216798 2.15228e-05	0.214338 8.32944e-05	0.0268427 0.000675	0.141297 4.28646e-06	0.135766 1.80571e-05	0.0548847 0.0001141	
1.5	216.681	74	0.218301 0.000197414	0.217167 0.000519164	0.0114475 0.00389935	0.136076 0.000182755	0.140182 0.00513072	-0.0417915 0.0417326	
2.5	204.763	72.5	0.212526 3.48587e-07	0.209839 5.63997e-05	0.0276441 0.00248929	0.13396 0.000111472	0.126265 0.000362708	0.0772138 0.00448481	
3.5	195.218	71	0.211034 0.000146176	0.214568 0.00180038	-0.0364055 0.0233748	0.126466 5.61092e-06	0.132279 1.64963e-05	-0.0452569 8.34221e-05	
4.5	185.493	69	0.206984 0.00017809	0.205044 0.00368652	0.0189455 0.0336976	0.122513 3.48955e-06	0.130103 1.25228e-05	-0.0609482 6.99609e-05	
5.5	181.632	67.5	0.2126 0.000331405	0.206056 0.00214768	0.0543725 0.0192846	0.12299 7.68843e-05	0.119254 0.00256508	0.0322203 0.0220503	
6.5	173.921	66	0.197752 0.000551161	0.191926 0.153601	0.039878 0.293146	0.115248 0.000339507	0.120906 0.00239634	-0.0443398 0.0158589	
7.5	168.126	64.5	0.202683 4.43152e-05	0.192425 0.000266522	0.0709344 0.00396002	0.116349 4.38232e-05	0.112734 0.0001458	0.0278301 0.000626298	
8.5	163.401	63	0.200776 0.000215709	0.194092 0.00474699	0.0497329 0.0293685	0.115829 0.000692113	0.113669 0.00356345	0.016568 0.0200913	
9.5	156.22	61	0.204407 0.000105689	0.201675 0.000320153	0.0200454 0.000373937	0.112735 0.000207131	0.120474 0.000700999	-0.0552356 0.0046383	
10.5	153.381	59.5	0.197751 1.97161e-05	0.198433 0.00139406	-0.00491548 0.0141674	0.111487 4.80063e-05	0.113521 0.000171467	-0.014332 0.000954055	
11.5	146.86	58	0.203099 4.12717e-05	0.190827 0.0108347	0.0777914 0.0469072	0.112528 0.000184595	0.117639 0.000818529	-0.034407 0.00845856	
12.5	140.439	56.5	0.190952 0.000197565	0.189384 0.00251434	0.00995305 0.0172126	0.108763 9.71134e-06	0.113121 3.4482e-05	-0.0296533 0.000169045	
13.5	135.711	55	0.187801 6.67192e-05	0.178398 0.000183925	0.0548801 0.000417643	0.10611 0.000148755	0.115049 0.000184353	-0.0544294 0.00323137	
14.5	130.368	53.5	0.195145 9.59423e-06	0.194968 0.0082714	0.00101874 0.036628	0.100691 5.88694e-05	0.112086 0.00175917	-0.0815532 0.0126005	
