Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	188.713	70	0.207344 1.74309e-06	0.205327 5.64955e-06	0.0167499 3.24714e-05	0.123006 5.77411e-07	0.127104 1.71389e-06	-0.0337373 9.22323e-06	
15	130.174	53	0.191063 6.05859e-07	0.181281 0.000413321	0.0520893 0.00210442	0.103059 1.43917e-05	0.107748 4.95305e-05	-0.0285567 0.000313923	
25	89.7637	39.5	0.173603 2.54777e-06	0.163061 1.2395e-05	0.0393422 3.58204e-05	0.0832572 2.7635e-05	0.0908878 4.91426e-05	-0.037641 0.000476308	
35	61.2493	28.5	0.157284 2.28283e-05	0.143404 0.000290582	0.0415779 0.000905289	0.0642056 3.3304e-05	0.074109 0.000271171	-0.0441796 0.000798882	
45	40.827	20	0.136932 5.26726e-05	0.12901 0.00225992	0.0198643 0.00341163	0.0457388 1.00536e-06	0.0565422 6.04564e-06	-0.045354 2.16493e-05	
55	25.9426	13.5	0.112513 2.83253e-06	0.126563 2.02512e-05	-0.0319475 4.03952e-05	0.0304449 2.24266e-05	0.0451526 0.000129427	-0.0556418 0.00047982	
65	15.4761	9	0.0806739 8.14521e-06	0.115823 6.81165e-05	-0.0774471 0.000166181	0.0198204 3.27884e-07	0.036307 6.89002e-06	-0.0589394 1.996e-05	
75	8.19307	5.5	0.0609148 4.628e-06	0.114236 1.04786e-05	-0.115345 1.63129e-05	0.0127855 2.59294e-06	0.028415 1.53706e-06	-0.0516603 1.87291e-06	
85	3.63079	3	0.0437939 1.10735e-09	0.108262 1.18193e-08	-0.13929 1.998e-08	0.00661817 3.76253e-12	0.0177392 1.26141e-11	-0.0354858 2.78484e-11	
95	0.973276	2	0.0295307 1.02478e-07	0.0736722 8.71526e-07	-0.107732 1.5164e-06	0.00128742 3.33147e-12	0.00331119 4.51996e-12	-0.00635099 9.02343e-12	
