Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	243.395	77.5	1.57124 0.0693693
1.5	216.681	74	1.5517 0.0635867
2.5	204.763	72.5	1.55714 0.0701352
3.5	195.218	71	1.60409 0.0700607
4.5	185.493	69	1.56526 0.0636838
5.5	181.632	67.5	1.69491 0.0787494
6.5	173.921	66	1.70509 0.0772417
7.5	168.126	64.5	1.78955 0.0817686
8.5	163.401	63	1.73141 0.0663246
9.5	156.22	61	1.77459 0.0693728
10.5	153.381	59.5	1.76066 0.0676482
11.5	146.86	58	1.76203 0.0740759
12.5	140.439	56.5	1.75256 0.0734577
13.5	135.711	55	1.78473 0.0733836
14.5	130.368	53.5	2.07398 0.0803493
15.5	126.435	52	2.02536 0.0992234
16.5	122.468	50.5	2.0118 0.086195
17.5	117.45	49	1.98235 0.0934497
18.5	113.412	47.5	2.10447 0.0919259
19.5	109.92	46.5	1.97978 0.0876
20.5	105.395	45	2.07162 0.0918356
21.5	101.313	43.5	2.09086 0.0959184
22.5	98.3867	42.5	2.0909 0.0808383
23.5	95.5188	41	2.3159 0.0903856
24.5	91.6415	39.5	2.10958 0.0906843
25.5	87.5398	38.5	2.38518 0.103074
26.5	84.6635	37.5	2.51302 0.0975135
27.5	80.6609	36.5	2.26842 0.106887
28.5	78.3433	35.5	2.50699 0.0996702
29.5	75.2744	34	2.49855 0.112617
30.5	73.3791	32.5	2.53937 0.108888
31.5	70.0113	31.5	2.39386 0.0986097
32.5	67.2941	30.5	2.69161 0.117915
33.5	64.4857	29.5	2.79017 0.115127
34.5	62.3203	28.5	2.76967 0.103359
35.5	59.8953	27.5	2.80345 0.122644
36.5	57.0291	26.5	2.98543 0.121589
37.5	54.3925	26	3.12832 0.123249
38.5	52.8243	25.5	2.96764 0.123498
39.5	52.124	24.5	3.343 0.15531
40.5	49.3724	23.5	3.01261 0.129014
41.5	47.3815	22.5	3.39183 0.144565
42.5	44.917	21.5	3.20446 0.132926
43.5	42.7305	21	3.4928 0.164293
44.5	41.8764	20.5	3.56714 0.157782
45.5	39.1724	19.5	3.65211 0.150782
46.5	37.8848	18.5	3.98525 0.165871
47.5	36.3526	18	3.80667 0.173897
48.5	34.9574	17.5	3.7813 0.162157
49.5	33.4259	16.5	3.61659 0.167731
50.5	32.0935	16	3.93778 0.166861
51.5	30.4819	15.5	4.17411 0.191841
52.5	28.5049	14.5	4.12385 0.178299
53.5	27.2231	14	4.29003 0.189362
54.5	26.6077	13.5	3.84549 0.18455
55.5	24.8346	13	4.27414 0.21543
56.5	23.7011	12.5	4.30819 0.205306
57.5	22.4432	12	4.45498 0.205443
58.5	21.6996	11.5	4.90948 0.223053
59.5	20.7852	11	4.69842 0.21528
60.5	19.5594	10.5	4.68939 0.224941
61.5	18.8833	10	4.42566 0.201502
62.5	17.435	9.5	5.12662 0.252327
63.5	16.7762	9	4.38868 0.22611
64.5	15.6577	9	4.86285 0.244569
65.5	14.8497	8.5	4.53623 0.210405
66.5	14.0573	8	4.95866 0.26781
67.5	13.1555	8	4.94549 0.295401
68.5	12.3704	7.5	5.08555 0.287075
69.5	11.6351	7	5.21211 0.300091
70.5	11.0455	7	5.03571 0.281049
71.5	10.3058	6.5	5.0608 0.268867
72.5	9.55294	6	5.08319 0.281891
73.5	8.85423	6	5.5674 0.316552
74.5	8.39308	5.5	5.5084 0.299221
75.5	7.74491	5	6.04063 0.348851
76.5	7.19523	5	6.23916 0.366841
77.5	6.736	5	6.33568 0.406471
78.5	6.25956	4.5	6.12665 0.347632
79.5	5.76417	4	6.45448 0.411296
80.5	5.31796	4	5.95115 0.369725
81.5	4.86412	4	6.71984 0.378629
82.5	4.46141	4	7.04856 0.446191
83.5	4.07392	3.5	8.23882 0.522943
84.5	3.73875	3	7.59866 0.58308
85.5	3.40477	3	7.33728 0.556706
86.5	3.06049	3	9.01985 0.742571
87.5	2.72456	3	10.9586 0.868296
88.5	2.46946	2.5	9.87312 0.839562
89.5	2.17627	2	11.1525 0.931438
90.5	1.89894	2	15.1756 1.09082
91.5	1.65278	2	15.1008 1.08704
92.5	1.40252	2	21.8493 1.66217
93.5	1.18734	2	27.8333 2.74912
94.5	0.969473	2	42.5261 3.85725
95.5	0.760575	2	47.0693 5.77458
96.5	0.561243	2	19.7275 2.59513
97.5	0.384281	2	10.2323 1.17508
98.5	0.19303	2	14.9726 3.91506
99.5	0.0491761	0	3.04397 0.27065
