Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	188.713	70	0.0179958 0.000291466	 0.0564562 0.000538454	 0.0340553 0.000316356	 0.0152594 0.000141522	 0.00707401 7.11024e-05	 0.00404425 4.53877e-05	 
15	130.174	53	0.0202934 0.000340178	 0.066352 0.000624732	 0.0345362 0.000303834	 0.0148497 0.000145166	 0.00728897 7.51061e-05	 0.00395989 4.49255e-05	 
25	89.7637	39.5	0.0220781 0.000363036	 0.07521 0.000653009	 0.0328873 0.000284309	 0.0149284 0.000156738	 0.00725137 7.26556e-05	 0.00393618 4.86632e-05	 
35	61.2493	28.5	0.0228648 0.000350174	 0.0797586 0.000635165	 0.0282928 0.000250891	 0.0153462 0.00016415	 0.00676178 6.52505e-05	 0.00371256 4.58022e-05	 
45	40.827	20	0.0216656 0.000321354	 0.0795393 0.000648038	 0.0225952 0.000218567	 0.0146667 0.000170354	 0.00566852 5.81781e-05	 0.00334821 4.37479e-05	 
55	25.9426	13.5	0.0175266 0.000263101	 0.0733335 0.000645311	 0.0172549 0.000188934	 0.0127136 0.000156472	 0.0043756 5.06712e-05	 0.00259433 3.53225e-05	 
65	15.4761	9	0.0137 0.000208725	 0.0565206 0.000646722	 0.0118203 0.00015122	 0.00901876 0.000142909	 0.00273355 4.00366e-05	 0.00168058 2.64275e-05	 
75	8.19307	5.5	0.0104249 0.000200954	 0.040719 0.000600479	 0.00730987 0.000119128	 0.00483455 9.96733e-05	 0.00130018 2.96909e-05	 0.000870575 1.66417e-05	 
85	3.63079	3	0.00599539 0.000144502	 0.0236205 0.000477323	 0.00320506 8.16987e-05	 0.00138703 4.68495e-05	 0.00036575 1.1763e-05	 0.000348817 8.72593e-06	 
95	0.973276	2	0.00120786 5.15862e-05	 0.00840718 0.000308462	 0.000484346 2.20635e-05	 0.000109778 5.16078e-06	 5.47534e-05 2.21998e-06	 5.34797e-05 3.26378e-06	 
