Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	209.086	74	0.0172655 0.000407938	 0.0533477 0.000701542	 0.0339848 0.000450443	 0.0152404 0.000199923	 0.00710567 9.52898e-05	 0.00404961 6.42495e-05	 
7.5	168.417	64	0.0186951 0.000415444	 0.0593916 0.000798977	 0.0341254 0.000444667	 0.0152782 0.000200495	 0.00704233 0.000105686	 0.00403891 6.41903e-05	 
12.5	141.349	56.5	0.0201586 0.00048376	 0.0630991 0.000790491	 0.0345663 0.000407737	 0.0146548 0.000184532	 0.00728705 0.000101315	 0.00389194 6.02137e-05	 
17.5	118.006	49.5	0.0204392 0.00047827	 0.0697216 0.0009593	 0.0345033 0.000453873	 0.0150591 0.000226236	 0.00729107 0.000111639	 0.00403257 6.70003e-05	 
22.5	98.3196	42.5	0.0213334 0.000497636	 0.0720685 0.000906522	 0.0336869 0.000408827	 0.0146987 0.000214525	 0.00728758 0.000102844	 0.0039458 6.26335e-05	 
27.5	81.3579	36	0.0227861 0.000526148	 0.0781735 0.000930358	 0.0320823 0.00039393	 0.0151507 0.000227899	 0.00721562 0.000102732	 0.0039267 7.44479e-05	 
32.5	67.3962	30.5	0.0230812 0.000514968	 0.0783153 0.000887158	 0.0297693 0.000365517	 0.0151835 0.00022404	 0.00700382 9.8412e-05	 0.00374545 6.57289e-05	 
37.5	55.3185	26	0.0226541 0.000475994	 0.0811269 0.000906036	 0.0267912 0.000338126	 0.0155014 0.000239095	 0.00651974 8.48819e-05	 0.00368054 6.38994e-05	 
42.5	45.2326	22	0.0229868 0.000490399	 0.0801309 0.000926741	 0.0241359 0.000319947	 0.0149422 0.000249409	 0.00598247 8.45221e-05	 0.00350596 6.61982e-05	 
47.5	36.4731	18	0.0202755 0.000402384	 0.0789503 0.000906286	 0.0209616 0.000288131	 0.0143892 0.000231674	 0.00534015 7.85609e-05	 0.00318465 5.60907e-05	 
52.5	29.009	14.5	0.0185204 0.000387698	 0.0759093 0.000909742	 0.0186318 0.000270059	 0.0134597 0.000221608	 0.00475802 7.32479e-05	 0.00281188 5.14883e-05	 
57.5	22.6382	12	0.0163883 0.00034239	 0.0704525 0.000905683	 0.015636 0.000251607	 0.0118573 0.00021672	 0.00392196 6.55818e-05	 0.00233733 4.55957e-05	 
62.5	17.6488	10	0.0146705 0.000300464	 0.0605824 0.000904766	 0.0129109 0.000216303	 0.0101836 0.000208648	 0.00308449 5.79647e-05	 0.00189293 3.88038e-05	 
67.5	13.2292	8	0.012618 0.000283594	 0.0519873 0.000908857	 0.0105748 0.000203095	 0.00762923 0.000178768	 0.00231532 5.07844e-05	 0.00142813 3.26953e-05	 
72.5	9.61075	6	0.0113117 0.000291352	 0.0441924 0.000853466	 0.00844917 0.000174664	 0.00572872 0.000146397	 0.00160335 4.35935e-05	 0.00102128 2.53257e-05	 
77.5	6.74343	4.5	0.00943236 0.000270143	 0.0368301 0.000827371	 0.00592244 0.000142277	 0.00370333 0.000115512	 0.00088904 3.00861e-05	 0.000682912 1.6744e-05	 
82.5	4.51223	3.5	0.00708375 0.000218063	 0.0277317 0.000706974	 0.00405093 0.000121225	 0.00185508 6.7811e-05	 0.00047239 1.75674e-05	 0.000441005 1.27411e-05	 
87.5	2.76352	2.5	0.00468387 0.000162587	 0.0187135 0.00056935	 0.00205754 7.50341e-05	 0.00065633 3.49706e-05	 0.000214081 8.84284e-06	 0.000223679 9.08225e-06	 
92.5	1.43154	2	0.00161715 6.90688e-05	 0.0110646 0.000416257	 0.000648428 2.96085e-05	 0.000142578 7.10138e-06	 7.22677e-05 3.0045e-06	 7.08451e-05 4.45176e-06	 
97.5	0.419767	2	0.000249704 1.36251e-05	 0.00286016 0.000226336	 0.000100462 7.15238e-06	 4.53164e-05 4.11579e-06	 1.76321e-05 1.41798e-06	 1.58877e-05 2.02588e-06	 
