Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
0.5	243.395	77.5	-2.3567e-07 1.00102e-07	1.41183e-06 7.22842e-07	-1.00104e-07 1.24843e-07	-5.5565e-09 7.87575e-09	5.65256e-10 2.73533e-10	-6.95457e-11 4.93713e-11	
1.5	216.681	74	-2.05315e-07 6.38718e-08	6.23037e-08 7.61263e-07	2.24088e-07 1.13598e-07	1.05433e-08 4.73114e-09	-6.15138e-10 5.80056e-10	1.32703e-11 2.41189e-11	
2.5	204.763	72.5	-8.94331e-08 3.86707e-08	-5.51742e-08 9.17339e-07	1.54437e-08 1.35638e-07	2.90949e-09 4.01094e-09	4.63815e-10 2.57526e-10	-1.43623e-10 1.01391e-10	
3.5	195.218	71	-1.49556e-07 5.44197e-08	1.05659e-06 6.89845e-07	-1.17212e-09 1.63319e-07	2.62645e-09 5.4963e-09	5.14211e-11 1.90887e-10	-1.58054e-10 6.39101e-11	
4.5	185.493	69	-1.87213e-07 6.99898e-08	6.39832e-07 1.08091e-06	2.78191e-07 1.21826e-07	1.25885e-08 4.25253e-09	1.73888e-10 2.21366e-10	-9.23969e-11 4.19777e-11	
5.5	181.632	67.5	-1.0171e-07 3.32179e-08	-5.09755e-07 1.17554e-06	7.81255e-08 1.42403e-07	1.29028e-08 4.55867e-09	-3.31272e-10 4.88597e-10	-3.00742e-11 4.01118e-11	
6.5	173.921	66	-2.26677e-07 5.68777e-08	-1.11229e-06 1.23389e-06	1.80582e-07 1.14255e-07	6.36477e-09 6.44338e-09	-6.02346e-11 3.09688e-10	-1.91962e-10 7.99904e-11	
7.5	168.126	64.5	-1.31554e-07 4.02483e-08	-1.04231e-06 1.99112e-06	-8.15043e-08 1.68662e-07	9.96223e-09 4.88232e-09	-1.23685e-09 8.35938e-10	-7.74234e-11 3.42249e-11	
8.5	163.401	63	-3.19461e-07 6.74765e-08	1.99838e-06 1.14022e-06	2.36661e-07 1.17539e-07	-8.0632e-09 6.11768e-09	5.39434e-12 2.64804e-10	-1.39367e-10 9.55118e-11	
9.5	156.22	61	-1.8817e-07 9.70138e-08	2.58657e-06 1.15424e-06	1.92008e-07 1.21703e-07	2.05267e-09 4.48327e-09	-7.90042e-10 6.38169e-10	-2.59754e-11 3.53199e-11	
10.5	153.381	59.5	-4.30311e-07 1.81209e-07	3.9963e-06 1.06818e-06	3.13676e-07 1.11013e-07	1.03949e-08 4.2299e-09	2.91306e-10 2.10745e-10	-4.7179e-11 3.68309e-11	
11.5	146.86	58	-2.88345e-07 1.11671e-07	-3.78291e-07 2.2094e-06	5.21158e-07 1.33797e-07	8.11315e-09 3.25382e-09	-1.38025e-10 4.12907e-10	-9.38305e-11 4.70206e-11	
12.5	140.439	56.5	-4.10665e-07 1.61116e-07	2.56751e-06 1.10122e-06	4.14193e-07 1.18714e-07	2.65978e-09 4.83868e-09	-5.57781e-10 3.47638e-10	-5.83178e-11 3.74073e-11	
