Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	243.395	77.5	0.640951 0.0749278	-0.519677 0.173971	-0.545481 0.283604	
1.5	216.681	74	0.299599 1.00487	0.640214 0.0734774	0.656728 0.0660414	
2.5	204.763	72.5	-0.290299 1.06728	0.328797 0.657532	0.494167 0.163295	
3.5	195.218	71	0.598165 0.0895145	-0.175113 1.50179	0.468822 0.215946	
4.5	185.493	69	0.52527 0.196272	0.667633 0.066966	0.715867 0.055543	
5.5	181.632	67.5	-0.463325 0.440404	0.491349 0.201778	0.694316 0.0533742	
6.5	173.921	66	-0.564406 0.177834	0.610877 0.0906883	0.584545 0.135353	
7.5	168.126	64.5	-0.529163 0.193051	-0.50076 0.472252	0.627814 0.0707944	
8.5	163.401	63	0.630072 0.0857728	0.63996 0.0730369	-0.633763 0.134702	
9.5	156.22	61	0.653208 0.0647411	0.605058 0.0891364	0.451964 0.232099	
10.5	153.381	59.5	0.727348 0.039497	0.677835 0.0528971	0.680933 0.0650208	
11.5	146.86	58	-0.389983 0.400295	0.744467 0.0390262	0.663027 0.0574731	
12.5	140.439	56.5	0.655143 0.062111	0.727664 0.043456	0.481994 0.205275	
13.5	135.711	55	0.574526 0.110474	0.671861 0.0735911	0.292534 1.32963	
14.5	130.368	53.5	0.630712 0.0645982	0.668399 0.0636551	0.610205 0.085571	
15.5	126.435	52	0.496382 0.168424	-0.577884 0.152018	-0.618391 0.164696	
16.5	122.468	50.5	0.472847 0.204336	0.706821 0.0514212	-0.578798 0.304754	
17.5	117.45	49	-0.55919 0.208933	0.623354 0.0807634	-0.559321 0.431306	
18.5	113.412	47.5	0.490643 0.193548	0.662664 0.0621828	-0.590104 0.227797	
19.5	109.92	46.5	0.588915 0.112151	0.596083 0.10485	-0.6996 0.143146	
20.5	105.395	45	0.601471 0.0876014	0.694829 0.0477928	-0.422375 0.320209	
21.5	101.313	43.5	0.656147 0.0701185	-0.464114 0.244375	-0.535494 0.289247	
22.5	98.3867	42.5	0.775052 0.0352069	0.786493 0.0271189	-0.742952 0.107688	
23.5	95.5188	41	0.596791 0.094647	0.718138 0.0370067	-0.723921 0.164288	
24.5	91.6415	39.5	0.396495 0.382052	0.666183 0.0672666	0.43991 0.279337	
25.5	87.5398	38.5	0.649843 0.0734862	0.629626 0.0807865	-0.587173 0.407637	
26.5	84.6635	37.5	0.754589 0.0364883	0.74562 0.0361855	-0.52537 0.218818	
27.5	80.6609	36.5	0.605113 0.101844	0.601737 0.118309	-0.766764 0.0850735	
28.5	78.3433	35.5	0.748621 0.0348864	0.682256 0.0534071	-0.558836 0.185061	
29.5	75.2744	34	0.651758 0.066954	0.569984 0.103991	-0.813041 0.0967891	
30.5	73.3791	32.5	0.732027 0.0368097	0.601511 0.0867077	-0.741515 0.092027	
31.5	70.0113	31.5	0.746433 0.0367734	0.583419 0.0913667	-0.677071 0.086039	
32.5	67.2941	30.5	0.693993 0.0619086	0.659967 0.0709817	-0.710686 0.11853	
33.5	64.4857	29.5	0.697767 0.0586075	0.537842 0.132382	-0.558918 0.183688	
34.5	62.3203	28.5	0.740633 0.0330525	0.698271 0.0459948	-0.726228 0.075314	
35.5	59.8953	27.5	0.707463 0.0499831	-0.534747 0.156573	-0.831846 0.0719865	
36.5	57.0291	26.5	0.72973 0.0365412	0.5737 0.0922876	-0.797561 0.0636312	
37.5	54.3925	26	0.771903 0.026242	0.717567 0.0421914	-0.713907 0.0806367	
38.5	52.8243	25.5	0.707245 0.0433541	0.478226 0.173469	-0.809065 0.0688716	
39.5	52.124	24.5	0.647744 0.0640263	0.466755 0.214638	-0.792038 0.0948617	
40.5	49.3724	23.5	0.692931 0.0525354	0.582883 0.112176	-0.742697 0.0756099	
41.5	47.3815	22.5	0.699017 0.0512277	0.515995 0.15526	-0.972932 0.0905036	
42.5	44.917	21.5	0.744568 0.0354421	-0.396283 0.314504	-0.862978 0.0837316	
43.5	42.7305	21	0.656808 0.062078	-0.454523 0.320713	-0.837988 0.0576761	
44.5	41.8764	20.5	0.692783 0.0477134	-0.5616 0.149545	-0.911284 0.0665474	
45.5	39.1724	19.5	0.710164 0.0408213	-0.535265 0.172057	-0.812167 0.0646903	
46.5	37.8848	18.5	0.699014 0.0478289	0.498179 0.185998	-0.887233 0.0695652	
47.5	36.3526	18	0.697075 0.0468615	-0.699054 0.104446	-0.927365 0.0577435	
48.5	34.9574	17.5	0.729462 0.0376063	-0.407549 0.384725	-0.668361 0.110195	
49.5	33.4259	16.5	0.668629 0.0550109	-0.636096 0.104328	-0.847185 0.0613436	
50.5	32.0935	16	0.732467 0.0386277	-0.472491 0.23966	-0.714163 0.070631	
51.5	30.4819	15.5	0.627412 0.0689856	-0.694446 0.0917331	-0.866664 0.0562007	
52.5	28.5049	14.5	0.711493 0.0393562	-0.746268 0.0803688	-0.789353 0.0614696	
53.5	27.2231	14	0.667279 0.0604089	-0.576005 0.173801	-0.961707 0.0626597	
54.5	26.6077	13.5	-0.290039 1.1858	-0.701972 0.105648	-0.893357 0.056934	
55.5	24.8346	13	0.61626 0.0816474	-0.819528 0.0731826	-0.936342 0.0464538	
56.5	23.7011	12.5	0.697409 0.0515404	-0.771013 0.099481	-0.899879 0.0573233	
57.5	22.4432	12	0.616763 0.0821291	-0.550471 0.187153	-0.88048 0.0704351	
58.5	21.6996	11.5	0.656713 0.0656797	-0.742135 0.0990822	-0.925845 0.0550478	
59.5	20.7852	11	-0.521777 0.164078	-0.782515 0.0889866	-1.02118 0.0408509	
60.5	19.5594	10.5	-0.482476 0.20742	-0.896895 0.0700988	-1.03116 0.0497228	
61.5	18.8833	10	-0.690154 0.0830355	-0.7729 0.0779329	-1.00179 0.0493144	
62.5	17.435	9.5	-0.671516 0.0962242	-0.839608 0.144976	-1.06585 0.050734	
63.5	16.7762	9	-0.817131 0.0599391	-0.896658 0.0660068	-1.16432 0.0452373	
64.5	15.6577	9	-0.789918 0.063584	-0.914593 0.0890382	-1.10405 0.0454024	
65.5	14.8497	8.5	-0.79686 0.0717121	-0.786144 0.0656224	-1.15954 0.0771434	
66.5	14.0573	8	-0.880978 0.0536476	-1.00618 0.0514258	-1.2005 0.0477064	
67.5	13.1555	8	-0.986488 0.0457712	-1.05403 0.0583759	-1.16163 0.0512922	
