Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	188.713	70	0.398428 0.134532	0.523679 0.0529308	0.528837 0.0521954	
15	130.174	53	0.493259 0.0647092	0.650055 0.0231282	-0.3446 0.337014	
25	89.7637	39.5	0.653812 0.0229345	0.660029 0.022858	-0.664354 0.0468854	
35	61.2493	28.5	0.716272 0.0138165	0.542307 0.0409758	-0.757314 0.0251152	
45	40.827	20	0.69619 0.0153697	-0.529012 0.0599439	-0.862894 0.0236664	
55	25.9426	13.5	0.618703 0.0249608	-0.75277 0.028124	-0.904399 0.0178931	
65	15.4761	9	-0.825233 0.0193448	-0.954287 0.0221664	-1.15922 0.0166963	
75	8.19307	5.5	-1.10596 0.014907	-1.19619 0.0165898	-1.40299 0.0190172	
85	3.63079	3	-1.38034 0.0177581	-1.58788 0.0328444	-1.85732 0.0332266	
95	0.973276	2	-1.92768 0.0339691	-2.16001 0.0461123	-2.19282 0.126903	
