Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	188.713	70	4.01102e-11 1.34165e-11	-2.22817e-11 7.68067e-10	-6.25699e-12 3.00689e-11	1.96398e-13 2.47843e-13	1.21003e-14 7.15908e-15	4.57872e-16 3.63413e-16	
15	130.174	53	1.63146e-10 5.55069e-11	-2.07072e-10 1.66415e-09	8.91381e-11 3.27416e-11	2.51982e-13 2.60765e-13	-1.70334e-15 4.3144e-15	6.99828e-16 5.4214e-16	
25	89.7637	39.5	1.91085e-10 7.86844e-11	1.09394e-08 3.50226e-09	8.51929e-11 2.47072e-11	1.5351e-13 4.74073e-13	1.77034e-15 4.39358e-15	3.95381e-15 2.34471e-15	
35	61.2493	28.5	1.33649e-10 4.85744e-11	2.61819e-08 4.90212e-09	-1.26868e-11 9.49006e-12	-2.18318e-12 3.96313e-13	2.27018e-15 3.73254e-15	7.28877e-16 4.047e-16	
45	40.827	20	5.91653e-11 2.22409e-11	1.50937e-08 4.89593e-09	-1.417e-11 3.00478e-12	-1.41683e-12 5.78169e-13	-2.77115e-15 1.08082e-15	6.10792e-16 3.5122e-16	
55	25.9426	13.5	2.107e-11 1.21131e-11	-7.99286e-09 3.09046e-09	-4.07324e-12 7.86683e-13	-1.61852e-12 2.10482e-13	-5.89866e-16 4.83139e-16	1.87446e-17 3.41824e-17	
65	15.4761	9	2.89239e-12 1.16738e-12	-1.68278e-08 1.16976e-09	-4.1388e-13 2.60016e-13	6.57671e-14 8.91213e-14	9.86062e-17 9.11131e-17	1.91556e-17 8.04299e-18	
75	8.19307	5.5	5.2802e-12 1.37371e-12	-3.62734e-09 4.66404e-10	3.68125e-14 2.85223e-14	4.46828e-14 8.41611e-15	8.08947e-17 2.62644e-17	4.08351e-18 3.31032e-18	
85	3.63079	3	5.69744e-13 1.50634e-13	2.9072e-10 6.3727e-11	1.80617e-14 5.15609e-15	3.83203e-16 8.01108e-17	2.35187e-19 1.03971e-19	1.99685e-20 5.54096e-21	
95	0.973276	2	4.09751e-16 9.96871e-17	2.1021e-11 3.56062e-12	2.20478e-18 5.01054e-19	6.15063e-22 3.5707e-22	2.56605e-24 4.82921e-25	1.59422e-23 5.05667e-24	
