centrality	e2{6}/e2{4}	err	e3{6}/e3{4}	err
2.5	-nan	-nan	-nan	-nan
7.5	-nan	-nan	0.847405	0.20848
12.5	0.9167	0.0887684	1.06578	0.0871399
17.5	0.891535	0.0758498	0.951455	0.0679867
22.5	0.934595	0.0247544	0.941412	0.0230559
27.5	0.941635	0.0184245	0.92009	0.0363852
32.5	0.972537	0.00582736	0.944191	0.0240396
37.5	0.971706	0.00570403	0.94504	0.0205941
42.5	0.982745	0.00310725	0.92364	0.0339454
47.5	0.985261	0.00233004	0.939836	0.0269774
52.5	0.974369	0.00432557	-nan	-nan
57.5	0.977893	0.00367869	-nan	-nan
62.5	0.935536	0.0148284	-nan	-nan
67.5	-nan	-nan	-nan	-nan
72.5	-nan	-nan	-nan	-nan
77.5	-nan	-nan	-nan	-nan
82.5	-nan	-nan	-nan	-nan
87.5	-nan	-nan	-nan	-nan
92.5	-nan	-nan	-nan	-nan
