Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	333.384	360	0.0118525 0.0141238	0.940942 0.00169915	0.92625 0.0021229	
7.5	270.864	303	0.00496954 0.0133947	0.956026 0.00124329	0.907416 0.00289801	
12.5	223.676	257	0.0407071 0.014103	0.9664 0.000883064	0.890989 0.00326808	
17.5	185.505	217.5	0.078012 0.0133711	0.967052 0.000899557	0.869115 0.0039012	
22.5	152.831	183	0.0337261 0.0133791	0.968253 0.000918686	0.850264 0.00478163	
27.5	125.265	153	0.0577695 0.0137832	0.967209 0.000963	0.835826 0.00558725	
32.5	101.408	126.5	0.0424422 0.0146061	0.961906 0.00108631	0.812849 0.00586642	
37.5	81.667	103.5	0.0261518 0.013918	0.955542 0.0013681	0.788762 0.00685325	
42.5	64.8002	83.5	0.0105572 0.0145406	0.943988 0.00176009	0.750027 0.00754637	
47.5	50.2992	66.5	0.0159314 0.0136986	0.936712 0.00191809	0.727951 0.00795523	
52.5	38.2927	52	0.0134013 0.0136366	0.897219 0.00348474	0.650063 0.00970779	
57.5	28.3782	39.5	0.00966369 0.0129606	0.863085 0.00453029	0.606319 0.0101658	
62.5	20.4685	29.5	0.0337659 0.0129805	0.795757 0.00650929	0.529922 0.0116912	
67.5	14.2205	21.5	0.0079096 0.0137962	0.734992 0.0077232	0.436306 0.0131496	
72.5	9.51452	15.5	0.0121043 0.0133674	0.633338 0.00932447	0.384149 0.0132518	
77.5	6.00292	11	0.0323903 0.0128867	0.575995 0.00983111	0.311254 0.0141168	
82.5	3.58266	7.5	0.0101221 0.0142007	0.534226 0.00997897	0.277555 0.0132908	
87.5	1.97024	5	0.00870088 0.0126621	0.479862 0.0104085	0.22392 0.0114181	
92.5	0.887543	3	0.019011 0.0133893	0.429494 0.012535	0.013182 0.0169841	
97.5	0.239351	2	0.00891525 0.0224776	0.272182 0.018077	0.205766 0.0198239	
