Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	302.193	335	0.198965 3.18151e-06	0.197816 3.82911e-06	0.0235461 0.000220626	0.126531 4.16078e-06	0.129987 9.82876e-06	-0.0996971 0.000130723	
15	204.327	238.5	0.185175 9.55075e-06	0.172855 0.000467726	0.111559 0.00307539	0.107501 3.01651e-07	0.11139 8.61378e-07	-0.0693126 7.32968e-05	
25	139.454	169	0.174981 1.36299e-06	0.155787 0.000692299	0.108231 0.00264738	0.0900017 5.14977e-06	0.0938057 1.66675e-05	-0.0470442 0.000147401	
35	91.4231	116	0.16219 7.28412e-06	0.137438 3.48889e-05	0.0988597 0.000156802	0.073721 2.73187e-06	0.0785026 8.82855e-06	-0.0406508 5.42784e-05	
45	57.4595	76	0.146909 9.60256e-06	0.119312 4.87773e-05	0.0863679 0.000179621	0.0548936 1.84981e-05	0.0611303 0.00120157	-0.0390869 0.00334339	
55	33.3267	46.5	0.120587 1.05537e-05	0.0938364 0.000454588	0.0691218 0.000939341	0.0342924 4.66676e-07	0.0437665 3.58149e-06	-0.0431063 1.67611e-05	
65	17.3918	26	0.0855925 6.93991e-06	0.0919673 0.00017024	-0.0140626 0.000379385	0.0180075 3.82801e-06	0.0274329 1.60455e-05	-0.0356448 4.57262e-05	
75	7.78817	13.5	0.0489722 3.86012e-07	0.0977507 0.00014954	-0.0948693 0.000257261	0.00750542 1.6506e-06	0.0168434 4.11963e-05	-0.0297119 0.00010384	
85	2.76914	6.5	0.0253773 8.46403e-06	0.0810372 2.0705e-05	-0.103843 2.49987e-05	0.00224443 4.43197e-07	0.00695288 9.40964e-07	-0.0134442 1.9025e-06	
95	0.599908	3	0.00961367 5.31187e-11	0.0399098 9.43704e-10	-0.0554022 1.43224e-09	-4.96123e-05 3.90393e-12	-0.000102143 1.66868e-11	0.000133814 3.25635e-11	
