Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	302.193	335	0.00704379 7.95225e-05	 0.0325867 0.000237224	 0.0178108 0.000129272	 0.00841953 5.95086e-05	 0.00346638 2.51697e-05	 0.00147784 1.17796e-05	 
15	204.327	238.5	0.00816122 9.06566e-05	 0.052314 0.000295766	 0.0205149 0.000141433	 0.00941604 6.5868e-05	 0.00383523 2.77795e-05	 0.00169781 1.29874e-05	 
25	139.454	169	0.0093806 0.000102554	 0.0653943 0.000339902	 0.0219166 0.000153224	 0.00991772 6.97792e-05	 0.00422711 3.03754e-05	 0.00187973 1.50513e-05	 
35	91.4231	116	0.0101718 0.000114561	 0.0736512 0.000384311	 0.0227353 0.000157463	 0.0104385 7.81163e-05	 0.00429625 3.3881e-05	 0.00194304 1.6462e-05	 
45	57.4595	76	0.010682 0.000126565	 0.0771981 0.000428241	 0.0217991 0.000150885	 0.0103585 8.56519e-05	 0.00409365 3.4422e-05	 0.00185757 1.7313e-05	 
55	33.3267	46.5	0.0111231 0.000131304	 0.0743721 0.000444011	 0.0192006 0.000141431	 0.00943256 8.96419e-05	 0.00348096 3.03338e-05	 0.00159967 1.72165e-05	 
65	17.3918	26	0.00993504 0.000124009	 0.0654812 0.000418299	 0.0144968 0.000118843	 0.00768616 7.68889e-05	 0.00235945 2.41214e-05	 0.00123122 1.33684e-05	 
75	7.78817	13.5	0.00868798 0.0001357	 0.0493867 0.0003875	 0.00852034 8.48759e-05	 0.00456226 6.34705e-05	 0.00115303 1.76534e-05	 0.000803918 9.1025e-06	 
85	2.76914	6.5	0.00533876 9.08534e-05	 0.025774 0.000290773	 0.00293912 4.7405e-05	 0.000965111 2.45043e-05	 0.000312277 7.41005e-06	 0.00029698 5.32079e-06	 
95	0.599908	3	0.000645341 2.10726e-05	 0.00708174 0.000168719	 0.000245164 7.00874e-06	 0.000103998 2.4663e-06	 4.54387e-05 1.28315e-06	 3.57686e-05 1.11506e-06	 
