Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	333.384	360	0.00666424 0.000105139	 0.0270583 0.000284326	 0.0167789 0.000170759	 0.00807333 8.159e-05	 0.00339185 3.46915e-05	 0.00142816 1.52922e-05	 
7.5	270.864	303	0.00740546 0.000117774	 0.0373241 0.000337252	 0.0187902 0.00019016	 0.0087535 8.58451e-05	 0.00353966 3.63718e-05	 0.00152611 1.77389e-05	 
12.5	223.676	257	0.00810944 0.000124914	 0.0481803 0.000389502	 0.0199377 0.000191439	 0.00924385 9.38236e-05	 0.00375287 3.75975e-05	 0.00165401 1.8411e-05	 
17.5	185.505	217.5	0.00821127 0.000131218	 0.0560432 0.000424683	 0.0210612 0.000206352	 0.00958056 9.24163e-05	 0.00391369 4.06269e-05	 0.00173935 1.82853e-05	 
22.5	152.831	183	0.00913413 0.000140509	 0.0625658 0.000446415	 0.0215236 0.000208363	 0.00975362 9.53487e-05	 0.00416664 4.04968e-05	 0.00183678 2.04131e-05	 
27.5	125.265	153	0.00963515 0.000149503	 0.0682665 0.000505696	 0.0223259 0.00022491	 0.0100889 0.000102011	 0.00429033 4.54054e-05	 0.00192425 2.21317e-05	 
32.5	101.408	126.5	0.0100515 0.000160882	 0.0715682 0.000530868	 0.0228453 0.00022589	 0.010233 0.00010789	 0.00431099 4.65093e-05	 0.00192856 2.29656e-05	 
37.5	81.667	103.5	0.010288 0.000163059	 0.075631 0.000551099	 0.0226272 0.000219583	 0.0106355 0.000112558	 0.0042818 4.92549e-05	 0.00195708 2.35714e-05	 
42.5	64.8002	83.5	0.0104408 0.000166727	 0.0763976 0.000595926	 0.0220227 0.0002165	 0.0103762 0.000119286	 0.0041695 4.96241e-05	 0.00189043 2.37407e-05	 
47.5	50.2992	66.5	0.0109123 0.00018895	 0.077971 0.000613896	 0.0215788 0.000210258	 0.0103411 0.000122916	 0.00401829 4.76873e-05	 0.00182496 2.52284e-05	 
52.5	38.2927	52	0.0113495 0.000193966	 0.0751026 0.000631673	 0.0201559 0.00020681	 0.00954596 0.000129515	 0.00369059 4.42274e-05	 0.00166114 2.48235e-05	 
57.5	28.3782	39.5	0.0108928 0.000176396	 0.073637 0.000623906	 0.0181989 0.000189349	 0.00931818 0.000123897	 0.00325868 4.06717e-05	 0.00153597 2.37407e-05	 
62.5	20.4685	29.5	0.0102338 0.000171471	 0.0678967 0.00059718	 0.0159354 0.000176199	 0.00821035 0.000110813	 0.00260813 3.48712e-05	 0.00132051 1.97962e-05	 
67.5	14.2205	21.5	0.00961743 0.000179675	 0.0628944 0.000578918	 0.0128466 0.000144644	 0.00710552 0.000104051	 0.00207211 3.14476e-05	 0.00113185 1.72403e-05	 
72.5	9.51452	15.5	0.0091985 0.000191418	 0.0541986 0.000546396	 0.00993877 0.000122149	 0.00547587 9.13708e-05	 0.00141869 2.5247e-05	 0.000920612 1.33178e-05	 
77.5	6.00292	11	0.00812637 0.000191618	 0.0438588 0.000521402	 0.00674685 9.79442e-05	 0.00336605 7.32499e-05	 0.000789274 1.96557e-05	 0.000661948 1.08905e-05	 
82.5	3.58266	7.5	0.00655982 0.000137678	 0.030928 0.000428414	 0.00388546 6.73226e-05	 0.00132085 3.49568e-05	 0.000412105 1.09916e-05	 0.000393014 7.54977e-06	 
87.5	1.97024	5	0.00377287 8.30183e-05	 0.0194244 0.000305305	 0.00151528 3.20555e-05	 0.000364475 1.09464e-05	 0.000162795 3.18889e-06	 0.000152066 4.59162e-06	 
92.5	0.887543	3	0.00084644 2.82782e-05	 0.00938559 0.000219985	 0.000316755 9.47538e-06	 0.000134102 3.26149e-06	 5.82445e-05 1.73147e-06	 4.69383e-05 1.4945e-06	 
97.5	0.239351	2	0.00020103 1.20766e-05	 0.00161072 8.75568e-05	 9.83759e-05 5.04554e-06	 4.2784e-05 2.84348e-06	 2.00075e-05 1.26751e-06	 1.10163e-05 5.10732e-07	 
