Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	302.193	335	-3.79265e-09 2.75963e-10	-6.39507e-08 3.27383e-08	-5.07371e-09 2.99712e-09	1.96472e-11 1.87373e-10	-7.40236e-12 4.9802e-12	-1.27168e-12 4.29429e-13	
15	204.327	238.5	-6.64748e-09 6.821e-10	2.64e-06 1.31247e-07	6.59493e-09 4.4223e-09	6.91167e-11 2.30339e-10	-1.35648e-11 6.44537e-12	-1.53897e-12 2.93149e-13	
25	139.454	169	-1.09566e-08 9.14927e-10	8.30051e-06 3.03622e-07	2.78902e-09 6.27707e-09	-5.25921e-12 2.69944e-10	-1.39404e-11 9.26672e-12	-3.69168e-12 7.87888e-13	
35	91.4231	116	-1.6861e-08 1.42835e-09	1.31532e-05 4.8983e-07	6.90551e-09 6.84533e-09	-1.62945e-09 4.1266e-10	-8.9558e-11 1.50638e-11	-6.5205e-12 8.58925e-13	
45	57.4595	76	-2.33697e-08 3.06097e-09	1.37429e-05 6.16241e-07	1.03052e-08 5.55118e-09	-4.1658e-09 5.58398e-10	-1.14649e-10 1.61492e-11	-8.68942e-12 1.42691e-12	
55	33.3267	46.5	-2.79759e-08 2.32495e-09	8.45619e-06 5.6284e-07	-1.37826e-08 3.92762e-09	-6.59399e-09 6.30051e-10	-7.94783e-11 7.96592e-12	-8.84172e-12 1.0315e-12	
65	17.3918	26	-1.99206e-08 1.69666e-09	3.71498e-06 3.48742e-07	-1.38635e-08 1.88573e-09	-3.33715e-09 2.59309e-10	-3.23208e-11 3.21237e-12	-2.99671e-12 3.19505e-13	
75	7.78817	13.5	-2.11147e-08 2.07703e-09	-1.12266e-06 1.46223e-07	-4.82566e-09 3.58625e-10	-1.18486e-09 8.82352e-11	-6.22231e-12 8.97052e-13	-6.15811e-13 5.73709e-14	
85	2.76914	6.5	-3.9569e-09 4.73513e-10	-6.98415e-07 3.38226e-08	-3.19068e-10 2.39553e-11	-1.04528e-11 1.45404e-12	-9.86679e-14 2.58273e-14	-4.2837e-14 4.78784e-15	
95	0.599908	3	-3.00313e-12 3.85463e-13	-2.20535e-08 1.86426e-09	-4.7122e-14 6.44886e-15	-1.01525e-15 8.30131e-17	-5.4189e-17 5.71042e-18	-2.57004e-17 2.96425e-18	
