Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	367.805	381.5	0.220203 1.69952e-05	0.228302 0.00124524	-0.478666 0.0873977	0.140308 4.89412e-05	0.139481 0.000125028	0.0375449 0.00175713	
1.5	345.932	365.5	0.215173 1.19512e-05	0.214966 0.000187349	0.00922274 0.0196582	0.13686 6.55215e-06	0.14218 1.88546e-05	-0.211483 0.000487339	
2.5	330.542	354.5	0.212022 3.75269e-05	0.209564 9.8068e-05	0.0887171 0.00147418	0.134475 6.18644e-06	0.130689 2.50118e-05	0.159506 0.000768689	
3.5	317.166	343.5	0.206113 1.301e-05	0.200091 6.59821e-05	0.186619 0.00512598	0.132195 8.60247e-05	0.134149 0.000238262	-0.0688582 0.00610701	
4.5	304.617	333	0.205012 6.85618e-05	0.193944 0.00023469	0.28306 0.00612429	0.128034 2.63788e-06	0.126001 1.87881e-05	0.0594255 0.00273149	
5.5	292.919	322.5	0.202322 0.000193381	0.197517 0.00042701	0.10777 0.00133537	0.126876 0.000110563	0.126709 0.00024203	0.005103 0.0020247	
6.5	280.808	312	0.193737 0.000138489	0.189191 0.000131792	0.0933549 0.00457037	0.124291 8.39874e-05	0.124593 0.00520474	-0.0085504 0.088485	
7.5	270.727	302	0.197838 0.000150836	0.18644 0.00106013	0.196579 0.01964	0.121621 1.23842e-05	0.123007 0.000400067	-0.0371158 0.0151198	
8.5	260.232	292.5	0.190257 3.93914e-05	0.180938 0.000479438	0.16367 0.0149424	0.119003 0.000158685	0.119587 0.000357533	-0.0121481 0.00318017	
9.5	250.843	283	0.190791 1.21945e-05	0.175637 5.04587e-05	0.223606 0.00222916	0.117658 8.96582e-05	0.120836 0.000239511	-0.0753044 0.00384041	
10.5	241.248	273.5	0.191082 1.00923e-05	0.177806 5.53148e-05	0.162238 0.000447492	0.117615 5.4379e-05	0.119521 0.00162328	-0.0447701 0.0342252	
11.5	232.139	265	0.187532 4.40571e-05	0.176645 0.000203532	0.136028 0.0039418	0.114768 8.99621e-05	0.122705 0.000328713	-0.177916 0.00783621	
12.5	223.692	256.5	0.187797 2.54669e-05	0.175617 0.000167672	0.128554 0.00340858	0.114295 3.11433e-05	0.117398 0.000117677	-0.0722206 0.00254281	
13.5	215.093	248	0.186877 9.6435e-05	0.17365 0.00139725	0.13949 0.017643	0.111454 0.000303594	0.115577 0.00115299	-0.0774443 0.0166878	
14.5	206.948	240	0.185536 4.32669e-05	0.170996 0.00219266	0.142152 0.0210449	0.110214 7.75829e-05	0.113056 4.1538e-05	-0.0490692 0.00241739	
15.5	199.378	232	0.186726 1.55668e-05	0.170208 7.81786e-05	0.146318 0.000450343	0.107369 0.000123958	0.107071 0.000613186	0.00498322 0.0124064	
16.5	192.244	224	0.183385 5.16204e-05	0.163874 0.00219092	0.177952 0.0204036	0.107657 7.25905e-06	0.112368 2.83562e-05	-0.0833123 0.000550918	
17.5	184.874	216.5	0.185562 8.2189e-05	0.171141 0.00472893	0.118224 0.0314026	0.100079 8.63769e-06	0.0975847 1.96667e-05	0.0365188 0.000161419	
18.5	178.383	209.5	0.181292 8.15027e-05	0.167673 0.000405146	0.105058 0.00425755	0.101552 5.81935e-05	0.109677 0.000172699	-0.132535 0.00213688	
19.5	171.548	202.5	0.181349 2.98271e-05	0.159938 0.0101606	0.155407 0.0440918	0.0989683 8.52718e-05	0.0994534 0.000211831	-0.00778362 0.00665567	
20.5	165.101	195.5	0.181118 5.91581e-05	0.1628 0.000701656	0.12474 0.00748933	0.0983775 0.000439437	0.106856 0.0123111	-0.120645 0.057538	
21.5	158.6	188.5	0.177808 5.75742e-06	0.157446 0.000627899	0.138025 0.00681392	0.0966927 4.19506e-06	0.0952399 0.000139544	0.0218041 0.00396835	
22.5	152.689	182	0.177913 8.67324e-06	0.158894 0.000153236	0.123397 0.00262839	0.0963147 2.49132e-06	0.0985397 2.3902e-05	-0.0311122 0.000824932	
23.5	146.597	176	0.17651 4.23232e-05	0.156344 0.000358867	0.125153 0.00455892	0.0915482 3.20729e-05	0.0922835 8.58669e-05	-0.00955972 0.00296727	
24.5	141.192	170	0.175104 3.59614e-06	0.157681 0.00364228	0.0995128 0.0175897	0.0891329 7.51742e-05	0.0925422 0.000229064	-0.0407181 0.00206316	
25.5	135.747	164	0.172135 6.20357e-05	0.152151 0.00434174	0.113322 0.0198257	0.0915814 5.40517e-05	0.0953595 1.73778e-05	-0.0470005 0.00240294	
26.5	130.283	158	0.173277 7.90791e-06	0.142061 6.9945e-05	0.16926 0.000528632	0.0870403 6.80867e-05	0.0941425 0.000129276	-0.0845669 5.82227e-05	
27.5	125.145	152	0.173255 3.46975e-06	0.153025 0.000924824	0.106384 0.00708965	0.0829782 1.70654e-06	0.0869555 6.86065e-06	-0.0476543 6.10601e-05	
28.5	120.291	146.5	0.17161 0.000107105	0.148512 0.000881995	0.114969 0.00578304	0.0841214 2.321e-05	0.0890863 8.0593e-05	-0.0527943 0.00060607	
29.5	115.219	141.5	0.173606 6.65186e-06	0.144194 0.00444081	0.137754 0.017094	0.0863438 4.33988e-05	0.0816098 0.000133019	0.0526096 0.00105095	
30.5	110.242	136	0.167304 0.000157064	0.147585 0.00108006	0.092985 0.00620944	0.0841945 0.00018995	0.0816587 0.000521154	0.0267447 0.00471349	
31.5	106.056	130.5	0.167565 0.00012905	0.151526 0.000746299	0.0722745 0.00248118	0.0809701 1.8139e-05	0.0866496 5.50947e-05	-0.0548897 0.000355661	
