Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	333.384	360	1.61264 0.0231892
7.5	270.864	303	1.98636 0.0267969
12.5	223.676	257	2.41654 0.030673
17.5	185.505	217.5	2.66098 0.0336646
22.5	152.831	183	2.90685 0.0362222
27.5	125.265	153	3.05773 0.0400889
32.5	101.408	126.5	3.13273 0.041397
37.5	81.667	103.5	3.34247 0.0434926
42.5	64.8002	83.5	3.46905 0.0465451
47.5	50.2992	66.5	3.61331 0.0495233
52.5	38.2927	52	3.72609 0.053465
57.5	28.3782	39.5	4.04623 0.0585646
62.5	20.4685	29.5	4.26075 0.0648949
67.5	14.2205	21.5	4.8958 0.0747529
72.5	9.51452	15.5	5.45325 0.0857902
77.5	6.00292	11	6.50064 0.113689
82.5	3.58266	7.5	7.95994 0.144439
87.5	1.97024	5	12.819 0.264396
92.5	0.887543	3	29.6304 0.811273
97.5	nan	2	nan nan
