Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
0.5	367.805	381.5	-2.75014e-09 6.66553e-10	5.43741e-08 1.5152e-08	6.68967e-10 4.55756e-09	1.13541e-10 2.90941e-10	-1.92721e-11 1.5352e-11	-1.51041e-13 2.91928e-13	
1.5	345.932	365.5	-2.42252e-09 6.06942e-10	-1.87188e-09 2.68159e-08	1.31496e-11 6.35416e-09	6.10789e-11 3.00076e-10	-9.23445e-12 9.2173e-12	-1.87992e-12 1.79028e-12	
2.5	330.542	354.5	-2.69097e-09 7.84642e-10	-3.60429e-08 4.57523e-08	1.70415e-09 6.52549e-09	1.06413e-10 3.08483e-10	1.32349e-11 9.62549e-12	-6.78925e-13 4.74799e-13	
3.5	317.166	343.5	-3.27557e-09 7.20283e-10	1.79235e-09 8.37122e-08	1.08618e-09 6.3528e-09	-5.16787e-10 3.84508e-10	-6.51907e-12 1.8783e-11	-2.86296e-13 3.96381e-13	
4.5	304.617	333	-3.39594e-09 6.64559e-10	6.59805e-08 8.908e-08	-1.13102e-08 9.03526e-09	-6.34685e-11 3.29723e-10	-4.9257e-12 1.65154e-11	4.51523e-13 4.49512e-13	
5.5	292.919	322.5	-2.44447e-09 4.45667e-10	1.27765e-07 8.16668e-08	3.60771e-09 1.01414e-08	1.0334e-09 3.19073e-10	-8.8119e-12 1.27828e-11	-1.02263e-12 7.13011e-13	
6.5	280.808	312	-5.32852e-09 1.20992e-09	3.45709e-07 8.60242e-08	3.42161e-09 8.53431e-09	4.80153e-10 3.44148e-10	-4.50359e-12 2.47265e-11	-1.9772e-12 9.48334e-13	
7.5	270.727	302	-5.3992e-09 1.17596e-09	2.19107e-07 1.7357e-07	-5.73625e-09 8.2394e-09	5.44427e-10 4.42142e-10	-2.95256e-12 1.16129e-11	-4.60798e-13 4.96941e-13	
8.5	260.232	292.5	-4.90428e-09 9.73437e-10	6.56923e-07 1.19976e-07	-7.10234e-09 1.4622e-08	-4.23646e-11 5.95507e-10	-3.8811e-12 1.35557e-11	-1.28928e-12 6.50168e-13	
9.5	250.843	283	-4.40644e-09 8.95414e-10	9.80001e-07 1.76524e-07	8.74017e-12 1.14929e-08	-1.08335e-10 1.32086e-09	-1.62528e-11 1.8e-11	-4.16863e-12 3.3705e-12	
10.5	241.248	273.5	-3.37937e-09 8.19924e-10	1.26053e-06 2.59355e-07	1.03067e-08 1.02517e-08	3.8394e-10 7.20707e-10	-2.20144e-12 1.33777e-11	-1.14753e-12 7.07113e-13	
11.5	232.139	265	-7.7151e-09 2.62064e-09	1.61094e-06 2.45327e-07	2.78882e-08 9.1064e-09	-6.34586e-11 7.4482e-10	1.05532e-11 1.60453e-11	-1.68697e-12 8.08206e-13	
12.5	223.692	256.5	-7.41454e-09 1.2469e-09	2.15214e-06 3.10897e-07	2.39949e-08 1.31207e-08	4.32869e-10 4.83191e-10	7.3847e-12 1.33024e-11	-3.06591e-12 1.62215e-12	
13.5	215.093	248	-4.99077e-09 9.05792e-10	2.27626e-06 3.08704e-07	-4.70476e-11 1.17138e-08	-2.40462e-09 1.00144e-09	-1.21352e-11 1.79685e-11	-2.10992e-12 7.58193e-13	
14.5	206.948	240	-5.40125e-09 1.00999e-09	2.44238e-06 3.82455e-07	4.05995e-09 1.54406e-08	1.20261e-09 5.67768e-10	5.0354e-13 1.56152e-11	-2.15737e-13 6.3509e-13	
15.5	199.378	232	-5.7909e-09 1.69464e-09	2.2813e-06 4.10317e-07	-1.69899e-09 1.50152e-08	4.87754e-10 5.39805e-10	-1.82107e-11 2.21323e-11	-1.76016e-12 6.96086e-13	
16.5	192.244	224	-5.79906e-09 1.12861e-09	3.27081e-06 4.24092e-07	1.68353e-08 1.33535e-08	5.78671e-10 5.40844e-10	-3.3493e-11 2.84665e-11	-1.46299e-12 8.67681e-13	
17.5	184.874	216.5	-4.14447e-09 1.2374e-09	5.39506e-06 5.57371e-07	-2.87552e-08 2.00268e-08	-1.99184e-10 1.13741e-09	-3.32873e-11 2.65272e-11	-7.52172e-13 9.23602e-13	
18.5	178.383	209.5	-8.39212e-09 3.27031e-09	4.5783e-06 5.89085e-07	2.27814e-08 1.27118e-08	5.12961e-10 6.13314e-10	-3.46133e-11 2.12133e-11	-2.9798e-13 7.38184e-13	
19.5	171.548	202.5	-1.24478e-08 4.25652e-09	5.66647e-06 6.52008e-07	6.40838e-09 1.48954e-08	7.91334e-10 6.91676e-10	-2.19931e-12 1.96756e-11	-1.40666e-12 8.82836e-13	
20.5	165.101	195.5	-8.67148e-09 2.49731e-09	6.26204e-06 7.1684e-07	1.41569e-08 1.68627e-08	-5.48906e-10 8.05745e-10	2.57484e-12 2.78007e-11	-2.49437e-12 1.39303e-12	
21.5	158.6	188.5	-6.72859e-09 1.15594e-09	7.50537e-06 7.25198e-07	3.00808e-09 1.5424e-08	8.23384e-10 6.39336e-10	8.60959e-12 2.07543e-11	-3.1485e-12 1.30107e-12	
22.5	152.689	182	-1.09708e-08 2.20459e-09	7.24382e-06 7.70402e-07	2.92246e-08 1.38816e-08	7.37519e-10 5.18329e-10	2.33391e-11 2.43695e-11	-1.91054e-12 1.22657e-12	
23.5	146.597	176	-1.28333e-08 3.02846e-09	7.2399e-06 8.21039e-07	-2.41921e-08 2.05538e-08	1.08738e-10 7.95564e-10	-5.26674e-12 2.19287e-11	-4.44848e-12 3.47144e-12	
24.5	141.192	170	-1.09753e-08 3.14749e-09	8.06078e-06 8.89886e-07	9.54079e-09 1.88868e-08	-7.3117e-10 7.56472e-10	1.26787e-13 2.34431e-11	-3.84566e-12 1.82296e-12	
25.5	135.747	164	-1.04256e-08 3.55263e-09	8.41769e-06 9.29357e-07	2.52018e-08 2.29294e-08	-5.84896e-11 1.09383e-09	-2.39823e-11 3.00477e-11	-2.46266e-13 9.52485e-13	
26.5	130.283	158	-1.07577e-08 2.13296e-09	8.80265e-06 1.04773e-06	1.3933e-08 2.10139e-08	-9.77076e-10 8.46588e-10	-5.07693e-12 3.00029e-11	-2.31532e-12 2.05053e-12	
27.5	125.145	152	-1.02054e-08 2.31987e-09	1.12497e-05 1.11028e-06	-1.13702e-09 1.5207e-08	1.01328e-09 6.64022e-10	-1.89045e-11 3.18433e-11	-2.67399e-12 1.40329e-12	
28.5	120.291	146.5	-1.48547e-08 4.89124e-09	1.14791e-05 1.23379e-06	6.90285e-10 2.34594e-08	-9.2193e-11 1.02833e-09	-1.57224e-11 2.93635e-11	-4.02645e-12 4.26114e-12	
29.5	115.219	141.5	-1.22088e-08 2.43185e-09	1.12541e-05 1.39553e-06	-2.53412e-08 2.60825e-08	2.78136e-10 1.12595e-09	-9.56524e-11 4.54971e-11	-9.61926e-12 3.60702e-12	
30.5	110.242	136	-9.18331e-09 3.83313e-09	1.14906e-05 1.25704e-06	5.13993e-09 2.95101e-08	-6.20907e-11 7.62755e-10	-1.38587e-11 2.69002e-11	-4.53761e-12 2.17128e-12	
31.5	106.056	130.5	-2.10969e-08 5.31223e-09	1.28354e-05 1.29294e-06	1.20609e-08 2.42265e-08	-2.93827e-10 9.63194e-10	-5.39197e-11 3.02228e-11	-8.93076e-12 4.34874e-12	
32.5	101.419	126	-8.28124e-09 1.70413e-09	1.10029e-05 1.41865e-06	4.33163e-08 2.29022e-08	-6.92044e-10 1.06476e-09	-7.06537e-11 4.91895e-11	-4.42492e-12 1.8333e-12	
33.5	97.2484	121.5	-2.00554e-08 4.55259e-09	1.1401e-05 1.58435e-06	-3.40778e-08 2.60929e-08	-1.81379e-09 1.48172e-09	-8.32943e-11 4.30772e-11	-3.75532e-12 3.06117e-12	
34.5	93.2998	116.5	-1.86087e-08 3.47853e-09	1.21851e-05 1.33193e-06	9.66315e-09 1.83054e-08	-3.18746e-09 1.72376e-09	-5.58687e-11 4.30122e-11	-7.16058e-12 2.83452e-12	
35.5	88.9135	112	-9.81212e-09 1.69857e-09	1.55231e-05 1.74559e-06	1.9443e-08 1.75747e-08	-5.09604e-10 1.09135e-09	-8.63265e-11 3.59956e-11	-3.46033e-12 1.05635e-12	
36.5	85.4122	107.5	-1.60157e-08 4.69298e-09	1.59751e-05 1.75029e-06	2.33595e-08 1.6845e-08	2.17484e-10 1.0806e-09	-2.1555e-10 8.88955e-11	-5.81327e-12 2.18623e-12	
37.5	81.3808	103	-2.5017e-08 6.98329e-09	1.46265e-05 1.53422e-06	4.34518e-09 1.58225e-08	-2.23548e-09 1.15906e-09	-7.74042e-11 3.16804e-11	-8.23536e-12 2.34243e-12	
38.5	77.8225	99	-2.22532e-08 5.19679e-09	1.43929e-05 1.90829e-06	-1.09101e-08 2.38277e-08	-2.82926e-09 1.56747e-09	-6.99857e-11 3.69004e-11	-6.68831e-12 2.83039e-12	
39.5	74.385	95	-1.40136e-08 3.09392e-09	1.39077e-05 1.6282e-06	8.35668e-09 2.04792e-08	-4.11728e-09 1.77222e-09	-1.44339e-10 5.44168e-11	-1.12115e-11 2.93295e-12	
40.5	71.0572	91	-1.64117e-08 3.4007e-09	1.3679e-05 1.84805e-06	3.09292e-08 1.43065e-08	-2.87675e-09 1.5631e-09	-1.1992e-10 3.78402e-11	-3.68303e-12 1.60312e-12	
41.5	67.9782	87	-1.67049e-08 3.86034e-09	1.74293e-05 2.0952e-06	1.95095e-08 1.59468e-08	-4.92917e-09 1.97983e-09	-2.94545e-11 2.48524e-11	-9.55296e-12 4.88158e-12	
42.5	64.3778	83	-1.35255e-08 3.37425e-09	1.30458e-05 1.66695e-06	1.52101e-08 1.34741e-08	-2.25593e-09 1.49992e-09	-1.88309e-10 9.2412e-11	-6.05562e-12 3.48502e-12	
43.5	61.3959	79.5	-2.70034e-08 8.56113e-09	1.23217e-05 1.82492e-06	8.84393e-09 2.08924e-08	-2.11626e-09 1.12987e-09	-1.37553e-10 4.63309e-11	-7.65432e-12 2.71527e-12	
44.5	58.4296	76	-1.60178e-08 3.86645e-09	1.22547e-05 1.84377e-06	-1.59036e-08 2.64486e-08	-5.14096e-09 1.65235e-09	-1.06282e-10 6.29929e-11	-7.75417e-12 3.12372e-12	
45.5	55.5157	72.5	-2.64144e-08 6.24696e-09	1.45534e-05 2.10214e-06	2.57115e-09 1.51027e-08	-5.46724e-09 1.41085e-09	-1.06852e-10 4.11268e-11	-8.0308e-12 1.85138e-12	
46.5	52.7993	69.5	-4.64868e-08 2.61312e-08	1.23861e-05 1.95071e-06	1.67092e-08 1.94527e-08	-5.33285e-09 1.9317e-09	-1.30118e-10 6.21227e-11	-8.24658e-12 2.55693e-12	
47.5	49.9868	66.5	-2.51439e-08 5.59351e-09	1.6197e-05 2.06645e-06	2.92983e-08 1.31751e-08	-5.29602e-09 2.61743e-09	-6.53427e-11 2.75001e-11	-1.45325e-11 8.3411e-12	
48.5	47.4533	63.5	-2.2464e-08 5.31578e-09	1.57572e-05 2.07487e-06	1.46358e-08 1.77936e-08	-3.94322e-09 2.20559e-09	-6.73222e-11 3.42696e-11	-1.2856e-11 8.71579e-12	
49.5	45.3036	60.5	-2.25121e-08 6.00944e-09	1.07541e-05 2.01336e-06	-1.07789e-08 1.60951e-08	-4.0686e-09 1.39586e-09	-1.68022e-10 4.4177e-11	-7.80577e-12 2.38974e-12	
50.5	42.7279	57.5	-3.01056e-08 8.14224e-09	8.07884e-06 1.93986e-06	-3.06959e-08 1.8305e-08	-8.35949e-09 2.56957e-09	-7.43576e-11 2.26902e-11	-6.66248e-12 2.68016e-12	
51.5	40.5886	54.5	-3.73224e-08 9.00474e-09	1.01165e-05 1.87707e-06	1.22284e-08 1.19652e-08	-5.67334e-09 1.88344e-09	-3.51375e-11 1.86592e-11	-8.84146e-12 3.16423e-12	
52.5	38.1032	51.5	-3.25103e-08 1.09531e-08	9.14439e-06 1.74688e-06	-1.53474e-08 1.53103e-08	-6.99435e-09 2.41526e-09	-7.5519e-11 2.51226e-11	-1.00284e-11 2.87009e-12	
53.5	35.7739	49	-1.91721e-08 3.93153e-09	7.57695e-06 1.84607e-06	-1.75873e-08 1.29202e-08	-8.30522e-09 2.29851e-09	-8.52492e-11 3.64312e-11	-1.10848e-11 3.04544e-12	
54.5	34.2041	46.5	-4.09394e-08 7.71012e-09	1.00842e-05 1.81036e-06	3.20544e-10 9.65122e-09	-6.59757e-09 2.19211e-09	-1.46085e-10 3.94608e-11	-1.11987e-11 4.7101e-12	
