Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	302.193	335	-0.488002 0.0640002	-0.473858 0.0716503	0.250056 0.403134	
15	204.327	238.5	0.770519 0.00791485	0.439272 0.0722933	0.306216 0.227243	
25	139.454	169	0.820798 0.00555861	0.331581 0.174673	-0.152693 1.42702	
35	91.4231	116	0.81767 0.0055688	0.400958 0.0965979	-0.608656 0.0383562	
45	57.4595	76	0.788702 0.00673475	0.462196 0.0610448	-0.775586 0.0246261	
55	33.3267	46.5	0.725076 0.0102318	-0.56431 0.040531	-0.955339 0.019245	
65	17.3918	26	0.670459 0.0138652	-0.748505 0.0245513	-0.988859 0.0160645	
75	7.78817	13.5	-0.659101 0.0233513	-0.97821 0.0158283	-1.28599 0.0167154	
85	2.76914	6.5	-1.12162 0.0117455	-1.43798 0.0166085	-1.86308 0.0371737	
95	0.599908	3	-1.72079 0.0220812	-1.90042 0.0363135	-1.71641 0.0216136	
