Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	333.384	360	-0.566096 0.0801541	-0.430869 0.129374	-0.376649 0.168072	
7.5	270.864	303	0.658501 0.0249735	-0.368421 0.232045	0.457199 0.127761	
12.5	223.676	257	0.767717 0.0115995	0.530946 0.0563899	-0.410859 0.180689	
17.5	185.505	217.5	0.800436 0.00867492	0.348045 0.19443	0.460345 0.0944867	
22.5	152.831	183	0.828172 0.00701498	0.398987 0.134533	0.279565 0.360396	
27.5	125.265	153	0.824397 0.0076221	0.266471 0.436233	-0.219204 0.711253	
32.5	101.408	126.5	0.81808 0.00790944	0.37218 0.177667	-0.582432 0.0674144	
37.5	81.667	103.5	0.821163 0.0075494	0.426126 0.101348	-0.622309 0.0482812	
42.5	64.8002	83.5	0.796087 0.00917741	0.472267 0.0811039	-0.739556 0.0364594	
47.5	50.2992	66.5	0.782545 0.0098088	0.45525 0.0877071	-0.806835 0.0339722	
52.5	38.2927	52	0.729627 0.0139956	-0.507339 0.073577	-0.963925 0.0284597	
57.5	28.3782	39.5	0.721 0.0149234	-0.56269 0.0605116	-0.944617 0.0252656	
62.5	20.4685	29.5	0.694365 0.016557	-0.679114 0.0385429	-0.947626 0.0232084	
67.5	14.2205	21.5	0.655367 0.0217077	-0.684886 0.0339065	-1.01535 0.0208394	
72.5	9.51452	15.5	0.226424 0.636645	-0.833159 0.0239788	-1.14689 0.0202334	
77.5	6.00292	11	-0.764181 0.0233115	-0.999731 0.0192421	-1.36648 0.0257067	
82.5	3.58266	7.5	-0.981627 0.016389	-1.19155 0.0183199	-1.56649 0.034629	
87.5	1.97024	5	-1.11178 0.0165329	-1.37506 0.023581	-1.6911 0.0897328	
92.5	0.887543	3	-1.43653 0.0214367	-1.65762 0.0342353	-1.46937 0.0217985	
97.5	nan	2	nan nan	nan nan	nan nan	
