Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	292.795	360	0.00766036 0.0190127	0.956394 0.00159987	0.936386 0.00231794	
7.5	236.522	303	0.00551621 0.0186894	0.964461 0.00128918	0.916749 0.00339999	
12.5	194.764	257	0.0228127 0.018401	0.973809 0.000891777	0.909556 0.00375144	
17.5	160.4	217.5	0.0148276 0.0191949	0.973246 0.000927984	0.880997 0.00467137	
22.5	131.642	183	0.0122656 0.0184905	0.974149 0.000932978	0.871125 0.00510914	
27.5	107.453	153	0.0188474 0.0190689	0.970754 0.00116536	0.837918 0.00698417	
32.5	86.8103	126.5	0.0228948 0.0194846	0.967007 0.00121534	0.821915 0.00777824	
37.5	69.6422	103.5	0.0236389 0.0184528	0.959079 0.00165223	0.80505 0.00810163	
42.5	54.9558	83.5	0.0273842 0.0206563	0.946843 0.00214278	0.758743 0.00943822	
47.5	42.565	66.5	0.0579209 0.0196491	0.94146 0.00217963	0.735349 0.00952913	
52.5	32.1995	52	0.0268984 0.01869	0.9046 0.00433085	0.666129 0.0122468	
57.5	23.8297	39.5	0.0123404 0.0179742	0.868395 0.00576539	0.612298 0.0131345	
62.5	17.1335	29.5	0.0783797 0.0175867	0.799031 0.00850598	0.519349 0.0151291	
67.5	11.8814	21.5	0.0261073 0.0175202	0.748671 0.00952686	0.454834 0.0164826	
72.5	7.9162	15.5	0.00245278 0.0159919	0.620414 0.0129445	0.375517 0.0170255	
77.5	5.06431	11	0.0237869 0.0167971	0.584661 0.012452	0.2939 0.0180203	
82.5	3.07667	7.5	0.034894 0.0178482	0.545796 0.0128478	0.247894 0.0162314	
87.5	1.74678	5	0.00718133 0.0153664	0.499511 0.0138002	0.180731 0.0156297	
92.5	0.828441	3	0.0365436 0.0231953	0.466849 0.0167509	0.0294738 0.0242356	
97.5	0.233097	2	0.0479929 0.017527	0.279789 0.0226767	0.235593 0.021962	
