Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	323.48	381.5	0.198676 0.00010689	0.200705 0.000857946	-0.123332 0.0907245	0.123585 3.85457e-06	0.123918 0.000859815	-0.0148234 0.0463698	
1.5	304.447	365.5	0.201968 6.86125e-05	0.204472 0.000242681	-0.105727 0.0072858	0.120744 0.000229891	0.127435 0.000677091	-0.286428 0.0240612	
2.5	290.396	354.5	0.197382 8.64412e-05	0.197673 0.000264278	-0.0109687 0.00723518	0.120205 7.83177e-05	0.115961 0.00232629	0.1779 0.0934	
3.5	278.585	343.5	0.195667 5.6359e-05	0.187469 0.00020636	0.261677 0.00247411	0.121133 7.78582e-05	0.121871 0.000226319	-0.0255341 0.0177703	
4.5	266.953	333	0.192888 1.2669e-05	0.187986 4.77431e-05	0.12298 0.00116915	0.115598 6.52983e-05	0.119332 0.000224437	-0.116242 0.00571568	
5.5	256.063	322.5	0.189761 2.05865e-05	0.183691 7.49057e-05	0.131758 5.44299e-05	0.116074 7.1928e-05	0.113634 0.000148748	0.0757717 0.000316387	
6.5	245.624	312	0.18532 0.000313894	0.180588 0.104585	0.0967002 0.694355	0.112743 0.000161042	0.11174 4.61841e-05	0.0305028 0.0107913	
7.5	236.461	302	0.187021 5.90109e-05	0.178844 0.00630358	0.145795 0.0841402	0.111316 7.222e-05	0.113845 0.000267483	-0.0672098 0.00891042	
8.5	227.468	292.5	0.179547 2.87537e-05	0.173835 0.000444006	0.1004 0.0147499	0.107758 1.2929e-05	0.105664 2.10993e-05	0.0400743 0.0028161	
9.5	218.627	283	0.183847 7.77045e-05	0.173433 0.000705141	0.151768 0.0161802	0.107411 4.80727e-05	0.110479 0.000137769	-0.0768934 0.00255303	
10.5	209.987	273.5	0.181946 0.00015246	0.175279 0.000332348	0.0797019 0.0117532	0.109001 5.47503e-05	0.107857 0.00174001	0.0268571 0.0401103	
11.5	202.072	265	0.177368 3.03383e-05	0.167814 0.00106267	0.117648 0.0193265	0.105809 2.96301e-05	0.107415 7.23156e-05	-0.04031 0.00721768	
12.5	194.26	256.5	0.178873 3.09297e-06	0.165836 0.000102204	0.139078 0.00399899	0.105295 4.78071e-05	0.105291 0.000170399	8.82894e-05 0.00298143	
13.5	186.825	248	0.176975 7.0269e-05	0.166706 0.00104382	0.110661 0.0164133	0.104505 4.72187e-05	0.108465 2.92605e-05	-0.0769485 0.00484504	
