Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	264.603	335	0.188284 1.72602e-05	0.187396 0.000141224	0.01821 0.00339466	0.114397 6.80237e-06	0.116913 1.75621e-05	-0.0728051 0.000360712	
15	177.162	238.5	0.176936 6.72415e-07	0.1666 0.000131085	0.0943198 0.00160807	0.0999727 6.04238e-06	0.102455 1.71443e-05	-0.0451896 0.0001992	
25	120.115	169	0.167626 1.15872e-05	0.150519 7.85249e-05	0.0965212 0.00064258	0.0844304 1.02576e-05	0.0884522 3.25474e-05	-0.0501467 0.000289351	
35	78.0326	116	0.156804 1.34261e-05	0.133022 0.000121586	0.0950284 0.000755838	0.0705018 2.31394e-05	0.0748656 3.07251e-05	-0.0370709 0.000547244	
45	48.7026	76	0.14251 3.59689e-06	0.11496 4.9439e-05	0.0855273 0.000298002	0.0537186 2.22655e-05	0.0590551 3.35522e-05	-0.0334246 2.57161e-06	
55	28.0942	46.5	0.119954 6.82895e-06	0.0918361 0.000587986	0.0730366 0.0013082	0.0344768 5.23326e-07	0.0458088 2.55704e-06	-0.0513297 8.74837e-06	
65	14.5376	26	0.0864242 5.19262e-06	0.0945381 3.0132e-05	-0.0180031 4.21485e-05	0.0180365 6.37454e-06	0.0274822 1.88538e-05	-0.0359353 4.66933e-05	
75	6.49672	13.5	0.0495639 1.16767e-05	0.0967054 0.000100175	-0.0917405 0.000200263	0.00696958 2.10345e-06	0.0155906 2.09671e-05	-0.0276843 5.58801e-05	
85	2.40319	6.5	0.0274395 2.36957e-05	0.0842488 0.000187117	-0.106569 0.000260924	0.00177099 1.95085e-06	0.00558705 6.88803e-06	-0.0107995 1.41417e-05	
95	0.562217	3	0.0120991 2.49975e-11	0.0467384 2.60518e-10	-0.0649127 4.02838e-10	-8.28842e-05 9.49634e-12	-0.000205608 3.92507e-11	0.000322962 7.83026e-11	
