Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	323.48	381.5	1.42463 0.0552583
1.5	304.447	365.5	1.66938 0.0604808
2.5	290.396	354.5	1.64913 0.0672829
3.5	278.585	343.5	1.76382 0.0721077
4.5	266.953	333	1.89502 0.0691103
5.5	256.063	322.5	1.97296 0.0765119
6.5	245.624	312	2.00587 0.0761814
7.5	236.461	302	2.08991 0.0794371
8.5	227.468	292.5	1.94993 0.0814329
9.5	218.627	283	2.38511 0.0851231
10.5	209.987	273.5	2.47723 0.0892396
11.5	202.072	265	2.50858 0.0882994
12.5	194.26	256.5	2.6067 0.0928024
13.5	186.825	248	2.48783 0.0927109
14.5	179.503	240	2.43766 0.0876463
15.5	172.767	232	2.70628 0.0967954
16.5	166.364	224	2.67918 0.0962428
17.5	160.156	216.5	2.82188 0.10126
18.5	154.023	209.5	2.87615 0.0964731
19.5	148.064	202.5	2.89489 0.101442
20.5	142.43	195.5	2.9896 0.104376
21.5	136.56	188.5	2.86323 0.10191
22.5	131.404	182	3.11271 0.103902
23.5	126.202	176	3.03844 0.109234
24.5	121.475	170	3.07979 0.1088
25.5	116.666	164	2.96994 0.105433
26.5	111.902	158	3.08639 0.113894
27.5	107.255	152	3.357 0.128695
28.5	103.123	146.5	3.18644 0.122236
29.5	98.9382	141.5	3.3178 0.134392
30.5	94.5964	136	3.19928 0.124317
31.5	90.6952	130.5	3.15951 0.120651
32.5	86.9725	126	2.89525 0.105133
33.5	83.1223	121.5	3.33948 0.132099
34.5	79.6369	116.5	3.33701 0.119655
35.5	76.0275	112	3.34633 0.12255
36.5	72.9307	107.5	3.28599 0.114099
37.5	69.3972	103	3.33445 0.125179
38.5	66.2531	99	3.56793 0.129549
39.5	63.3317	95	3.3711 0.133746
40.5	60.3051	91	3.51824 0.130373
41.5	57.6947	87	3.66047 0.137364
42.5	54.7753	83	3.48409 0.124573
43.5	52.0679	79.5	3.40168 0.132107
44.5	49.5962	76	3.30437 0.13723
45.5	47.1312	72.5	3.68773 0.140558
46.5	44.7348	69.5	3.39158 0.132116
47.5	42.4334	66.5	3.71349 0.142161
48.5	40.1969	63.5	3.61177 0.147849
49.5	38.1346	60.5	3.64857 0.13782
50.5	36.0442	57.5	3.67538 0.169404
51.5	34.1748	54.5	3.60051 0.142933
52.5	32.0715	51.5	3.52168 0.145652
53.5	30.203	49	3.88242 0.166382
54.5	28.611	46.5	3.88498 0.158469
55.5	26.8468	44	3.89627 0.149505
56.5	25.2786	42	4.03228 0.165533
57.5	23.6746	39.5	3.99098 0.17334
58.5	22.3576	37	4.25166 0.184264
59.5	20.9598	35	3.88587 0.166186
60.5	19.5605	33	4.07636 0.175853
61.5	18.3077	31.5	4.23872 0.183939
62.5	17.1105	30	4.06977 0.174881
63.5	15.9749	28	4.41409 0.206785
64.5	14.8253	26	4.50561 0.193547
65.5	13.7483	24.5	4.55803 0.200222
66.5	12.8128	23	5.04892 0.220949
67.5	11.8537	21.5	4.9832 0.226094
68.5	10.9802	20	5.02661 0.215136
69.5	10.0996	18.5	5.27276 0.253934
70.5	9.33371	17.5	5.26299 0.242677
71.5	8.55556	16.5	5.27776 0.23255
72.5	7.88631	15.5	5.5268 0.258096
73.5	7.25294	14.5	5.8306 0.250943
74.5	6.59674	13.5	6.31404 0.276592
75.5	6.04955	12.5	6.38212 0.315001
76.5	5.50572	11.5	7.14976 0.304509
77.5	4.99813	10.5	7.43144 0.330703
78.5	4.54881	9.5	8.03795 0.341859
79.5	4.14137	9	7.87622 0.375709
80.5	3.74621	8.5	8.02078 0.338896
81.5	3.36984	7.5	9.61287 0.478564
82.5	3.06169	7	9.018 0.435307
83.5	2.74429	6.5	9.9124 0.434095
84.5	2.46243	6	11.0058 0.560887
85.5	2.18802	5.5	13.0893 0.724669
86.5	1.95471	5	16.3275 0.980899
87.5	1.72454	4.5	14.9141 0.793929
88.5	1.52072	4	19.1858 0.970955
89.5	1.33178	4	27.0366 1.69538
90.5	1.14705	3.5	30.4349 1.68794
91.5	0.979013	3	38.152 2.11781
92.5	0.823228	2.5	41.9491 3.04059
93.5	0.685371	2	44.6478 6.41004
94.5	0.533742	2	28.0383 2.39421
95.5	0.397467	2	20.6185 2.12328
96.5	0.279649	2	14.0588 1.40608
97.5	0.167943	2	16.0189 2.70547
98.5	0.0607819	2	4.7714 1.29133
99.5	0.00156271	0	5.98822 0.422209
