Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	323.48	381.5	0.00418651 0.000181461	 0.0200962 0.000513201	 0.0141062 0.000396121	 0.00671312 0.000179857	 0.00313443 9.04372e-05	 0.00130405 4.31602e-05	 
1.5	304.447	365.5	0.00380859 0.000182092	 0.0234741 0.00065714	 0.0140616 0.000386116	 0.00705849 0.000206613	 0.0029782 8.54771e-05	 0.0012518 3.97815e-05	 
2.5	290.396	354.5	0.00414653 0.000166377	 0.0240069 0.000652707	 0.0145573 0.000410195	 0.00730518 0.000204204	 0.0031991 8.22256e-05	 0.00124452 3.75523e-05	 
3.5	278.585	343.5	0.00408346 0.000155188	 0.0273196 0.000779834	 0.0154888 0.000463779	 0.00709571 0.000224987	 0.00301789 9.47566e-05	 0.00136891 4.01464e-05	 
4.5	266.953	333	0.00440242 0.00015294	 0.0304442 0.00079706	 0.0160654 0.000432245	 0.0077587 0.000215646	 0.00318983 9.41491e-05	 0.00143685 3.92834e-05	 
5.5	256.063	322.5	0.00438303 0.00018669	 0.0315467 0.000876973	 0.0159895 0.000484318	 0.00752223 0.000210587	 0.00320568 9.93907e-05	 0.00133225 4.54753e-05	 
6.5	245.624	312	0.0044458 0.000183828	 0.032583 0.000826723	 0.0162438 0.000449552	 0.00720208 0.000179811	 0.00320102 0.000104026	 0.00134477 3.80274e-05	 
7.5	236.461	302	0.00503093 0.000236806	 0.0350593 0.000949988	 0.0167755 0.000483847	 0.00807048 0.00022163	 0.00338405 9.29921e-05	 0.00146201 4.17643e-05	 
8.5	227.468	292.5	0.00513871 0.000256635	 0.035347 0.000835747	 0.0181273 0.00056773	 0.00795941 0.000229498	 0.00340093 9.96989e-05	 0.00147707 4.34948e-05	 
9.5	218.627	283	0.00499213 0.0002172	 0.0404676 0.000918077	 0.0169668 0.000463764	 0.00862189 0.000248747	 0.00342314 9.62183e-05	 0.00151641 6.21941e-05	 
10.5	209.987	273.5	0.00521378 0.000207242	 0.0437072 0.000980102	 0.0176436 0.000493408	 0.00777065 0.000190685	 0.00339353 0.000104615	 0.00141117 4.34703e-05	 
11.5	202.072	265	0.00502546 0.000214444	 0.0432197 0.000955871	 0.0172288 0.000454112	 0.00819345 0.000228861	 0.00352965 0.000103102	 0.00154483 4.67643e-05	 
12.5	194.26	256.5	0.00529087 0.000284891	 0.0472962 0.00100278	 0.0181441 0.000501595	 0.00879219 0.000248054	 0.00343935 9.30289e-05	 0.00169573 5.48028e-05	 
13.5	186.825	248	0.0050328 0.000222974	 0.0455122 0.00106771	 0.0182939 0.000525517	 0.00902759 0.000309001	 0.00359555 0.00010999	 0.00159135 5.39895e-05	 
14.5	179.503	240	0.00504815 0.000199284	 0.0479768 0.00103388	 0.0196815 0.000544209	 0.00895998 0.000250375	 0.00372326 0.000104857	 0.0016965 5.39266e-05	 
15.5	172.767	232	0.00510766 0.000206785	 0.0505621 0.00116398	 0.0186833 0.000505408	 0.00889281 0.000229238	 0.00367504 0.000105372	 0.00165184 5.20619e-05	 
16.5	166.364	224	0.00583442 0.000327881	 0.0519784 0.00108513	 0.0194009 0.000542119	 0.00878472 0.000233776	 0.00386235 0.000124247	 0.00169672 4.98309e-05	 
17.5	160.156	216.5	0.0056662 0.000239139	 0.0538523 0.00102943	 0.0190838 0.000582898	 0.00955311 0.00028394	 0.00377829 0.000117764	 0.00174822 5.12191e-05	 
18.5	154.023	209.5	0.00561614 0.000251052	 0.0552421 0.00118224	 0.0192069 0.000506969	 0.0085767 0.000252221	 0.00386127 0.000118808	 0.00164041 4.85068e-05	 
19.5	148.064	202.5	0.00601798 0.000356088	 0.055169 0.001139	 0.0190573 0.000514315	 0.00936089 0.000260082	 0.00388467 0.000112115	 0.00175172 5.40788e-05	 
20.5	142.43	195.5	0.00559759 0.000254185	 0.0579345 0.00117267	 0.0193787 0.000526683	 0.00949642 0.000279389	 0.00386962 0.000105227	 0.00172922 5.1014e-05	 
21.5	136.56	188.5	0.00567914 0.000241632	 0.0583447 0.00111808	 0.0203773 0.000579058	 0.00932947 0.000254616	 0.0041443 0.000110646	 0.00182862 5.52272e-05	 
22.5	131.404	182	0.00695311 0.000341519	 0.0605368 0.0011636	 0.0194483 0.000522195	 0.00910604 0.000255778	 0.00412888 0.000109243	 0.00181107 5.21261e-05	 
23.5	126.202	176	0.00587152 0.000263097	 0.0598253 0.00117325	 0.0196895 0.00055753	 0.00936978 0.000263283	 0.00391349 0.000107393	 0.00185737 5.46385e-05	 
24.5	121.475	170	0.006565 0.000278192	 0.0607563 0.0012556	 0.0197274 0.000538718	 0.00917832 0.000275104	 0.00403673 0.000119433	 0.00173913 5.26976e-05	 
25.5	116.666	164	0.00698363 0.000462634	 0.0617335 0.00135323	 0.0207861 0.000546996	 0.00935035 0.000291787	 0.00406308 0.000121368	 0.00185849 5.91119e-05	 
26.5	111.902	158	0.00653518 0.000357262	 0.0633465 0.0014438	 0.0205245 0.000552835	 0.00937192 0.000279739	 0.00429265 0.000133409	 0.00186774 5.98626e-05	 
27.5	107.255	152	0.00767453 0.000500735	 0.0659593 0.00141922	 0.0196482 0.000564187	 0.00956364 0.000273592	 0.00408714 0.000130065	 0.00183486 6.52742e-05	 
28.5	103.123	146.5	0.00721051 0.000429176	 0.0671536 0.00138314	 0.0210748 0.0006199	 0.00986497 0.000299013	 0.00421011 0.000134571	 0.0019459 6.21421e-05	 
29.5	98.9382	141.5	0.00748518 0.000472298	 0.0672852 0.00141345	 0.0202801 0.000646699	 0.010133 0.000274084	 0.0041101 0.000130038	 0.00214879 7.75904e-05	 
30.5	94.5964	136	0.00655969 0.000339237	 0.0667953 0.00142265	 0.0208782 0.000609602	 0.00963371 0.000312153	 0.00416103 0.000124011	 0.00188617 6.16829e-05	 
31.5	90.6952	130.5	0.00780715 0.000541977	 0.0675356 0.00141484	 0.0213754 0.000606593	 0.0103714 0.000322393	 0.00403004 0.000119614	 0.00200953 7.24808e-05	 
32.5	86.9725	126	0.00736549 0.000452816	 0.0671584 0.00141491	 0.023196 0.000628128	 0.00981672 0.000304042	 0.00447591 0.00013413	 0.00195573 5.97289e-05	 
33.5	83.1223	121.5	0.00743695 0.000465205	 0.0713472 0.00160716	 0.0213648 0.00061758	 0.0102673 0.000331797	 0.00433057 0.000138819	 0.00193831 6.6753e-05	 
34.5	79.6369	116.5	0.00801974 0.000388032	 0.0689681 0.00142764	 0.0206676 0.000560611	 0.0101434 0.000299713	 0.00420249 0.000123884	 0.00202269 6.43602e-05	 
