Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	264.603	335	0.00448673 6.35677e-05	 0.0306677 0.000284324	 0.0158919 0.000148007	 0.00755604 6.8852e-05	 0.00321916 2.98789e-05	 0.0013774 1.40976e-05	 
15	177.162	238.5	0.00540206 8.32221e-05	 0.0497137 0.000350071	 0.0186617 0.000164518	 0.00880357 7.97868e-05	 0.00367974 3.49787e-05	 0.00164646 1.62666e-05	 
25	120.115	169	0.00665695 0.000119533	 0.0622455 0.000413186	 0.0200917 0.000179662	 0.00947903 8.69478e-05	 0.00408306 3.79643e-05	 0.00186541 1.90897e-05	 
35	78.0326	116	0.00784807 0.000158967	 0.0705374 0.000485672	 0.021489 0.000188035	 0.0101441 0.000100408	 0.0042756 4.37698e-05	 0.00199267 2.11008e-05	 
45	48.7026	76	0.00966818 0.000210936	 0.0747987 0.000541342	 0.0211218 0.000186517	 0.0101946 0.000111486	 0.00429051 4.75207e-05	 0.0019631 2.39411e-05	 
55	28.0942	46.5	0.0115993 0.000257765	 0.0731697 0.000570101	 0.0190477 0.000183189	 0.00937211 0.000118537	 0.00375101 4.29237e-05	 0.00172436 2.25531e-05	 
65	14.5376	26	0.0148273 0.000422308	 0.0652881 0.000544584	 0.0143971 0.000153418	 0.00777966 0.000105062	 0.00273124 3.57418e-05	 0.00139128 1.81329e-05	 
75	6.49672	13.5	0.016794 0.000504782	 0.0500227 0.000510261	 0.00818635 0.000107814	 0.00491787 8.23436e-05	 0.00146481 2.34886e-05	 0.00105146 1.32646e-05	 
85	2.40319	6.5	0.00785982 0.000256873	 0.0271449 0.000406215	 0.00266223 5.62827e-05	 0.0013617 3.6286e-05	 0.000398645 9.28513e-06	 0.000529785 9.88386e-06	 
95	0.562217	3	0.00114266 3.81991e-05	 0.00817141 0.000252844	 0.00024661 9.05615e-06	 0.000132766 3.80303e-06	 5.72445e-05 2.06976e-06	 4.61101e-05 2.08488e-06	 
