Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	264.603	335	-0.427839 0.12343	-0.455143 0.115837	0.201959 0.864954	
15	177.162	238.5	0.790653 0.00898085	0.461322 0.0788208	-0.30769 0.378968	
25	120.115	169	0.823332 0.00706456	0.373058 0.169425	-0.422424 0.148559	
35	78.0326	116	0.809183 0.00762013	0.527569 0.0491318	-0.6516 0.0447778	
45	48.7026	76	0.780631 0.00928362	0.503384 0.0588821	-0.812006 0.0375054	
55	28.0942	46.5	0.722908 0.0135852	-0.572325 0.0525898	-0.977848 0.0254374	
65	14.5376	26	0.669468 0.0186081	-0.742445 0.0345152	-1.02258 0.0239407	
75	6.49672	13.5	-0.661676 0.0297835	-0.996391 0.0204281	-1.21902 0.018607	
85	2.40319	6.5	-1.14542 0.0148286	-1.45047 0.0200179	-1.66086 0.0327452	
95	0.562217	3	-1.72895 0.0273637	-1.89729 0.0536878	-1.65602 0.0245296	
