Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	292.795	360	-0.394192 0.236264	0.426407 0.13794	-0.162844 1.56357	
7.5	236.522	303	0.670271 0.0298462	-0.446095 0.181272	0.422936 0.181785	
12.5	194.764	257	0.79923 0.0118565	0.513937 0.0836566	-0.401186 0.265556	
17.5	160.4	217.5	0.814196 0.0100411	0.428229 0.129966	0.347916 0.26764	
22.5	131.642	183	0.839408 0.00800175	0.352179 0.246789	-0.467976 0.116789	
27.5	107.453	153	0.820736 0.0101949	0.411339 0.184801	-0.321828 0.42471	
32.5	86.8103	126.5	0.822834 0.0107799	0.501916 0.0859669	-0.622143 0.0878609	
37.5	69.6422	103.5	0.802812 0.0103916	0.549266 0.056064	-0.673999 0.0510809	
42.5	54.9558	83.5	0.796621 0.0118863	0.472911 0.101441	-0.762087 0.0465668	
47.5	42.565	66.5	0.768068 0.0140429	0.529313 0.0690358	-0.852109 0.0563996	
52.5	32.1995	52	0.728612 0.0181425	-0.601299 0.0635761	-0.984548 0.0329962	
57.5	23.8297	39.5	0.717167 0.020389	-0.399215 0.183964	-0.970004 0.0406921	
62.5	17.1335	29.5	0.703076 0.0218366	-0.657569 0.0575272	-0.985223 0.035466	
67.5	11.8814	21.5	0.634079 0.030749	-0.692806 0.0541793	-1.04597 0.0281661	
72.5	7.9162	15.5	-0.451878 0.11131	-0.850975 0.0295917	-1.13374 0.0230696	
77.5	5.06431	11	-0.75175 0.0315694	-0.97126 0.0293365	-1.25851 0.0302234	
82.5	3.07667	7.5	-1.00045 0.0208494	-1.18051 0.0222158	-1.373 0.0324027	
87.5	1.74678	5	-1.15491 0.021447	-1.45554 0.033208	-1.68484 0.0988418	
92.5	0.828441	3	-1.44943 0.0266724	-1.67786 0.0513216	-1.3944 0.0250419	
97.5	0.233097	2	-2.06332 0.0608568	-2.05508 0.061298	-2.19315 0.0891913	
