Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	264.603	335	1.51322e-14 4.42688e-15	-3.19025e-11 1.91504e-11	9.21338e-14 4.45695e-13	1.10419e-14 1.02233e-14	5.19861e-17 6.35625e-17	4.75107e-18 4.71282e-18	
15	177.162	238.5	1.18832e-13 6.99912e-14	3.76048e-09 2.95361e-10	3.12803e-13 8.04142e-13	1.1226e-14 1.23459e-14	4.94294e-17 7.00086e-17	-7.90445e-20 5.96079e-19	
25	120.115	169	6.32554e-13 2.11705e-13	1.82691e-08 1.19224e-09	2.46668e-12 1.95167e-12	-1.00908e-15 2.19312e-14	-2.19761e-17 1.22179e-16	3.48855e-18 3.49031e-18	
35	78.0326	116	3.86034e-12 2.35295e-12	3.43009e-08 2.5099e-09	7.91994e-13 1.81374e-12	5.26285e-16 4.60658e-14	3.50178e-16 3.06107e-16	4.01628e-18 4.28349e-18	
45	48.7026	76	1.22184e-11 3.9762e-12	3.77051e-08 3.50874e-09	2.32113e-13 1.62575e-12	1.36214e-13 1.70946e-13	1.62402e-15 1.06304e-15	6.95973e-17 4.45269e-17	
55	28.0942	46.5	4.26862e-11 1.72436e-11	1.7921e-08 2.93716e-09	-2.11086e-12 1.09848e-12	2.23606e-13 1.11821e-13	1.31707e-16 1.82944e-16	3.56624e-17 1.59441e-17	
65	14.5376	26	5.01243e-10 1.84854e-10	2.86513e-09 1.48689e-09	-1.94398e-13 3.96374e-13	7.12232e-14 4.02618e-14	2.1238e-16 9.95372e-17	6.1236e-18 2.64255e-18	
75	6.49672	13.5	1.17359e-09 4.62329e-10	-4.81742e-09 3.72704e-10	-5.53664e-15 2.93972e-14	1.72715e-14 4.09186e-15	1.66823e-17 7.3352e-18	1.27994e-19 1.33999e-19	
85	2.40319	6.5	1.66457e-11 5.91735e-12	-1.25517e-10 4.38323e-11	2.14695e-15 3.58077e-16	1.71245e-16 4.06873e-17	1.36773e-19 6.79895e-20	5.29355e-20 1.52129e-20	
95	0.562217	3	1.77828e-16 6.52152e-17	7.14632e-12 1.12857e-12	1.8066e-20 6.41722e-21	7.1217e-23 9.48883e-24	1.91162e-24 3.56799e-25	1.86532e-24 7.51653e-25	
