Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	292.795	360	4.26345e-15 1.427e-15	-4.59814e-12 7.3216e-12	-5.99209e-14 3.01741e-13	-4.97913e-15 3.73382e-15	6.07808e-17 5.19192e-17	-9.80636e-20 1.55957e-19	
7.5	236.522	303	2.22242e-14 7.57014e-15	1.57103e-10 5.00231e-11	-9.28741e-14 7.47407e-13	2.85026e-14 1.79728e-14	3.18611e-17 1.09676e-16	9.20424e-18 9.04617e-18	
12.5	194.764	257	3.47554e-14 1.95173e-14	2.30531e-09 2.60945e-10	1.22617e-12 1.1382e-12	7.34739e-15 1.15277e-14	-3.9438e-17 5.54094e-17	9.51774e-19 9.1939e-19	
17.5	160.4	217.5	1.90887e-13 1.30935e-13	6.67682e-09 6.46482e-10	-6.7134e-13 1.23738e-12	1.71406e-14 2.0481e-14	6.77052e-17 1.15853e-16	-9.00764e-19 8.26312e-19	
22.5	131.642	183	6.32468e-14 2.29177e-14	1.52125e-08 1.28351e-09	1.34167e-12 1.68731e-12	-2.25385e-14 1.72923e-14	4.03611e-17 1.06416e-16	-1.79681e-18 1.12044e-18	
27.5	107.453	153	1.14591e-12 4.01083e-13	2.32516e-08 2.28956e-09	3.79908e-12 3.47795e-12	2.48143e-14 3.98047e-14	-1.59916e-16 2.15592e-16	6.75518e-18 6.38671e-18	
32.5	86.8103	126.5	1.03325e-12 3.15261e-13	3.21828e-08 3.09246e-09	7.26135e-13 2.65118e-12	5.36969e-14 8.56166e-14	4.98717e-17 1.7099e-16	8.73919e-18 7.14236e-18	
37.5	69.6422	103.5	6.4437e-12 4.50008e-12	3.72295e-08 4.08271e-09	8.39831e-13 2.47264e-12	-5.30217e-14 4.29862e-14	5.71073e-16 5.51636e-16	-1.00261e-18 5.14287e-18	
42.5	54.9558	83.5	4.18029e-12 1.17266e-12	3.96002e-08 4.55521e-09	-8.05702e-13 2.38552e-12	3.48157e-14 7.96418e-14	1.84551e-15 1.7511e-15	4.75365e-17 2.84506e-17	
47.5	42.565	66.5	1.93066e-11 7.38126e-12	3.57992e-08 5.41944e-09	1.22496e-12 2.20818e-12	2.31823e-13 3.26871e-13	1.40752e-15 1.23384e-15	9.14549e-17 8.53436e-17	
52.5	32.1995	52	6.32176e-11 3.35047e-11	1.98311e-08 4.34377e-09	-3.2846e-12 1.93639e-12	2.48864e-13 1.08463e-13	2.94933e-16 3.00733e-16	3.23087e-17 1.62046e-17	
57.5	23.8297	39.5	2.16109e-11 7.3681e-12	1.61667e-08 3.96135e-09	-2.27782e-12 9.84566e-13	1.95096e-13 2.01019e-13	-1.30519e-16 1.28847e-16	3.88444e-17 2.85134e-17	
62.5	17.1335	29.5	2.18603e-10 9.28238e-11	8.32076e-09 2.59062e-09	-5.25134e-13 6.03375e-13	9.09406e-14 6.44893e-14	2.93837e-16 1.55753e-16	8.56604e-18 4.47976e-18	
67.5	11.8814	21.5	7.78832e-10 3.53551e-10	-1.07847e-09 1.68103e-09	-4.50997e-13 2.56758e-13	2.65182e-14 2.58504e-14	1.14233e-17 3.53422e-17	2.74863e-18 1.55161e-18	
72.5	7.9162	15.5	2.04468e-09 8.79123e-10	-4.68141e-09 7.14032e-10	-1.8315e-13 4.60745e-14	9.348e-15 5.82009e-15	8.20479e-18 1.09103e-17	-5.65734e-21 1.80334e-19	
77.5	5.06431	11	2.224e-10 5.81125e-11	-3.99369e-09 3.72111e-10	-1.3071e-14 7.96738e-15	8.79825e-15 3.32898e-15	3.75048e-18 2.02003e-18	1.87596e-19 1.89228e-19	
82.5	3.07667	7.5	2.57129e-11 1.02511e-11	-8.65879e-10 1.14074e-10	4.81749e-16 4.31056e-16	1.9639e-16 5.77341e-17	2.21339e-19 1.18714e-19	-2.84725e-20 2.03483e-20	
87.5	1.74678	5	3.30379e-13 7.94545e-14	-2.12626e-11 1.19253e-11	3.20541e-17 9.04153e-18	1.48227e-18 7.54609e-19	2.16103e-22 1.57102e-22	6.21373e-21 2.14492e-21	
92.5	0.828441	3	1.47651e-19 1.02788e-19	6.22657e-12 1.28782e-12	2.6155e-20 1.01183e-20	3.44028e-23 1.27723e-23	2.35345e-24 4.65285e-25	2.82774e-24 1.21234e-24	
97.5	0.233097	2	2.98582e-16 1.1668e-16	1.04095e-14 2.80742e-15	2.75259e-22 8.07238e-23	2.40036e-24 1.06338e-24	2.23821e-26 8.1913e-27	3.75378e-28 1.53861e-28	
