Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	86.7657	29.5	0.292906 0.0216214	0.921097 0.00309202	0.895083 0.00453494	
7.5	66.6617	25.5	0.205286 0.0250147	0.927856 0.00308065	0.873915 0.00545323	
12.5	56.3341	23	0.243506 0.02307	0.924031 0.0034081	0.849307 0.00690654	
17.5	48.1437	20.5	0.224428 0.0232458	0.921025 0.00397606	0.836993 0.00727015	
22.5	41.3162	18	0.210489 0.0233088	0.918065 0.00465453	0.804043 0.00909135	
27.5	35.5032	16	0.251421 0.0233737	0.904039 0.0055276	0.775382 0.00953941	
32.5	29.8265	14	0.190342 0.0246407	0.887812 0.00631685	0.73903 0.011906	
37.5	25.2833	12	0.0437778 0.0256413	0.869004 0.00715287	0.699053 0.0141828	
42.5	20.9476	10.5	0.0216798 0.0257943	0.852911 0.00812748	0.677854 0.0155162	
47.5	17.4016	9	0.161037 0.0245927	0.823895 0.00884548	0.642189 0.0162036	
52.5	14.1089	7.5	0.242717 0.0226459	0.794954 0.00989748	0.636608 0.0161736	
57.5	11.4451	6.5	0.3596 0.0199285	0.76137 0.0112244	0.605226 0.0186253	
62.5	9.03791	5.5	0.459322 0.0182451	0.75861 0.0119158	0.579647 0.020831	
67.5	7.06988	4.5	0.455493 0.0185522	0.717526 0.0141843	0.523534 0.023779	
72.5	5.30007	4	0.487728 0.018232	0.701198 0.0160979	0.512269 0.0246388	
77.5	3.91733	3.5	0.484533 0.0183106	0.678455 0.0172754	0.440118 0.0285608	
82.5	2.78093	2.5	0.462767 0.0261635	0.713478 0.0197599	0.458951 0.02974	
87.5	1.76329	2	0.456768 0.0287121	0.673697 0.0222428	0.39749 0.0296031	
92.5	0.949622	2	0.363916 0.0372534	0.592499 0.0304744	0.0628702 0.0412531	
97.5	0.296504	2	0.0386429 0.0410626	0.474279 0.0462846	0.570719 0.0630712	
