Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	76.4984	28	0.176607 1.47931e-05	0.172686 0.000119516	0.017738 0.000778725	0.0826991 2.1198e-05	0.087217 0.000287002	-0.0246073 0.00112762	
15	52.3415	21.5	0.160598 1.41735e-05	0.147012 1.35649e-05	0.0490417 0.000140354	0.0654166 2.8193e-06	0.0723477 9.21661e-06	-0.0345409 2.92529e-05	
25	38.4721	17	0.1418 2.05234e-05	0.134746 8.76763e-05	0.0210289 0.000242003	0.0500244 1.92678e-05	0.0585894 6.39918e-05	-0.0395047 0.000228366	
35	27.5563	13	0.125564 1.90658e-06	0.126868 3.5134e-05	-0.00355363 0.000177317	0.0381022 5.44324e-06	0.0500427 2.16224e-05	-0.0530846 8.51146e-05	
45	19.1197	9.5	0.106737 2.07526e-05	0.123807 0.000131715	-0.043618 0.00037375	0.0295529 2.64053e-06	0.0433379 5.58737e-06	-0.0592119 1.47106e-05	
55	12.7663	7	0.0861809 1.66735e-05	0.119303 9.65397e-05	-0.0799099 0.000248637	0.022327 7.87803e-06	0.036649 2.62191e-05	-0.0590036 0.000151801	
65	8.02605	5	0.0711221 1.1537e-05	0.114045 5.90921e-06	-0.106048 3.54257e-05	0.0162537 4.89439e-07	0.0317496 4.88417e-07	-0.0592122 1.1616e-06	
75	4.59446	3.5	0.0560999 2.78731e-11	0.115059 2.90758e-10	-0.145048 5.45055e-10	0.0100778 1.178e-13	0.0227852 1.5082e-13	-0.0500678 3.78206e-13	
85	2.26672	2.5	0.0460023 1.10047e-05	0.105079 4.1362e-06	-0.153313 3.20319e-06	0.00521799 1.42481e-06	0.0118303 2.78042e-06	-0.0263519 6.56693e-06	
95	0.644757	2	0.0189982 2.21436e-08	0.0453607 2.13905e-07	-0.0786075 4.44596e-07	-3.01792e-05 2.01818e-11	1.98504e-05 4.89681e-11	-0.000192461 1.10669e-10	
