Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	86.7657	29.5	0.182552 2.74146e-05	0.178632 0.00036326	0.0193328 0.00223947	0.0887606 5.37037e-05	0.0908903 0.000696317	-0.0119765 0.00270091	
7.5	66.6617	25.5	0.171877 3.40075e-05	0.165839 0.000197829	0.0256192 0.00104288	0.0772259 7.35825e-07	0.0828043 4.81906e-06	-0.0295443 2.90597e-05	
12.5	56.3341	23	0.163799 9.46557e-06	0.151629 5.07775e-05	0.0460922 0.000363763	0.0681961 9.38991e-06	0.0744333 7.39474e-05	-0.0319902 0.000597299	
17.5	48.1437	20.5	0.157597 2.89556e-05	0.141492 4.20859e-05	0.055685 0.000222127	0.0626274 5.94273e-06	0.069783 1.92983e-05	-0.0346731 6.0393e-05	
22.5	41.3162	18	0.146421 4.22535e-05	0.137263 0.000177268	0.027807 0.000499212	0.0533882 3.92092e-05	0.0625081 0.000130225	-0.0427436 0.00047441	
27.5	35.5032	16	0.137197 1.50214e-05	0.131493 6.71045e-05	0.0167037 0.000218178	0.0465608 3.31577e-05	0.0542663 0.000119259	-0.0349678 0.000403322	
32.5	29.8265	14	0.131986 6.98107e-06	0.13081 8.94009e-05	0.00335125 0.000435866	0.0408765 1.18986e-05	0.0500709 4.60237e-05	-0.0418368 0.000191986	
37.5	25.2833	12	0.119602 2.359e-05	0.12084 3.56801e-05	-0.00324079 0.000121374	0.035264 4.11571e-05	0.0493434 3.73846e-06	-0.0611572 0.000212212	
42.5	20.9476	10.5	0.111745 3.41821e-05	0.1238 0.000196622	-0.0305598 0.000770408	0.031823 6.93585e-07	0.0442871 5.13525e-06	-0.0540488 2.3675e-05	
47.5	17.4016	9	0.101713 3.80689e-05	0.123723 0.00024136	-0.0566951 0.000683248	0.0272335 5.6297e-06	0.0423004 1.1901e-05	-0.0640998 3.16037e-05	
52.5	14.1089	7.5	0.0912043 7.74157e-06	0.123224 5.20349e-05	-0.0770346 0.000105708	0.0237142 7.40219e-07	0.036792 3.7266e-06	-0.0544084 1.09356e-05	
57.5	11.4451	6.5	0.080567 3.17134e-05	0.114955 0.000183806	-0.0832259 0.000470596	0.0207345 1.98145e-05	0.0363279 4.44814e-05	-0.0635303 0.000283123	
62.5	9.03791	5.5	0.076359 1.42582e-05	0.11463 4.34862e-05	-0.0940716 7.42006e-05	0.0181902 4.4314e-06	0.0335232 9.64766e-06	-0.0609329 2.41768e-05	
67.5	7.06988	4.5	0.064965 2.86299e-05	0.112925 1.94502e-05	-0.119211 5.24831e-05	0.0140218 1.15217e-06	0.029503 1.34587e-06	-0.0566448 3.12072e-06	
72.5	5.30007	4	0.0595688 1.69135e-07	0.117653 4.79104e-06	-0.142337 9.10282e-06	0.01198 7.0367e-06	0.025155 6.38273e-06	-0.0522328 1.25185e-05	
77.5	3.91733	3.5	0.051859 5.53329e-11	0.111873 5.97171e-10	-0.148356 1.10832e-09	0.00779834 2.83751e-13	0.019841 4.32941e-13	-0.0470999 1.09652e-12	
82.5	2.78093	2.5	0.0507609 8.84579e-05	0.113429 0.00010826	-0.160434 9.50645e-05	0.00675138 1.9118e-06	0.015462 3.71559e-06	-0.0352771 8.96144e-06	
87.5	1.76329	2	0.0391669 2.98168e-05	0.0939387 2.62544e-05	-0.144993 3.99252e-05	0.0031534 3.56095e-06	0.00698604 7.74611e-06	-0.014953 1.78771e-05	
92.5	0.949622	2	0.022626 3.71929e-08	0.0604948 4.44682e-07	-0.107711 9.27655e-07	0.000137391 2.34598e-11	0.000443734 6.30823e-11	-0.00107168 1.38159e-10	
97.5	0.296504	2	0.00792805 3.6545e-08	0.0155001 1.5511e-07	-0.026484 3.1801e-07	-0.00108341 1.60631e-10	-0.00183735 3.41968e-10	0.00776382 1.88681e-09	
