Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	107.357	31	1.97242 0.0743147
1.5	90.1561	29.5	2.14778 0.0916328
2.5	82.91	28.5	1.98683 0.0772728
3.5	79.1973	28	2.15222 0.0977041
4.5	74.2971	27.5	2.30506 0.0920331
5.5	70.9073	26.5	2.34513 0.0989809
6.5	68.9451	26	2.32198 0.0901451
7.5	66.7045	25.5	2.33026 0.091094
8.5	64.9699	25	2.38014 0.0908016
9.5	61.6947	24.5	2.40337 0.0936251
10.5	59.2659	24	2.66801 0.109499
11.5	58.6013	23.5	2.56018 0.106624
12.5	56.6875	23	2.65632 0.10938
13.5	54.9605	22.5	2.39746 0.0986602
14.5	52.2682	22	2.93193 0.1119
15.5	51.668	21.5	2.69577 0.121861
16.5	49.9322	21	2.66841 0.116473
17.5	47.9579	20.5	2.72079 0.110502
18.5	45.6627	20	2.9507 0.119443
19.5	45.7745	19.5	3.13039 0.135325
20.5	43.55	19	3.12976 0.125963
21.5	42.9457	18.5	3.29218 0.135083
22.5	41.1524	18	3.30271 0.148583
23.5	40.179	17.5	2.99356 0.130099
24.5	38.7709	17	3.2967 0.132178
25.5	38.1834	16.5	3.37595 0.150121
26.5	36.6191	16	3.2096 0.139776
27.5	35.4445	16	3.44389 0.14239
28.5	34.3761	15.5	3.54192 0.155653
29.5	32.9445	15	3.55606 0.148528
30.5	31.5228	14.5	3.50093 0.14485
31.5	30.4941	14	3.99412 0.172756
32.5	30.1793	14	3.51471 0.141803
33.5	29.0503	13.5	3.76732 0.156055
34.5	27.8261	13	4.10029 0.171344
35.5	26.7579	13	3.88333 0.150016
36.5	26.4897	12.5	3.90953 0.177564
37.5	25.2359	12	3.93029 0.170779
38.5	24.6094	12	4.02682 0.18794
39.5	23.2719	11.5	4.30682 0.182776
40.5	22.2961	11	4.39131 0.190223
41.5	21.6989	11	4.19339 0.186173
42.5	21.0923	10.5	4.73153 0.201032
43.5	20.4551	10	4.13795 0.181611
44.5	19.2762	10	4.19576 0.194358
45.5	18.7594	9.5	4.53874 0.198029
46.5	18.0254	9	4.4795 0.200181
47.5	17.4885	9	4.68459 0.233019
48.5	16.5778	9	4.60692 0.217613
49.5	16.094	8.5	4.43954 0.23285
50.5	15.275	8	4.75203 0.225728
51.5	14.743	8	4.97789 0.257623
52.5	14.132	8	4.76216 0.220948
53.5	13.5203	7.5	5.32263 0.223877
54.5	13.0114	7	5.30345 0.284645
55.5	12.455	7	5.34099 0.25334
56.5	11.8871	7	4.69558 0.228795
57.5	11.4132	6.5	5.53533 0.302523
58.5	10.9642	6	4.9156 0.257367
59.5	10.5094	6	5.10703 0.276095
60.5	9.96642	6	5.20643 0.275379
61.5	9.40128	6	5.45956 0.28847
62.5	8.94218	5.5	5.40851 0.281511
63.5	8.63724	5	5.28279 0.310655
64.5	8.18548	5	5.76385 0.289345
65.5	7.89591	5	4.60649 0.289404
66.5	7.38663	5	5.4864 0.319718
67.5	7.02455	5	5.87676 0.356202
68.5	6.64866	4.5	6.30314 0.401553
69.5	6.31161	4	6.36718 0.386753
70.5	5.98097	4	5.36208 0.374906
71.5	5.61984	4	6.25405 0.379871
72.5	5.31781	4	6.79072 0.42776
73.5	4.99757	4	7.00939 0.443128
74.5	4.6748	4	7.51508 0.445204
75.5	4.40447	3.5	7.44272 0.477575
76.5	4.17884	3	7.40532 0.551515
77.5	3.88614	3	7.04662 0.414563
78.5	3.64795	3	8.37218 0.539081
79.5	3.42578	3	8.05484 0.59862
80.5	3.20892	3	8.03726 0.542665
81.5	2.95925	3	9.07857 0.575426
82.5	2.75457	3	10.1628 0.747225
83.5	2.53249	2.5	10.566 0.807337
84.5	2.32288	2	10.2525 0.913142
85.5	2.12947	2	12.0068 0.696424
86.5	1.94321	2	13.2057 0.881355
87.5	1.76561	2	14.4275 1.36475
88.5	1.58234	2	15.2565 1.1174
89.5	1.40473	2	20.3915 1.68104
90.5	1.24533	2	23.5425 2.08823
91.5	1.09429	2	33.9546 3.21214
92.5	0.939368	2	35.7756 3.34547
93.5	0.79404	2	62.5367 7.80712
94.5	0.654797	2	28.5681 4.21689
95.5	0.517277	2	22.6067 2.82149
96.5	0.388877	2	17.6558 3.30086
97.5	0.2544	2	11.9781 3.61309
98.5	0.124251	2	7.30388 1.14919
99.5	0.0288557	0	3.07198 0.294837
