Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	107.357	31	0.0257642 0.0011649	 0.0649353 0.00169537	 0.0329217 0.000840362	 0.014309 0.000406625	 0.00747245 0.000226233	 0.00420457 0.000127427	 
1.5	90.1561	29.5	0.0247539 0.00120393	 0.0675162 0.00188202	 0.0314353 0.000931487	 0.0136679 0.000482727	 0.00714965 0.000220997	 0.00398147 0.000146238	 
2.5	82.91	28.5	0.0227464 0.000978398	 0.0645372 0.00169935	 0.0324824 0.000830758	 0.0132956 0.000471635	 0.00696274 0.00020038	 0.0038632 0.000148296	 
3.5	79.1973	28	0.0213505 0.00101833	 0.0671534 0.00190805	 0.0312019 0.000901429	 0.013352 0.000445424	 0.00655811 0.000209041	 0.00381048 0.000118797	 
4.5	74.2971	27.5	0.0234911 0.00102206	 0.0702574 0.00179663	 0.0304797 0.000777664	 0.0139747 0.000478041	 0.00694791 0.000205188	 0.00406208 0.000180525	 
5.5	70.9073	26.5	0.0205422 0.000944897	 0.0687882 0.0018846	 0.0293323 0.000824225	 0.0135949 0.000418367	 0.00660707 0.000203465	 0.00357682 0.000115596	 
6.5	68.9451	26	0.0224126 0.000919409	 0.0679597 0.00162	 0.029268 0.000762523	 0.0140187 0.000418107	 0.00655108 0.000180969	 0.00363697 0.000108294	 
7.5	66.7045	25.5	0.0225267 0.00108788	 0.0693052 0.00180274	 0.0297414 0.000722796	 0.0138494 0.000440615	 0.00658564 0.000224089	 0.00351038 0.00011339	 
8.5	64.9699	25	0.0229995 0.000976498	 0.0676853 0.00164765	 0.0284375 0.000745391	 0.0134058 0.000409614	 0.00676995 0.000230647	 0.00374304 0.000134841	 
9.5	61.6947	24.5	0.0219613 0.000833337	 0.0691241 0.00169749	 0.0287613 0.000745761	 0.0131994 0.000452779	 0.00644215 0.000179059	 0.0035356 0.000126983	 
10.5	59.2659	24	0.0207654 0.000954073	 0.0729358 0.00194854	 0.0273371 0.000708546	 0.0135863 0.000483619	 0.00640914 0.000197551	 0.00344993 0.000130696	 
11.5	58.6013	23.5	0.0213959 0.000799366	 0.0690899 0.00175986	 0.0269864 0.00075469	 0.0129057 0.000425559	 0.00622791 0.000184869	 0.00357699 0.000135223	 
12.5	56.6875	23	0.022204 0.000995034	 0.0716745 0.00184278	 0.0269826 0.000749065	 0.0140699 0.000540692	 0.00616372 0.000167717	 0.00351971 0.000128755	 
13.5	54.9605	22.5	0.0209001 0.0010283	 0.0670631 0.00172111	 0.0279726 0.000747353	 0.0130751 0.000505195	 0.00594379 0.000192928	 0.00337801 0.000123865	 
