Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	107.357	31	0.621168 0.0859674	0.656496 0.0538833	-0.30098 0.762124	
1.5	90.1561	29.5	0.600301 0.131606	0.354369 0.48706	-0.790772 0.288317	
2.5	82.91	28.5	0.555828 0.121509	0.619 0.101635	-0.89183 0.183415	
3.5	79.1973	28	0.524324 0.127532	0.458782 0.205041	-0.721945 0.0983911	
4.5	74.2971	27.5	0.642137 0.0654046	0.645408 0.0579562	-0.832084 0.130387	
5.5	70.9073	26.5	0.495142 0.178246	0.321094 0.649554	-0.65591 0.106103	
6.5	68.9451	26	0.706372 0.0429579	0.566599 0.0973404	-0.645597 0.104488	
7.5	66.7045	25.5	0.559795 0.110479	0.678848 0.0487929	-0.766398 0.141872	
8.5	64.9699	25	0.749938 0.0373218	0.67485 0.0584072	-0.52377 0.26496	
9.5	61.6947	24.5	0.68293 0.0506522	0.597853 0.0850306	-0.849974 0.0710889	
10.5	59.2659	24	0.59848 0.074899	0.650886 0.0631142	-0.85861 0.060443	
11.5	58.6013	23.5	0.674747 0.0529151	0.460097 0.193296	-0.755662 0.0679841	
12.5	56.6875	23	0.631344 0.0894752	0.370275 0.373048	-0.966517 0.0590051	
13.5	54.9605	22.5	0.673823 0.0649446	0.61128 0.0823057	-0.943359 0.0757378	
14.5	52.2682	22	0.717386 0.0392609	0.63551 0.0668192	-0.73574 0.0819313	
15.5	51.668	21.5	0.634073 0.0707792	0.451079 0.220089	-0.939441 0.0501039	
16.5	49.9322	21	0.442242 0.298458	0.245991 1.01405	-0.808592 0.103313	
17.5	47.9579	20.5	0.638827 0.0743184	0.585375 0.107466	-0.922865 0.106546	
18.5	45.6627	20	0.663726 0.0576174	0.611054 0.0794221	-0.877189 0.0587033	
19.5	45.7745	19.5	0.645787 0.0600531	0.399038 0.335429	-0.827131 0.0603321	
20.5	43.55	19	0.718407 0.0385712	0.56358 0.0997896	-0.780598 0.0609856	
21.5	42.9457	18.5	0.676963 0.0598302	-0.620858 0.139342	-0.833525 0.0686572	
22.5	41.1524	18	0.654641 0.0564264	-0.607463 0.119158	-0.926046 0.0490325	
23.5	40.179	17.5	0.633322 0.0641354	-0.609238 0.149751	-0.816157 0.0775038	
24.5	38.7709	17	0.628789 0.0796241	0.505689 0.14262	-0.961587 0.0924327	
25.5	38.1834	16.5	0.577706 0.135055	-0.551053 0.223244	-0.986873 0.0874485	
26.5	36.6191	16	0.674938 0.0564899	-0.605413 0.136942	-0.780349 0.0732124	
27.5	35.4445	16	0.720548 0.0372005	-0.677422 0.0837015	-0.835043 0.0602135	
28.5	34.3761	15.5	0.70364 0.0428828	-0.661671 0.132086	-0.885101 0.0524573	
29.5	32.9445	15	0.71524 0.0388181	-0.636592 0.1163	-0.743286 0.0685729	
30.5	31.5228	14.5	0.661243 0.0528831	-0.67569 0.0986943	-0.9382 0.0425339	
31.5	30.4941	14	0.693586 0.0439978	-0.739236 0.139308	-0.87603 0.0522301	
32.5	30.1793	14	0.719965 0.0401425	-0.584286 0.140512	-0.797431 0.0656438	
33.5	29.0503	13.5	0.672928 0.0522654	-0.655305 0.100047	-0.9012 0.0718001	
34.5	27.8261	13	0.638085 0.0709941	-0.721863 0.106758	-0.864321 0.0502586	
35.5	26.7579	13	0.600361 0.0799387	-0.661894 0.123739	-0.914128 0.0501938	
36.5	26.4897	12.5	0.570403 0.0941849	-0.794098 0.0750394	-0.869368 0.0657938	
37.5	25.2359	12	0.535938 0.129406	-0.648315 0.118618	-0.964698 0.0490119	
38.5	24.6094	12	-0.366705 0.435817	-0.864886 0.0561764	-0.941911 0.0462508	
