Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	76.4984	28	1.39264e-10 6.99601e-11	5.43314e-09 1.77777e-09	-1.06334e-11 1.53135e-11	6.12235e-13 5.86801e-13	-7.84829e-16 5.69075e-15	2.76921e-15 2.59687e-15	
15	52.3415	21.5	4.99228e-11 2.21329e-11	6.41069e-09 2.74424e-09	-1.53964e-11 5.89668e-12	-7.46136e-13 2.88963e-13	-3.85707e-15 1.38619e-15	6.12606e-16 3.48812e-16	
25	38.4721	17	8.87581e-13 1.0332e-11	8.12966e-09 2.61638e-09	-1.39188e-11 2.61862e-12	-1.20371e-12 4.30986e-13	-3.80523e-15 7.04879e-16	1.57919e-16 1.02634e-16	
35	27.5563	13	6.2745e-12 5.47382e-12	-5.10822e-09 2.05119e-09	-5.35665e-12 1.17006e-12	-1.50975e-12 1.97419e-13	-9.28203e-16 5.41379e-16	8.90552e-17 4.26113e-17	
45	19.1197	9.5	2.61575e-12 1.79278e-12	-1.71763e-08 1.19102e-09	-2.38339e-12 3.28113e-13	-6.86982e-13 1.12309e-13	-3.86609e-16 8.00178e-17	3.34111e-18 9.51148e-18	
55	12.7663	7	3.46307e-12 1.52237e-12	-1.37151e-08 9.24105e-10	-3.01637e-13 1.90889e-13	-7.04611e-14 3.20498e-14	1.5677e-16 1.13855e-16	3.12509e-18 1.79162e-18	
65	8.02605	5	3.85731e-12 1.01415e-12	-3.21221e-09 4.29155e-10	1.18268e-14 2.49435e-14	2.80301e-14 4.33982e-15	2.32961e-17 6.41475e-18	1.10893e-19 5.79749e-20	
75	4.59446	3.5	7.52874e-13 1.42602e-13	-8.80484e-13 9.08935e-11	2.85484e-14 5.76987e-15	1.4002e-15 2.29337e-16	9.80154e-19 4.93214e-19	4.38291e-20 1.20323e-20	
85	2.26672	2.5	3.6872e-14 6.91996e-15	7.72897e-11 1.09007e-11	4.50696e-16 1.20401e-16	9.71667e-19 3.24289e-19	2.47821e-22 6.84104e-23	9.47487e-22 2.1866e-22	
95	0.644757	2	3.1843e-18 1.04825e-18	1.36122e-12 3.48767e-13	1.44424e-20 6.01537e-21	1.43059e-23 2.62979e-24	4.20382e-25 1.25613e-25	5.52163e-26 1.68584e-26	
