Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	86.7657	29.5	1.89936e-10 1.22423e-10	3.93622e-09 2.45905e-09	-4.94469e-12 2.6928e-11	1.36308e-12 1.12888e-12	-4.19387e-15 7.13514e-15	5.37313e-15 5.05016e-15	
7.5	66.6617	25.5	7.79014e-11 6.29382e-11	7.29103e-09 2.63029e-09	-1.22985e-11 1.52603e-11	-1.1779e-13 3.54076e-13	3.20196e-15 9.15364e-15	-4.68771e-17 1.39221e-16	
12.5	56.3341	23	5.53681e-11 3.3011e-11	6.88097e-09 3.16197e-09	-1.7486e-11 9.29023e-12	-5.21236e-13 4.07614e-13	-2.02083e-15 2.23838e-15	5.89121e-16 6.15893e-16	
17.5	48.1437	20.5	4.30359e-11 2.92879e-11	5.74509e-09 4.46621e-09	-1.13733e-11 7.33938e-12	-9.8402e-13 4.13327e-13	-5.73848e-15 1.54838e-15	6.41567e-16 2.95815e-16	
22.5	41.3162	18	9.73932e-12 1.74509e-11	7.39396e-09 3.95043e-09	-1.44226e-11 4.36069e-12	-1.43108e-12 5.91105e-13	-4.61923e-15 9.55313e-16	1.58977e-16 1.66679e-16	
27.5	35.5032	16	-8.3536e-12 1.07245e-11	8.85331e-09 3.48075e-09	-1.20678e-11 2.57917e-12	-1.06931e-12 6.4176e-13	-2.67704e-15 1.18359e-15	6.36147e-17 7.9434e-17	
32.5	29.8265	14	5.81804e-12 9.51471e-12	2.87768e-09 3.27208e-09	-5.93283e-12 1.90603e-12	-1.80635e-12 3.2252e-13	-2.101e-15 4.00772e-16	9.43211e-17 6.76384e-17	
37.5	25.2833	12	6.15723e-12 4.71213e-12	-1.16252e-08 2.56863e-09	-4.9576e-12 1.11734e-12	-1.28491e-12 2.35377e-13	3.09521e-17 1.1557e-15	5.75723e-18 3.23383e-17	
42.5	20.9476	10.5	1.95839e-12 2.73604e-12	-1.30849e-08 2.09944e-09	-3.36412e-12 5.19725e-13	-8.98353e-13 1.86766e-13	-6.88909e-16 1.09852e-16	-8.21601e-18 1.59591e-17	
47.5	17.4016	9	2.07539e-12 2.02539e-12	-1.83542e-08 1.46656e-09	-1.25734e-12 4.77788e-13	-5.46297e-13 1.05879e-13	-4.12991e-17 1.40147e-16	1.10225e-18 6.94135e-18	
52.5	14.1089	7.5	2.98235e-12 2.69928e-12	-1.76818e-08 1.49413e-09	-3.96655e-13 3.19668e-13	-2.82058e-13 6.26365e-14	1.43507e-16 1.97533e-16	8.78061e-19 2.66514e-18	
57.5	11.4451	6.5	3.95413e-12 1.24492e-12	-9.53474e-09 1.04169e-09	-2.69871e-13 8.53251e-14	3.4962e-14 2.67083e-14	9.28231e-17 5.19471e-17	1.09656e-18 1.34462e-18	
62.5	9.03791	5.5	3.40492e-12 1.53561e-12	-6.37061e-09 8.20314e-10	-1.10622e-13 4.30213e-14	1.03519e-14 7.7937e-15	2.74928e-17 1.03005e-17	-2.07423e-19 1.11193e-19	
67.5	7.06988	4.5	4.0037e-12 1.31174e-12	-1.00944e-09 3.71261e-10	5.75518e-14 2.23373e-14	1.16913e-14 2.39491e-15	9.69445e-18 3.88425e-18	2.90045e-20 3.00134e-20	
72.5	5.30007	4	8.21628e-13 2.24802e-13	-5.05891e-10 1.96834e-10	3.30539e-14 8.58969e-15	1.59922e-15 3.24516e-16	1.772e-18 9.35297e-19	4.13482e-20 1.86561e-20	
77.5	3.91733	3.5	5.45903e-13 1.445e-13	8.11406e-11 6.7224e-11	4.41497e-15 9.62342e-16	2.20477e-16 5.75665e-17	7.91997e-20 3.33915e-20	8.50089e-21 1.87823e-21	
82.5	2.78093	2.5	4.93882e-14 1.02098e-14	6.82708e-11 1.72495e-11	6.19369e-16 1.94144e-16	1.63461e-18 5.72355e-19	3.35612e-22 1.10575e-22	1.35927e-21 3.49129e-22	
87.5	1.76329	2	1.39474e-15 3.51578e-16	2.10429e-11 4.22559e-12	1.02317e-17 2.26523e-18	6.59038e-22 1.93364e-22	7.09018e-24 2.38431e-24	2.69642e-23 8.73537e-24	
92.5	0.949622	2	5.27452e-18 1.76282e-18	2.09976e-12 5.50083e-13	2.53893e-20 1.06062e-20	1.97479e-23 3.87936e-24	7.1613e-25 2.14229e-25	9.17542e-26 2.84693e-26	
97.5	0.296504	2	2.64494e-21 1.37649e-21	6.75271e-15 2.87173e-15	8.60927e-23 2.88846e-23	5.40175e-24 2.49851e-24	1.36189e-26 6.19482e-27	9.83484e-28 8.59454e-28	
