Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	76.4984	28	0.0228839 0.000323857	 0.0677639 0.000557902	 0.0304318 0.000257187	 0.013676 0.000139845	 0.00680703 6.60487e-05	 0.0037944 4.26666e-05	 
15	52.3415	21.5	0.021172 0.000297941	 0.0713699 0.000592612	 0.0261773 0.000228985	 0.0135463 0.000155317	 0.00610182 5.86054e-05	 0.00344279 4.25636e-05	 
25	38.4721	17	0.0206556 0.000276194	 0.0724612 0.00058294	 0.0219596 0.000209808	 0.0135756 0.000154145	 0.00544799 5.30765e-05	 0.00317554 4.03597e-05	 
35	27.5563	13	0.0179991 0.000235928	 0.069587 0.000569197	 0.0179767 0.000181365	 0.0127745 0.000147436	 0.00443 4.60931e-05	 0.00272898 3.50681e-05	 
45	19.1197	9.5	0.0150436 0.00020713	 0.0625848 0.000585511	 0.014144 0.000160421	 0.0107553 0.000136151	 0.00338005 3.90723e-05	 0.00208543 2.80385e-05	 
55	12.7663	7	0.0124355 0.000188337	 0.0524462 0.000603717	 0.0103841 0.000131245	 0.00804491 0.00012245	 0.00225312 3.35476e-05	 0.00142461 2.07707e-05	 
65	8.02605	5	0.010463 0.000190151	 0.0401157 0.000578207	 0.00728913 0.00011548	 0.00479244 9.32997e-05	 0.0012137 2.35847e-05	 0.000838499 1.33015e-05	 
75	4.59446	3.5	0.0075758 0.000152917	 0.0281969 0.000484291	 0.00411417 8.49541e-05	 0.00208867 5.41589e-05	 0.000483079 1.32083e-05	 0.000465746 9.36262e-06	 
85	2.26672	2.5	0.00330589 9.29889e-05	 0.0155298 0.00034776	 0.00151162 4.43767e-05	 0.000402825 1.72911e-05	 0.000142977 3.91516e-06	 0.000156289 5.33497e-06	 
95	0.644757	2	0.000448451 2.34056e-05	 0.00429435 0.000202624	 0.000153381 1.00457e-05	 6.17592e-05 3.12958e-06	 2.8979e-05 1.80453e-06	 2.14192e-05 1.29279e-06	 
