Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	76.4984	28	0.624512 0.0265192	0.571337 0.0350456	-0.744728 0.0409995	
15	52.3415	21.5	0.636125 0.0260793	0.517842 0.0461956	-0.877917 0.0211276	
25	38.4721	17	0.67215 0.0187197	-0.591525 0.0437474	-0.874567 0.0220661	
35	27.5563	13	0.615454 0.0236632	-0.741787 0.0281834	-0.916249 0.0162768	
45	19.1197	9.5	-0.539539 0.0462976	-0.877873 0.0186148	-0.996346 0.0157408	
55	12.7663	7	-0.89347 0.0160203	-0.993266 0.021382	-1.16806 0.0142137	
65	8.02605	5	-1.11636 0.0140858	-1.20147 0.0155481	-1.38267 0.0164921	
75	4.59446	3.5	-1.2772 0.0153151	-1.43896 0.0218483	-1.64555 0.0236922	
85	2.26672	2.5	-1.51306 0.0195574	-1.76514 0.0359317	-2.16069 0.0594567	
95	0.644757	2	-2.21673 0.0513998	-2.61758 0.0974585	-2.30029 0.0477451	
