Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	529.174	386.5	0.0171858 0.0178347	0.976329 0.00102323	0.942137 0.00217717	
7.5	431.45	331.5	0.0179763 0.0188064	0.989694 0.000422269	0.948772 0.00182361	
12.5	349.941	283.5	0.0660011 0.0163762	0.99291 0.000254567	0.94804 0.00185789	
17.5	285.565	241.5	0.0398984 0.0177046	0.993194 0.000295561	0.946207 0.00200591	
22.5	237.528	205	0.0558786 0.0170427	0.992647 0.000310836	0.937601 0.00232112	
27.5	192.807	173	0.0614025 0.0184655	0.99089 0.000449175	0.929897 0.00257587	
32.5	157.508	144.5	0.0511201 0.0157507	0.987626 0.000592219	0.913403 0.00345492	
37.5	124.917	119.5	0.0645069 0.0168595	0.98457 0.000740656	0.898191 0.004394	
42.5	90.8849	97.5	0.0803061 0.00948706	0.968609 0.000971347	0.858244 0.0036652	
47.5	71.8896	78.5	0.105425 0.00874275	0.955324 0.00135408	0.811367 0.00492771	
52.5	54.9138	62.5	0.101091 0.00864192	0.947964 0.0015478	0.789914 0.00505477	
57.5	41.2538	48.5	0.123563 0.00852032	0.931128 0.00196895	0.723348 0.00693087	
62.5	29.5373	36.5	0.139344 0.0083908	0.914051 0.00253583	0.674744 0.0079848	
67.5	20.3879	26.5	0.155572 0.00833919	0.892329 0.00325719	0.59707 0.00971825	
72.5	13.5752	19	0.209945 0.0107193	0.855117 0.00489241	0.48382 0.0136304	
77.5	8.55858	13	0.195225 0.0105557	0.820366 0.00510899	0.409466 0.012711	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
