Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	578.514	407.5	0.199556 0.000259249	0.200299 0.000608099	-0.0615254 0.0198045	0.149437 0.000382227	0.147078 0.00192509	0.160989 0.113861	
1.5	555.259	394	0.203558 7.22146e-05	0.202445 0.00192513	0.0717129 0.148026	0.149099 7.59756e-06	0.149561 3.06273e-05	-0.0294014 0.00429096	
2.5	541.906	384	0.203672 9.86203e-06	0.207388 0.000217788	-0.185928 0.0271755	0.154551 6.63049e-05	0.160166 0.00107839	-0.31413 0.0870593	
3.5	502.583	373.5	0.20688 4.85151e-05	0.208301 0.000640117	-0.0512089 0.0406266	0.156696 2.75983e-06	0.155073 8.13871e-06	0.0776766 0.00018267	
4.5	471.529	362.5	0.212031 0.000105832	0.215051 0.0033645	-0.108311 0.124634	0.155858 4.80192e-05	0.155933 0.00015297	-0.00322833 0.0054351	
5.5	466.193	351.5	0.212627 2.40529e-05	0.214302 0.000119684	-0.0511863 0.00636794	0.154825 6.81437e-05	0.155882 0.00016774	-0.046786 0.00590438	
6.5	449.177	341	0.213023 6.73722e-05	0.2101 0.000568034	0.0697571 0.0297424	0.156516 5.80806e-05	0.165449 0.000106196	-0.358657 0.00144842	
7.5	428.314	331	0.211112 1.89362e-05	0.210638 8.47068e-05	0.0100951 0.00226103	0.157594 3.62949e-05	0.155873 0.00011264	0.0688366 0.00335154	
8.5	420.999	321	0.211152 1.92588e-05	0.205889 8.08021e-05	0.0992713 0.00153408	0.153534 2.50297e-05	0.156441 9.1174e-05	-0.117781 0.00316493	
9.5	391.983	311	0.211334 2.67162e-05	0.21011 0.00283666	0.0186815 0.0471226	0.150354 0.000134586	0.148877 0.000338976	0.0544166 0.00584582	
10.5	368.917	301.5	0.210028 5.94741e-06	0.209966 5.99364e-05	0.000895226 0.00409409	0.151109 9.13593e-05	0.151663 0.000340266	-0.017058 0.013631	
11.5	366.258	292	0.210034 7.74997e-06	0.208771 0.000440376	0.0162015 0.0119204	0.150367 3.0465e-06	0.150987 4.9115e-06	-0.0204578 0.000655735	
12.5	358.788	282.5	0.206388 1.75629e-05	0.204739 0.000105113	0.021308 0.00233429	0.149758 5.56401e-05	0.151324 0.00283254	-0.0519532 0.086955	
13.5	333.511	274	0.207595 2.32363e-05	0.20285 0.00242045	0.0540559 0.032664	0.149343 9.29806e-05	0.14999 0.000227873	-0.0205211 0.00110585	
14.5	323.226	265.5	0.207608 5.88736e-05	0.207473 0.00336969	0.00154437 0.0423824	0.14744 2.05589e-05	0.147365 6.93471e-05	0.00210668 0.00139373	
15.5	300.96	257	0.208024 9.50268e-06	0.199486 0.00471127	0.0818909 0.0435837	0.149613 3.85468e-05	0.149268 0.000125994	0.0100395 0.0045963	
16.5	302.534	249	0.206892 4.59615e-05	0.200777 0.00189637	0.0574601 0.024109	0.145345 2.21365e-06	0.149729 3.55369e-06	-0.108442 3.59862e-06	
17.5	284.196	241	0.205174 7.62363e-05	0.195431 0.00217304	0.0848488 0.025617	0.141334 7.07933e-05	0.14604 0.000100245	-0.117429 0.00335067	
18.5	274.891	233.5	0.203947 3.66057e-05	0.199164 0.00111531	0.0400881 0.0151148	0.145714 3.99687e-05	0.14786 0.000106934	-0.0515161 0.000370905	
19.5	266.192	226	0.205726 4.83814e-05	0.198019 0.000413182	0.0612563 0.00595605	0.144062 0.000153414	0.139263 0.000592673	0.115234 0.0163307	
20.5	256.66	218.5	0.202724 2.28831e-05	0.189831 0.00274873	0.0920274 0.0251878	0.141201 4.58011e-05	0.137803 0.000153705	0.0813011 0.00204508	
21.5	248.629	211.5	0.201036 5.29667e-05	0.188754 0.00536961	0.0840972 0.0365833	0.138347 4.84392e-05	0.133974 0.000500264	0.0884896 0.0160418	
22.5	234.558	204.5	0.201657 5.03897e-05	0.19249 0.00340155	0.0603557 0.0246095	0.136107 5.92307e-06	0.144528 3.75444e-05	-0.172107 0.00107992	
23.5	225.872	197.5	0.200957 3.5095e-05	0.187586 0.00901467	0.0894508 0.0502585	0.133853 9.65571e-05	0.133805 0.000268385	0.000975646 0.00189993	
24.5	225.981	191	0.200698 9.57485e-05	0.191571 0.0140459	0.0579426 0.0684343	0.134265 6.00218e-06	0.134522 2.02446e-05	-0.00516302 0.000271409	
25.5	208.921	184.5	0.200461 0.000106567	0.182033 0.00561638	0.107585 0.0304425	0.136093 0.000151167	0.137526 0.00043031	-0.0261382 0.0155628	
26.5	201.528	178	0.19767 5.27054e-05	0.180996 0.00247678	0.0920521 0.0177712	0.130277 3.43931e-05	0.127475 4.66673e-05	0.0469861 0.00207958	
27.5	192.629	172	0.197247 1.40148e-05	0.182965 0.000106825	0.0793129 0.00203439	0.128987 2.45358e-05	0.130552 8.40961e-05	-0.027295 0.00122401	
28.5	185.878	166	0.194634 1.96906e-05	0.172535 0.0145175	0.118328 0.0545915	0.127627 0.000330877	0.123678 0.00304119	0.0727917 0.0426165	
29.5	171.122	160.5	0.197158 5.44978e-05	0.17952 0.00120493	0.0917949 0.0114631	0.122129 0.00012981	0.128447 0.00035356	-0.11638 0.0029056	
30.5	174.755	155	0.195548 2.15151e-06	0.167578 0.011948	0.140636 0.0455947	0.118632 0.000122448	0.120493 0.00100923	-0.0282424 0.0158731	
31.5	166.351	149.5	0.19432 2.04843e-05	0.166106 0.00519714	0.128593 0.0256564	0.119692 8.21933e-05	0.120074 0.000280227	-0.00628112 0.00447592	
32.5	154.432	144	0.191834 5.81158e-05	0.169561 0.000902282	0.104129 0.00827623	0.119902 1.22965e-06	0.117908 2.68371e-06	0.0279855 0.000284724	
33.5	149.678	138.5	0.19099 3.80566e-05	0.168152 0.00266044	0.101942 0.0145999	0.114978 5.25187e-05	0.116023 0.000278859	-0.0147568 0.00583055	
34.5	142.768	133.5	0.19363 2.43428e-05	0.16717 0.000251872	0.115403 0.000330629	0.114706 1.29981e-05	0.118963 6.58881e-05	-0.0519567 0.00139104	
35.5	132.376	128.5	0.192204 6.21385e-05	0.171184 0.00429195	0.0903846 0.019836	0.117949 0.00013471	0.118891 5.10157e-05	-0.013223 0.00610657	
36.5	130.036	123.5	0.190797 9.77115e-07	0.168654 2.78577e-05	0.0910348 2.9904e-05	0.115472 0.00013107	0.112684 0.000653072	0.0381966 0.0137869	
37.5	125.833	119	0.189418 7.16493e-06	0.156995 0.00537802	0.12999 0.0222802	0.113647 9.39673e-05	0.116596 0.000103346	-0.0425547 0.00315055	
38.5	120.043	114.5	0.188484 1.70263e-06	0.146873 0.00370465	0.153452 0.0152634	0.109795 2.94735e-05	0.114841 7.8529e-06	-0.0587463 0.00162589	
39.5	115.584	110	0.186664 2.62534e-05	0.158447 0.00886871	0.104867 0.02986	0.108584 3.95508e-05	0.107145 0.00012706	0.0174986 0.00138144	
40.5	110.578	105.5	0.180984 1.00046e-05	0.140072 0.00301327	0.153635 0.0133294	0.104625 0.000144889	0.0997191 0.00115142	0.0493238 0.0133357	
41.5	95.4008	101	0.174243 3.91565e-06	0.140307 0.00136855	0.12375 0.00550238	0.0958055 1.17907e-06	0.0964131 4.61226e-06	-0.00647715 3.82445e-05	
42.5	90.9797	97	0.170442 6.08999e-06	0.130418 0.000219438	0.143484 0.00172706	0.0919908 2.60372e-06	0.0918757 7.13235e-05	0.00109965 0.00120731	
43.5	87.6032	93	0.170763 6.40683e-06	0.132728 0.000234649	0.134266 0.00163145	0.0908077 1.01414e-06	0.0910354 3.83198e-06	-0.00215899 6.75403e-05	
44.5	82.4555	89	0.171189 2.96616e-05	0.127952 0.000922271	0.147767 0.00374486	0.088627 2.01872e-05	0.0922703 0.000313244	-0.0346588 0.00315383	
45.5	79.542	85.5	0.165682 1.58891e-06	0.11404 0.000275531	0.170863 0.00181888	0.0859616 1.29358e-05	0.0872028 0.000375537	-0.011114 0.00375974	
46.5	76.2106	82	0.164961 3.06105e-05	0.123567 0.00292454	0.13738 0.00791896	0.0826639 1.39386e-05	0.0850398 4.453e-05	-0.0198254 0.000221027	
47.5	71.4493	78.5	0.165777 6.6796e-05	0.123297 0.000499827	0.134786 0.00222632	0.0830334 4.08033e-05	0.0841247 0.000163744	-0.00940011 0.00161793	
48.5	68.6503	75	0.163534 1.02723e-05	0.111056 0.000197733	0.168332 0.00123447	0.0795837 7.01426e-05	0.080692 0.000279974	-0.00930059 0.00211218	
