Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	480.783	361	0.2103 3.61902e-07	0.207989 2.49448e-06	0.0532516 0.000262683	0.154048 5.72371e-06	0.154576 2.98911e-05	-0.0235282 0.00282914	
15	318.587	264	0.206864 1.15995e-06	0.203516 1.62959e-05	0.0332381 0.000525516	0.147116 4.7327e-07	0.148522 9.91862e-07	-0.0388225 3.00566e-05	
25	215.197	190	0.199191 2.64369e-06	0.186487 0.000132738	0.0758476 0.00125675	0.132471 3.88033e-06	0.133711 1.21271e-05	-0.02363 0.000136957	
35	141.283	133	0.191182 2.14366e-06	0.166699 0.000699794	0.103356 0.00269037	0.11505 9.23279e-06	0.117016 8.81595e-05	-0.0265566 0.00139453	
45	80.9361	89	0.168252 2.80481e-06	0.126961 9.53174e-05	0.13852 0.000388249	0.0861758 1.60357e-06	0.0891533 2.7908e-05	-0.0265547 0.000282152	
55	47.8844	56	0.157697 5.05348e-06	0.102591 3.81773e-05	0.151311 0.000152767	0.0658984 1.06107e-06	0.0720024 1.18118e-06	-0.0382562 3.65546e-05	
65	24.8782	32	0.145097 1.5183e-06	0.0903674 4.11195e-05	0.127644 0.000145682	0.0431764 4.02562e-06	0.0598406 2.21745e-05	-0.0763099 9.13124e-05	
75	10.8218	16	0.117336 1.79786e-05	0.112805 0.000258889	0.00909954 0.000428054	0.0197418 1.72413e-05	0.0418319 3.61414e-05	-0.0788464 7.09174e-05	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
