Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	578.514	407.5	1.21448 0.0513831
1.5	555.259	394	1.38938 0.052561
2.5	541.906	384	1.35368 0.0519527
3.5	502.583	373.5	1.55035 0.0590075
4.5	471.529	362.5	1.5778 0.0609204
5.5	466.193	351.5	1.81382 0.0626647
6.5	449.177	341	1.95038 0.0685755
7.5	428.314	331	1.97788 0.073648
8.5	420.999	321	2.12909 0.0708031
9.5	391.983	311	2.38085 0.0804405
10.5	368.917	301.5	2.3141 0.078756
11.5	366.258	292	2.52461 0.0767565
12.5	358.788	282.5	2.4645 0.0766649
13.5	333.511	274	2.61174 0.085855
14.5	323.226	265.5	2.62819 0.0820824
15.5	300.96	257	2.7552 0.0968086
16.5	302.534	249	2.72949 0.09769
17.5	284.196	241	2.84346 0.0920522
18.5	274.891	233.5	2.77404 0.0974444
19.5	266.192	226	2.96609 0.0989498
20.5	256.66	218.5	2.99258 0.109648
21.5	248.629	211.5	3.05676 0.119391
22.5	234.558	204.5	3.17081 0.10128
23.5	225.872	197.5	3.09374 0.09098
24.5	225.981	191	3.0877 0.103025
25.5	208.921	184.5	3.07453 0.101114
26.5	201.528	178	3.09921 0.106247
27.5	192.629	172	3.10665 0.106066
28.5	185.878	166	3.183 0.108958
29.5	171.122	160.5	3.4364 0.110919
30.5	174.755	155	3.4078 0.11699
31.5	166.351	149.5	3.40033 0.120316
32.5	154.432	144	3.243 0.108709
33.5	149.678	138.5	3.23491 0.108729
34.5	142.768	133.5	3.37226 0.119671
35.5	132.376	128.5	3.31457 0.110521
36.5	130.036	123.5	3.41088 0.117702
37.5	125.833	119	3.46076 0.123847
38.5	120.043	114.5	3.37005 0.117228
39.5	115.584	110	3.43871 0.120194
40.5	110.578	105.5	3.19688 0.107756
41.5	95.4008	101	3.39666 0.0672136
42.5	90.9797	97	3.3854 0.0730629
43.5	87.6032	93	3.38855 0.0690229
44.5	82.4555	89	3.50254 0.0711768
45.5	79.542	85.5	3.39828 0.0834076
46.5	76.2106	82	3.36219 0.0685223
47.5	71.4493	78.5	3.44043 0.0775425
48.5	68.6503	75	3.43566 0.0688042
49.5	64.1843	71.5	3.48736 0.078952
50.5	60.8016	68.5	3.2817 0.0744645
51.5	57.5133	65	3.42986 0.0657681
52.5	53.9891	61.5	3.54345 0.0777609
53.5	51.2351	58.5	3.47332 0.0765372
54.5	49.2422	56	3.39761 0.0899399
55.5	46.3765	53.5	3.4983 0.0742562
56.5	43.4107	50.5	3.54023 0.0733917
57.5	41.4004	48	3.49543 0.0946525
58.5	38.2329	45.5	3.63052 0.0740592
59.5	35.8919	43	3.53056 0.0875084
60.5	34.1301	41	3.60449 0.0912874
61.5	31.5632	38.5	3.6254 0.0747611
62.5	29.2216	36	3.64352 0.08656
63.5	27.2529	34	3.76036 0.0863135
64.5	25.4615	32	3.83477 0.08786
65.5	23.4401	30	3.78958 0.0855681
66.5	22.2147	28	4.04701 0.0901963
67.5	20.6844	26.5	4.12119 0.128056
68.5	19.0608	25	4.17014 0.0862411
69.5	17.4793	23	4.2928 0.0918559
70.5	16.0762	21.5	4.35133 0.134586
71.5	14.2377	20	4.63276 0.117855
72.5	13.1409	18.5	4.83546 0.154447
73.5	12.2663	17.5	4.73475 0.154679
74.5	11.3689	16.5	5.45605 0.177758
75.5	10.2166	15	5.35358 0.122568
76.5	9.04933	13.5	5.24182 0.168607
77.5	8.24322	12.5	5.28897 0.156802
78.5	7.55578	11.5	5.77019 0.158744
79.5	6.74383	10.5	5.76991 0.154914
80.5	nan	9.5	nan nan
81.5	nan	9	nan nan
82.5	nan	8.5	nan nan
83.5	nan	7.5	nan nan
84.5	nan	6.5	nan nan
85.5	nan	6	nan nan
86.5	nan	5.5	nan nan
87.5	nan	5	nan nan
88.5	nan	4.5	nan nan
89.5	nan	4	nan nan
90.5	nan	3.5	nan nan
91.5	nan	3	nan nan
92.5	nan	3	nan nan
93.5	nan	2.5	nan nan
94.5	nan	2	nan nan
95.5	nan	2	nan nan
96.5	nan	2	nan nan
97.5	nan	1.5	nan nan
98.5	nan	1	nan nan
99.5	nan	0	nan nan
