Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	480.783	361	0.00542022 8.33746e-05	 0.0316807 0.000289762	 0.0172733 0.000157404	 0.0104792 9.17044e-05	 0.00515546 4.68638e-05	 0.00242687 2.53015e-05	 
15	318.587	264	0.00768962 0.000115204	 0.0566816 0.000322633	 0.0211681 0.000184942	 0.0134422 0.000121701	 0.00657229 6.04325e-05	 0.0035148 3.77447e-05	 
25	215.197	190	0.0114785 0.000171632	 0.0736191 0.000383525	 0.0235254 0.000205794	 0.016251 0.000147229	 0.00868008 8.07912e-05	 0.00471146 4.78449e-05	 
35	141.283	133	0.0157411 0.000259037	 0.0852399 0.000474846	 0.0253543 0.000217643	 0.0199955 0.000182736	 0.0104775 9.56795e-05	 0.00566071 5.83009e-05	 
45	80.9361	89	0.0283973 0.000213917	 0.0863271 0.000329669	 0.0253095 0.000134175	 0.0217871 0.000116585	 0.0112116 6.1538e-05	 0.00579912 3.59209e-05	 
55	47.8844	56	0.0341656 0.000251462	 0.0903581 0.000373737	 0.0259107 0.000130302	 0.0237403 0.000126841	 0.0117569 6.12187e-05	 0.00584353 3.50096e-05	 
65	24.8782	32	0.0389782 0.000301625	 0.0930303 0.00040968	 0.023992 0.000120795	 0.024034 0.00013293	 0.0110606 5.77223e-05	 0.00537412 3.24393e-05	 
75	10.8218	16	0.0413267 0.000352876	 0.0869453 0.000509392	 0.0171387 0.000116065	 0.0205129 0.000142828	 0.00794104 5.48532e-05	 0.00436581 3.32196e-05	 
85	nan	7	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
95	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
