Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	529.174	386.5	0.00486774 0.000101307	 0.0229486 0.000286519	 0.0158314 0.000207019	 0.0097093 0.000114931	 0.00466204 5.68876e-05	 0.00219845 3.0696e-05	 
7.5	431.45	331.5	0.00593069 0.000127295	 0.0386001 0.000384473	 0.0186287 0.000229108	 0.0112097 0.000137934	 0.00561401 7.05754e-05	 0.00263946 3.83929e-05	 
12.5	349.941	283.5	0.00726197 0.000151706	 0.051486 0.000391392	 0.0204801 0.000244444	 0.0126731 0.000157075	 0.00613113 7.46928e-05	 0.00318358 4.57716e-05	 
17.5	285.565	241.5	0.00811571 0.00017214	 0.0616823 0.000472013	 0.0218693 0.000276475	 0.0142072 0.000182884	 0.00700696 9.26726e-05	 0.00383282 5.77262e-05	 
22.5	237.528	205	0.0103253 0.000218427	 0.0702728 0.000504861	 0.0227798 0.000285678	 0.0155948 0.000202059	 0.0081088 0.00010454	 0.00440757 6.54159e-05	 
27.5	192.807	173	0.0125286 0.000255678	 0.0768281 0.000560842	 0.0242501 0.000294766	 0.0168834 0.000212302	 0.00921737 0.000119877	 0.00499764 6.8689e-05	 
32.5	157.508	144.5	0.014548 0.000314466	 0.0826528 0.000628675	 0.024856 0.00030647	 0.0188172 0.000241554	 0.010089 0.00013292	 0.0054192 7.74407e-05	 
37.5	124.917	119.5	0.0168593 0.000399873	 0.0877721 0.000702525	 0.0258472 0.000308747	 0.0211175 0.000268609	 0.0108553 0.000136832	 0.00589428 8.62084e-05	 
42.5	90.8849	97.5	0.0259292 0.000271649	 0.0856161 0.000450544	 0.0252053 0.000191633	 0.0212265 0.000160851	 0.0110597 8.77269e-05	 0.00577865 5.18492e-05	 
47.5	71.8896	78.5	0.0304685 0.000314507	 0.0869686 0.000477057	 0.0254038 0.000187779	 0.0222846 0.000166884	 0.011348 8.61732e-05	 0.00581767 4.98199e-05	 
52.5	54.9138	62.5	0.032303 0.000320888	 0.0894722 0.000509674	 0.0261096 0.00018898	 0.0234435 0.000174646	 0.011817 8.94123e-05	 0.00585604 5.01551e-05	 
57.5	41.2538	48.5	0.0358338 0.000376251	 0.0911858 0.00054333	 0.0257217 0.00017977	 0.024017 0.000182992	 0.0116999 8.38814e-05	 0.0058317 4.89046e-05	 
62.5	29.5373	36.5	0.0380723 0.000415861	 0.0925341 0.000573617	 0.0250769 0.000178064	 0.0241834 0.000192081	 0.0115013 8.39055e-05	 0.00554554 4.81123e-05	 
67.5	20.3879	26.5	0.0398318 0.000434811	 0.093506 0.000584278	 0.0228979 0.000161091	 0.023889 0.000184011	 0.0106185 7.86682e-05	 0.00520357 4.33057e-05	 
72.5	13.5752	19	0.0425026 0.000543383	 0.0900556 0.0007581	 0.018994 0.000179762	 0.0219336 0.000224585	 0.0088403 8.57342e-05	 0.00467821 5.27027e-05	 
77.5	8.55858	13	0.0403345 0.00046047	 0.0843029 0.000684786	 0.0154478 0.000141812	 0.0192668 0.000177792	 0.00711727 6.56681e-05	 0.00409119 4.08698e-05	 
82.5	nan	8	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
87.5	nan	5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
92.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	1.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
