Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	480.783	361	-1.59304e-09 1.92596e-10	-6.94582e-09 3.29812e-08	5.05044e-11 3.4743e-09	9.43372e-10 4.05128e-10	3.86286e-12 2.70349e-11	-1.0683e-11 2.23743e-12	
15	318.587	264	-6.30037e-09 6.75361e-10	6.14354e-06 1.90236e-07	9.32651e-09 7.25214e-09	-7.80008e-10 1.57058e-09	-1.04705e-10 8.48565e-11	-6.71762e-11 1.41613e-11	
25	215.197	190	-2.9901e-08 2.852e-09	1.96584e-05 5.31488e-07	2.07131e-08 1.04129e-08	-3.31707e-12 2.32122e-09	-3.14804e-10 2.67305e-10	-1.2629e-10 2.57166e-11	
35	141.283	133	-1.39169e-07 2.1157e-08	3.30037e-05 9.91961e-07	4.55063e-08 1.15829e-08	-1.37383e-09 5.08031e-09	-8.47656e-11 4.42566e-10	-2.88235e-10 6.68108e-11	
45	80.9361	89	-6.29572e-07 4.42615e-08	2.74408e-05 6.96007e-07	1.0303e-08 8.52766e-09	1.51892e-09 5.92729e-09	-7.11339e-10 3.82349e-10	-3.74121e-10 6.09257e-11	
55	47.8844	56	-1.42708e-06 1.03897e-07	2.355e-05 8.65312e-07	1.98512e-08 7.37854e-09	-2.51042e-08 6.7954e-09	-4.75457e-10 3.71886e-10	-4.15899e-10 5.36054e-11	
65	24.8782	32	-3.08343e-06 2.66708e-07	1.82265e-05 9.93467e-07	3.63735e-09 6.23149e-09	-6.45731e-08 7.67534e-09	-9.36981e-10 3.17972e-10	-3.51559e-10 3.57655e-11	
75	10.8218	16	-2.70501e-06 2.27538e-07	5.27968e-06 1.00696e-06	-1.83372e-08 2.72355e-09	-4.98944e-08 5.44357e-09	-1.03983e-09 1.61044e-10	-1.9276e-10 2.24876e-11	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
