Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
2.5	529.174	386.5	-9.13511e-10 1.20778e-10	1.48188e-08 1.14968e-08	-2.40131e-09 3.35016e-09	1.32471e-09 3.39497e-10	4.52453e-11 1.88925e-11	-4.28594e-12 1.5661e-12	
7.5	431.45	331.5	-2.15276e-09 3.50158e-10	9.07801e-07 6.92089e-08	1.19319e-08 5.92832e-09	1.54928e-09 7.12544e-10	5.82937e-11 4.75546e-11	-1.26085e-11 3.88726e-12	
12.5	349.941	283.5	-4.98168e-09 7.30069e-10	4.42513e-06 1.82002e-07	1.5409e-08 6.93753e-09	4.22332e-10 2.04524e-09	6.99264e-11 5.69549e-11	-3.32074e-11 9.13636e-12	
17.5	285.565	241.5	-7.5124e-09 1.127e-09	9.3194e-06 3.7385e-07	6.47127e-09 1.26728e-08	-3.01843e-10 2.34084e-09	-1.52793e-10 1.53262e-10	-8.16639e-11 2.57023e-11	
22.5	237.528	205	-1.96031e-08 2.72971e-09	1.67094e-05 6.23867e-07	1.1101e-08 1.38225e-08	-1.38464e-09 2.70706e-09	-5.65225e-11 3.18204e-10	-1.29172e-10 3.36909e-11	
27.5	192.807	173	-3.76871e-08 4.71152e-09	2.35463e-05 8.87343e-07	3.51381e-08 1.55264e-08	3.13542e-09 3.71102e-09	-2.04364e-10 4.133e-10	-9.2561e-11 3.84034e-11	
32.5	157.508	144.5	-8.18719e-08 1.1475e-08	3.02988e-05 1.22463e-06	3.00411e-08 1.72828e-08	1.71503e-10 5.44747e-09	-5.35962e-10 6.71167e-10	-2.04581e-10 5.99508e-11	
37.5	124.917	119.5	-1.91669e-07 3.98465e-08	3.64964e-05 1.59315e-06	6.36416e-08 1.57681e-08	5.54251e-09 8.46359e-09	6.28973e-10 5.93323e-10	-3.43601e-10 1.16334e-10	
42.5	90.8849	97.5	-3.6722e-07 3.30005e-08	2.91518e-05 9.36003e-07	1.82884e-08 1.34154e-08	1.04652e-08 5.05464e-09	-5.8552e-10 5.69781e-10	-3.67424e-10 5.19538e-11	
47.5	71.8896	78.5	-8.05705e-07 7.44099e-08	2.59368e-05 1.02246e-06	3.13778e-09 1.07976e-08	-4.59685e-09 1.02089e-08	-7.85977e-10 5.15088e-10	-3.80015e-10 1.06226e-10	
52.5	54.9138	62.5	-8.81774e-07 7.66683e-08	2.59332e-05 1.14292e-06	1.81093e-08 1.09883e-08	-5.45257e-09 8.39308e-09	-9.78606e-10 5.78656e-10	-4.06186e-10 7.28481e-11	
57.5	41.2538	48.5	-1.88526e-06 1.81973e-07	2.13951e-05 1.28978e-06	2.18867e-08 9.89944e-09	-4.29216e-08 1.04955e-08	6.51196e-12 4.72137e-10	-4.24982e-10 7.83487e-11	
62.5	29.5373	36.5	-2.69545e-06 4.18977e-07	1.93761e-05 1.39587e-06	1.37403e-08 1.04974e-08	-7.10318e-08 1.20908e-08	-3.30309e-10 4.81828e-10	-4.1682e-10 5.89774e-11	
67.5	20.3879	26.5	-3.4389e-06 3.33223e-07	1.71507e-05 1.41366e-06	4.62679e-09 6.46568e-09	-5.81517e-08 9.52519e-09	-1.14738e-09 4.16685e-10	-2.75399e-10 3.96922e-11	
72.5	13.5752	19	-3.09393e-06 3.85961e-07	1.01875e-05 1.70435e-06	-8.85632e-09 4.52135e-09	-5.78818e-08 1.00236e-08	-7.41504e-10 3.02154e-10	-2.45647e-10 4.10302e-11	
77.5	8.55858	13	-2.35621e-06 2.62461e-07	2.15328e-06 1.17891e-06	-1.26706e-08 3.06528e-09	-3.24361e-08 4.65644e-09	-6.02918e-10 1.13149e-10	-1.25377e-10 2.03436e-11	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
