Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	480.783	361	-0.288162 0.423514	0.154333 2.31049	0.528864 0.0550679	
15	318.587	264	0.878341 0.00402938	0.464246 0.085963	-0.393147 0.315648	
25	215.197	190	0.904475 0.00301616	0.509946 0.062303	-0.0830441 3.17256	
35	141.283	133	0.889197 0.00367319	0.576058 0.0357527	-0.304474 0.354146	
45	80.9361	89	0.838401 0.00361625	0.398068 0.0799415	0.28654 0.219951	
55	47.8844	56	0.770958 0.00561955	0.458107 0.042026	-0.530213 0.0361523	
65	24.8782	32	0.702346 0.00809119	0.32369 0.133167	-0.663266 0.0196776	
75	10.8218	16	0.551322 0.0247263	-0.678977 0.0247572	-0.728594 0.0197406	
85	nan	7	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	
