Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	529.174	386.5	0.48078 0.0911072	-0.442175 0.176485	0.621359 0.0379546	
7.5	431.45	331.5	0.799668 0.0122329	0.561041 0.0669837	0.559677 0.0617752	
12.5	349.941	283.5	0.890826 0.00515681	0.544016 0.059614	0.357709 0.273101	
17.5	285.565	241.5	0.89575 0.00445382	0.410121 0.17651	-0.293384 0.469998	
22.5	237.528	205	0.909816 0.00383743	0.4506 0.127514	-0.391161 0.217707	
27.5	192.807	173	0.906693 0.00406755	0.564588 0.0604529	0.443216 0.12453	
32.5	157.508	144.5	0.897634 0.00453288	0.52966 0.0742098	0.192315 1.70993	
37.5	124.917	119.5	0.885535 0.00533908	0.6145 0.0358756	0.408586 0.149805	
42.5	90.8849	97.5	0.858244 0.00423812	0.461373 0.0806439	0.476496 0.0565729	
47.5	71.8896	78.5	0.820572 0.00578859	0.294616 0.237093	-0.369496 0.148968	
52.5	54.9138	62.5	0.797583 0.00638988	0.444298 0.0662853	-0.366546 0.149631	
57.5	41.2538	48.5	0.74585 0.00932991	0.472874 0.0525642	-0.599309 0.0369041	
62.5	29.5373	36.5	0.716992 0.0108169	0.431743 0.0803064	-0.675065 0.0286134	
67.5	20.3879	26.5	0.688226 0.0120832	0.360184 0.122483	-0.650043 0.0268759	
72.5	13.5752	19	0.627345 0.0238323	-0.510738 0.0667486	-0.707172 0.030855	
77.5	8.55858	13	0.454394 0.0601873	-0.686804 0.0410753	-0.696542 0.0253384	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
