Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	724.507	387	0.00227017 0.0456523	0.938437 0.00384879	0.947067 0.00359286	
7.5	594.917	332.5	0.120943 0.043909	0.96054 0.00214876	0.935023 0.00415435	
12.5	494.407	284.5	0.031064 0.0450378	0.968087 0.001833	0.923039 0.0052181	
17.5	404.746	242	0.0286048 0.0428269	0.972884 0.00155787	0.922355 0.00565638	
22.5	332.257	204.5	0.121089 0.047682	0.974946 0.00138608	0.91169 0.00697252	
27.5	271.306	171.5	0.0666619 0.0401119	0.975236 0.00159129	0.890274 0.00845051	
32.5	217.339	142.5	0.119645 0.0386496	0.973923 0.00153087	0.886677 0.0081464	
37.5	174.788	117	0.183178 0.0345211	0.965176 0.00319894	0.852815 0.0116962	
42.5	138.482	95	0.145197 0.0387428	0.964751 0.00228315	0.848965 0.0112372	
47.5	107.448	76	0.158668 0.0338124	0.953513 0.00379949	0.812773 0.0140689	
52.5	82.1892	59.5	0.206775 0.0379497	0.946225 0.00378915	0.779193 0.0150651	
57.5	61.7917	45.5	0.22199 0.0351773	0.930333 0.0050646	0.756224 0.0186329	
62.5	44.3418	34	0.161248 0.0387345	0.894592 0.0085931	0.687789 0.0214454	
67.5	31.3257	25	0.151016 0.0399438	0.844998 0.0122065	0.631138 0.022565	
72.5	21.3776	17.5	0.0608988 0.0369395	0.781219 0.0151408	0.50835 0.0270225	
77.5	13.3742	12	0.145385 0.0385593	0.705883 0.0173357	0.480912 0.0295824	
82.5	7.97044	8	0.310353 0.0319082	0.589331 0.0222176	0.330066 0.0316601	
87.5	4.343	5	0.318597 0.0358477	0.588886 0.0216557	0.324993 0.0339738	
92.5	1.97101	3	0.281604 0.0306681	0.49781 0.0248165	0.242744 0.0258586	
97.5	0.522167	2	0.0926888 0.0391835	0.345266 0.0370562	0.155874 0.0467562	
