Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	799.529	408.5	0.253674 0.00015975	0.248738 0.016414	0.291663 0.767055	0.190439 0.000398625	0.1828 0.00105322	0.29655 0.0234457	
1.5	753.954	396	0.252393 0.000237942	0.245436 0.000692766	0.386305 0.0171715	0.179357 0.000444882	0.180966 0.00126206	-0.0812475 0.0220399	
2.5	715.15	385.5	0.250521 0.000200709	0.253594 0.00056203	-0.114903 0.00941577	0.168303 0.000233133	0.156583 0.000926815	0.600645 0.074775	
3.5	686.935	374.5	0.240997 0.000465867	0.250437 0.00159174	-0.221948 0.0363948	0.1692 0.000342518	0.166239 0.001337	0.100781 0.0629285	
4.5	662.559	363.5	0.227995 0.000270923	0.230368 0.00132729	-0.0718394 0.0594481	0.165872 0.000179092	0.165012 0.000690511	0.0219116 0.0265782	
5.5	640.155	353	0.23373 0.000201486	0.23727 3.34874e-05	-0.0854464 0.0230341	0.170404 0.000414076	0.168553 0.000722594	0.0556751 0.00468108	
6.5	618.811	342.5	0.235555 0.000123121	0.234317 0.000477341	0.0258796 0.0128584	0.17048 0.000186898	0.174842 0.000610938	-0.120875 0.00984846	
7.5	594.491	332	0.231465 0.000635088	0.219901 0.00403883	0.212283 0.115826	0.162725 4.65791e-05	0.170632 0.00013214	-0.17595 0.00221887	
8.5	570.345	322	0.227781 0.000296767	0.218342 0.00269223	0.145792 0.0683268	0.163949 0.000283722	0.167447 0.00105798	-0.104098 0.0743429	
9.5	548.699	312	0.222522 0.000388936	0.221371 0.00277736	0.0186691 0.0658801	0.162031 0.000218243	0.166517 0.00160567	-0.127343 0.0714197	
10.5	532.236	302.5	0.222629 0.000391756	0.201535 0.000794537	0.303646 0.00921978	0.157087 2.67655e-05	0.158724 0.00267099	-0.0353782 0.0755092	
11.5	512.533	293	0.228144 5.43e-05	0.223023 0.000293582	0.0654456 0.0051797	0.162332 0.000614644	0.164033 0.00178118	-0.0336841 0.05537	
12.5	491.503	283.5	0.22543 0.000492812	0.204214 0.0180629	0.236152 0.177937	0.147432 0.000163459	0.156235 0.000363279	-0.191891 0.0279573	
13.5	473.147	274.5	0.219656 0.000732918	0.206096 0.0103909	0.150069 0.12229	0.143781 0.000241798	0.147544 0.00504665	-0.0913794 0.126273	
14.5	456.156	266	0.219395 0.000625483	0.200575 0.00725494	0.181743 0.088561	0.144487 0.00127038	0.146281 0.0844225	-0.0505351 1.30105	
15.5	435.51	257.5	0.215011 0.000235658	0.21114 0.00146108	0.0352414 0.0136242	0.146603 9.30159e-05	0.145085 0.00517548	0.0230349 0.0776313	
16.5	419.706	249	0.211711 4.43432e-05	0.181797 0.0262441	0.259925 0.163991	0.138042 0.000392762	0.139881 0.00113539	-0.0325299 0.0196672	
17.5	404.311	241	0.216508 0.000697228	0.203238 0.00596022	0.0990325 0.0508561	0.141127 9.90179e-06	0.140256 7.26244e-05	0.0148631 0.00581414	
18.5	390.494	233	0.211079 0.000270705	0.196316 0.00758163	0.11897 0.0716934	0.135401 0.000125887	0.142077 0.000289154	-0.0914957 0.000925717	
19.5	373.313	225.5	0.213834 0.000250278	0.192994 0.00789685	0.172524 0.0802194	0.135594 0.000648185	0.133197 0.00050981	0.0324942 0.00972307	
20.5	361.102	218	0.211633 0.000288034	0.19936 0.000588156	0.0845799 0.0114641	0.142509 0.000418574	0.149829 0.000622057	-0.112383 0.0337617	
21.5	346.835	210.5	0.210036 0.000989834	0.200078 0.0290297	0.0661422 0.159852	0.131786 0.000303611	0.13317 0.000968608	-0.0234224 0.0130447	
22.5	330.49	203.5	0.20257 5.62043e-05	0.194084 0.000532447	0.057105 0.00905858	0.128129 0.000283	0.134869 4.79783e-05	-0.103276 0.0153414	
23.5	318.551	196.5	0.210718 0.000366259	0.204361 0.0066465	0.0442835 0.0553784	0.137352 2.33424e-05	0.136107 6.63086e-05	0.0161709 0.000921132	
24.5	308.91	190	0.209344 8.73345e-05	0.191803 0.000570409	0.0937517 0.00146616	0.129381 0.000115907	0.129453 0.00164918	-0.000758348 0.0283837	
25.5	292.644	183.5	0.204933 6.30756e-05	0.190362 0.00825046	0.0856754 0.0598532	0.122142 0.00011363	0.117888 0.000591526	0.0577111 0.013712	
26.5	281.379	177	0.204858 5.80611e-05	0.187083 0.0172988	0.0919844 0.0823761	0.125646 3.89947e-06	0.117714 1.36034e-05	0.0852594 0.00105757	
27.5	270.123	171	0.203321 9.42563e-05	0.169321 0.0204565	0.181603 0.098036	0.115599 0.000326738	0.113344 0.000895744	0.0277438 0.00596777	
28.5	259.356	165	0.1999 0.000101981	0.182167 0.000572071	0.0982032 0.00613729	0.118527 0.000759485	0.110645 0.00562387	0.0924767 0.0728826	
