Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	658.492	361.5	0.00720078 0.000169082	 0.0378929 0.000597049	 0.0225394 0.000363573	 0.012089 0.000180125	 0.00599043 8.94196e-05	 0.00277959 4.17189e-05	 
15	446.746	264.5	0.00950568 0.000226079	 0.0606019 0.000729006	 0.0262175 0.000398898	 0.0143026 0.000204671	 0.00656329 9.36198e-05	 0.00327352 4.93337e-05	 
25	301.179	189	0.0116686 0.000287896	 0.0770824 0.000768474	 0.0286948 0.000448171	 0.0149173 0.000222233	 0.00712837 0.000109391	 0.00360492 5.48396e-05	 
35	196.026	130.5	0.0135244 0.000299919	 0.0873539 0.000932862	 0.0300972 0.000443488	 0.0153498 0.000229128	 0.0074607 0.000112527	 0.00365955 6.22964e-05	 
45	122.521	86	0.0154915 0.000372538	 0.0906009 0.00101047	 0.029728 0.000404497	 0.0154664 0.000235373	 0.00727974 0.000107136	 0.00349086 6.02887e-05	 
55	72.2989	53	0.0178564 0.000470493	 0.092195 0.00107947	 0.0275199 0.000406355	 0.0151967 0.000254921	 0.00642755 0.000102546	 0.00328891 6.01365e-05	 
65	37.7746	30	0.0169766 0.000429428	 0.0841479 0.00107642	 0.0214563 0.000346378	 0.0133069 0.000251762	 0.00503641 8.85504e-05	 0.00270042 6.04263e-05	 
75	17.2745	15.5	0.0125287 0.000309116	 0.0662289 0.00101285	 0.0137067 0.000259227	 0.00957646 0.000214241	 0.00298669 6.7731e-05	 0.0016636 3.96341e-05	 
85	6.22389	7	0.00909412 0.000300033	 0.0371896 0.000899714	 0.00611199 0.000176499	 0.00349612 0.000151345	 0.000893532 4.07388e-05	 0.000669305 2.2268e-05	 
95	1.28311	3	0.00225842 0.000147674	 0.0128028 0.000575686	 0.00101412 6.31788e-05	 0.000306559 3.182e-05	 0.000100985 6.53596e-06	 0.000120323 9.07452e-06	 
