Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	724.507	387	1.52182e-13 1.11269e-13	-1.61016e-11 3.86076e-11	3.72188e-12 4.69112e-12	-5.07182e-14 8.95451e-14	3.04129e-15 1.98354e-15	4.01981e-18 2.19656e-17	
7.5	594.917	332.5	5.49145e-14 7.86956e-14	8.86869e-10 3.17521e-10	-4.92153e-12 7.8182e-12	3.3719e-13 1.95524e-13	-3.9882e-16 2.26439e-15	1.18078e-17 1.87342e-17	
12.5	494.407	284.5	1.0093e-12 8.55569e-13	5.25633e-09 1.38619e-09	2.03371e-11 1.54354e-11	4.50292e-14 3.762e-13	2.46592e-15 3.09242e-15	-8.62227e-17 4.85915e-17	
17.5	404.746	242	3.99014e-13 3.6206e-13	2.17548e-08 3.41476e-09	3.5005e-11 1.79589e-11	6.56024e-13 3.48084e-13	4.8887e-15 3.67646e-15	-8.47577e-18 5.83774e-17	
22.5	332.257	204.5	3.31011e-12 3.03731e-12	7.1154e-08 8.86149e-09	1.9772e-11 2.88886e-11	5.95268e-14 4.04346e-13	-8.60203e-15 6.37699e-15	9.07887e-17 1.29122e-16	
27.5	271.306	171.5	2.55844e-12 1.85926e-12	1.12064e-07 1.42091e-08	4.33362e-11 7.73336e-11	3.5894e-13 6.342e-13	2.38287e-15 5.38599e-15	4.34264e-17 1.05406e-16	
32.5	217.339	142.5	7.83911e-12 7.02224e-12	1.54746e-07 1.92209e-08	-1.91007e-11 2.80877e-11	-2.44911e-13 4.81271e-13	1.06125e-14 8.76323e-15	1.23698e-16 1.52209e-16	
37.5	174.788	117	8.70254e-13 1.47208e-12	1.45308e-07 2.4754e-08	-5.29577e-11 3.60293e-11	-4.90341e-13 6.45417e-13	1.18894e-15 9.45978e-15	9.3452e-16 1.06218e-15	
42.5	138.482	95	7.11627e-12 4.67302e-12	1.7804e-07 2.88194e-08	4.62645e-11 2.78201e-11	-5.2487e-13 5.78794e-13	6.66742e-15 6.90851e-15	-7.05339e-17 2.25549e-16	
47.5	107.448	76	2.2016e-11 1.75548e-11	1.31314e-07 2.48828e-08	3.41124e-11 3.0022e-11	6.52419e-13 1.44095e-12	-1.16467e-14 6.76175e-15	1.39974e-16 2.23247e-16	
52.5	82.1892	59.5	3.00109e-11 1.85091e-11	1.60438e-07 3.17345e-08	-8.76118e-12 2.38209e-11	1.89538e-13 1.53703e-12	2.17875e-15 7.95181e-15	7.1265e-16 7.81981e-16	
57.5	61.7917	45.5	9.44395e-11 6.47406e-11	1.10303e-07 2.86338e-08	5.45495e-13 1.67815e-11	-2.66215e-12 8.12995e-13	-5.58877e-16 2.389e-15	1.12208e-16 1.24475e-16	
62.5	44.3418	34	1.7051e-11 1.03322e-11	6.60809e-08 2.09955e-08	2.43785e-12 8.52787e-12	-2.86633e-13 4.3804e-13	-4.51629e-15 1.4442e-15	4.22924e-16 2.3434e-16	
67.5	31.3257	25	1.4912e-11 1.40639e-11	2.07312e-08 1.2505e-08	-8.46136e-12 2.445e-12	-1.53137e-12 5.26285e-13	-3.36133e-16 1.17399e-15	3.86e-17 7.58072e-17	
72.5	21.3776	17.5	-6.77591e-13 1.12541e-12	-2.59168e-09 6.28589e-09	-7.41399e-13 1.22239e-12	-4.47789e-13 2.12547e-13	-2.26482e-16 2.06003e-16	1.14036e-18 7.10072e-18	
77.5	13.3742	12	2.96473e-12 2.12966e-12	-1.46099e-08 2.43169e-09	-6.30426e-13 2.49266e-13	-1.50458e-13 4.76818e-14	1.01775e-16 7.61276e-17	1.4983e-18 2.87129e-18	
82.5	7.97044	8	3.82164e-12 2.03538e-12	-4.32977e-09 9.47877e-10	-3.02671e-14 3.69539e-14	4.60146e-14 2.20632e-14	5.92219e-17 5.38301e-17	9.54039e-19 7.32896e-19	
87.5	4.343	5	2.30145e-13 9.71992e-14	-2.72642e-10 2.27075e-10	5.16185e-14 2.74069e-14	6.66811e-16 1.53687e-16	1.15339e-18 5.26558e-19	1.9013e-20 7.59721e-21	
92.5	1.97101	3	2.45357e-14 9.54841e-15	2.44207e-11 1.46585e-11	1.28538e-16 4.94939e-17	1.28346e-18 7.22229e-19	2.72074e-22 1.59046e-22	1.05647e-21 5.46285e-22	
97.5	0.522167	2	5.04989e-19 3.97633e-19	5.69147e-13 1.79633e-13	1.54334e-22 6.26613e-23	2.58433e-23 9.28082e-24	2.65752e-26 1.88781e-26	3.99561e-26 1.87613e-26	
