Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	1287.31	387.5	0.0253604 0.0329637	0.974398 0.0018965	0.894305 0.00654661	
7.5	1042.01	334	0.00220247 0.0327682	0.990086 0.000627737	0.920681 0.00519838	
12.5	857.153	287	0.0405788 0.0324419	0.99368 0.000406834	0.934067 0.0044141	
17.5	702.365	245	0.0023567 0.0323825	0.995009 0.000358196	0.933069 0.00435887	
22.5	574.769	207.5	0.0397896 0.0336315	0.995892 0.000240014	0.936873 0.00410425	
27.5	469.921	175	0.0212896 0.0311165	0.99599 0.000227421	0.944691 0.0037714	
32.5	341.285	146.5	0.0753571 0.0328011	0.99505 0.000386449	0.932834 0.00510942	
37.5	336.087	121	0.0462071 0.0321872	0.995572 0.000321373	0.943929 0.00386692	
42.5	207.441	99	0.0776929 0.0350703	0.994134 0.00047089	0.921284 0.00572097	
47.5	209.941	80	0.0972513 0.0356537	0.991754 0.00265414	0.928707 0.00558289	
52.5	124.479	63	0.0445011 0.0177376	0.0578068 0.0255512	0.0874689 0.0329084	
57.5	122.824	48.5	inf nan	inf nan	0.00731787 0.0379597	
62.5	nan	37	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
