Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	1402.46	408.5	0.210524 0.000104746	0.210397 0.00335438	0.00867626 0.324296	0.142231 0.000659348	0.142556 0.00166389	-0.0238285 0.0433889	
1.5	1338.18	396	0.212864 0.000466283	0.218052 0.00527189	-0.317445 0.382667	0.162571 5.28159e-05	0.158866 0.000180021	0.237501 0.00748066	
2.5	1286.41	386	0.211822 0.000619654	0.214324 0.00802982	-0.135212 0.446402	0.149557 0.000662068	0.14159 0.0018002	0.434529 0.039624	
3.5	1232.11	375.5	0.217526 0.000287259	0.220032 0.049266	-0.0957645 1.17471	0.150182 0.000313162	0.164468 0.0191519	-0.720766 0.631748	
4.5	1168.93	364.5	0.217786 0.000112748	0.222229 0.000203597	-0.135319 0.00313964	0.16148 0.000276553	0.145641 0.000283629	0.907342 0.0545776	
5.5	1131.9	354	0.220488 2.381e-05	0.224566 0.012608	-0.100686 0.310243	0.151816 0.000480069	0.151814 0.00176274	7.41232e-05 0.163209	
6.5	1088.72	344	0.215245 0.000642617	0.217721 0.0386852	-0.0604208 0.621034	0.152397 0.00021327	0.156179 0.000520413	-0.193731 0.00700409	
7.5	1044.11	334	0.219741 1.01061e-05	0.230856 0.00025981	-0.249289 0.0185199	0.1639 0.000765461	0.152658 0.0777514	0.397894 1.41481	
8.5	1001.19	324	0.222176 0.000163388	0.231928 0.00480611	-0.194189 0.129772	0.159802 0.000189347	0.151526 0.00234458	0.327436 0.135413	
9.5	958.348	314	0.219396 4.87177e-05	0.22366 0.0435477	-0.0657021 0.452955	0.162707 0.000545489	0.151599 0.00242614	0.437296 0.122365	
10.5	929.479	304.5	0.220118 0.000165301	0.220287 0.000444489	-0.00250977 0.0334725	0.152024 0.000384726	0.145244 0.00516777	0.217761 0.190123	
11.5	889.506	295.5	0.218248 0.000328005	0.224033 0.000366604	-0.081255 0.0333058	0.162821 1.33262e-05	0.162148 0.000157575	0.0250072 0.0203945	
