Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	1163.71	362.5	0.218309 1.59144e-05	0.220719 0.013261	-0.0562879 0.138895	0.156629 6.70975e-05	0.152324 0.000254987	0.200067 0.013526	
15	774.599	267	0.218572 2.27055e-05	0.219073 4.0131e-05	-0.00503963 0.000924723	0.157683 9.42344e-07	0.158804 2.77248e-06	-0.032181 0.000663715	
25	522.082	192.5	0.215836 5.30654e-07	0.209179 2.20243e-06	0.0403831 0.000247186	0.151012 6.82961e-06	0.147613 1.92958e-05	0.0634083 0.000367175	
35	338.719	134.5	0.215415 1.87217e-06	0.198094 6.75719e-05	0.0742946 0.00102117	0.141782 2.39987e-05	0.143736 0.000119029	-0.0261667 0.00324951	
45	208.477	90	0.213377 0	0.189357 0	0.0801372 0	0.128126 0	0.133308 0	-0.0513499 0	
55	123.767	56.5	0.206647 0	nan nan	nan nan	0.167587 0	nan nan	nan nan	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
