Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	1402.46	408.5	1.36786 0.0988538
1.5	1338.18	396	1.28144 0.0748033
2.5	1286.41	386	1.34493 0.0873627
3.5	1232.11	375.5	1.67293 0.0959264
4.5	1168.93	364.5	1.69698 0.123116
5.5	1131.9	354	1.8701 0.127669
6.5	1088.72	344	1.94275 0.120409
7.5	1044.11	334	1.81775 0.106962
8.5	1001.19	324	2.1061 0.123046
9.5	958.348	314	2.29699 0.133708
10.5	929.479	304.5	2.50161 0.155167
11.5	889.506	295.5	2.36544 0.138792
12.5	863.203	286.5	2.69398 0.133769
13.5	819.593	277.5	2.45181 0.134972
14.5	793.738	269	2.56539 0.152104
15.5	757.171	260.5	2.57697 0.144049
16.5	727.488	252	2.78496 0.197881
17.5	694.435	244	2.82691 0.1433
18.5	677.536	236.5	2.88343 0.152129
19.5	646.427	229	2.95643 0.169053
20.5	619.29	221.5	3.00083 0.155744
21.5	598.733	214	3.03942 0.186369
22.5	570.348	207	2.8654 0.175451
23.5	549.549	200.5	3.07639 0.184567
24.5	531.348	193.5	2.92383 0.182355
25.5	508.305	187	3.21638 0.204788
26.5	485.227	180.5	2.86466 0.162037
27.5	470.886	174	3.25269 0.16743
28.5	451.011	168	2.95279 0.189742
29.5	431.595	162.5	2.93653 0.18414
30.5	340.992	157	3.13642 0.201787
31.5	340.615	151	3.37045 0.212333
32.5	343.14	145.5	3.4063 0.23932
33.5	351.715	140.5	3.03071 0.189108
34.5	336.328	135.5	2.9694 0.2105
35.5	333.326	130.5	3.1727 0.168273
36.5	333.608	125.5	3.43669 0.23911
37.5	329.468	120.5	3.06075 0.205025
38.5	344.174	116	3.4584 0.271503
39.5	339.74	111.5	3.24675 0.166659
40.5	208.833	107	3.36726 0.185046
41.5	203.658	103	3.35161 0.273992
42.5	205.188	98.5	3.621 0.244968
43.5	208.301	94	3.3696 0.205345
44.5	209.377	90.5	3.50617 0.305831
45.5	209.605	87	3.15988 0.2032
46.5	208.168	83	2.9055 0.220223
47.5	210.089	79.5	3.3171 0.224155
48.5	205.462	76	2.9529 0.171264
49.5	213.919	72.5	3.33303 0.233548
50.5	146.93	69	2.85314 0.2914
51.5	120.281	65.5	3.07118 0.223411
52.5	117.716	62.5	2.87936 0.226236
53.5	115.469	59.5	3.30295 0.287367
54.5	118.952	56.5	3.18442 0.280288
55.5	127.248	54	3.27061 0.282626
56.5	120.153	51.5	3.46151 0.216666
57.5	123.306	48.5	3.11945 0.17712
58.5	121.553	46	2.74178 0.214058
59.5	120.458	43.5	2.85974 0.161118
60.5	nan	41	nan nan
61.5	nan	39	nan nan
62.5	nan	37	nan nan
63.5	nan	35	nan nan
64.5	nan	33	nan nan
65.5	nan	31	nan nan
66.5	nan	29	nan nan
67.5	nan	27	nan nan
68.5	nan	25	nan nan
69.5	nan	23.5	nan nan
70.5	nan	22	nan nan
71.5	nan	20.5	nan nan
72.5	nan	19	nan nan
73.5	nan	17.5	nan nan
74.5	nan	16.5	nan nan
75.5	nan	15.5	nan nan
76.5	nan	14	nan nan
77.5	nan	12.5	nan nan
78.5	nan	11.5	nan nan
79.5	nan	10.5	nan nan
80.5	nan	9.5	nan nan
81.5	nan	9	nan nan
82.5	nan	8.5	nan nan
83.5	nan	7.5	nan nan
84.5	nan	6.5	nan nan
85.5	nan	6	nan nan
86.5	nan	5.5	nan nan
87.5	nan	5	nan nan
88.5	nan	4.5	nan nan
89.5	nan	4	nan nan
90.5	nan	3.5	nan nan
91.5	nan	3	nan nan
92.5	nan	3	nan nan
93.5	nan	2.5	nan nan
94.5	nan	2	nan nan
95.5	nan	2	nan nan
96.5	nan	1.5	nan nan
97.5	nan	1	nan nan
98.5	nan	1	nan nan
99.5	nan	0	nan nan
