Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	1402.46	408.5	0.00461399 0.000219767	 0.018255 0.000942021	 0.0133456 0.000601861	 0.00875636 0.000419999	 0.00443439 0.000199454	 0.00275087 0.000120208	 
1.5	1338.18	396	0.00474683 0.000221726	 0.0206854 0.000852626	 0.0161423 0.0006802	 0.00979939 0.000435156	 0.00518276 0.000194525	 0.00288358 0.000116607	 
2.5	1286.41	386	0.00515728 0.000261806	 0.0219567 0.00096924	 0.0163255 0.000777494	 0.010587 0.000429003	 0.0054817 0.000254662	 0.00301102 0.000141625	 
3.5	1232.11	375.5	0.00530914 0.000257399	 0.0269692 0.00111754	 0.016121 0.00061469	 0.0111684 0.000491	 0.00602007 0.000291437	 0.0031275 0.00013588	 
4.5	1168.93	364.5	0.00531644 0.000265656	 0.0298854 0.00134193	 0.0176109 0.000944049	 0.0111884 0.000515514	 0.0060121 0.000285388	 0.00307939 0.000156267	 
5.5	1131.9	354	0.00579838 0.000258494	 0.0340839 0.00153011	 0.0182257 0.000836531	 0.0122491 0.000599087	 0.00662391 0.000344397	 0.00333414 0.000184124	 
6.5	1088.72	344	0.00582843 0.000317864	 0.0350339 0.00146816	 0.0180331 0.000751379	 0.0126093 0.000723822	 0.0065713 0.000342381	 0.00357877 0.000188335	 
7.5	1044.11	334	0.00569303 0.000358545	 0.0394054 0.00119607	 0.0216781 0.00108449	 0.0119489 0.000555325	 0.00682297 0.000259761	 0.00337196 0.000180248	 
8.5	1001.19	324	0.00599648 0.000333933	 0.0427757 0.00124383	 0.0203103 0.00103086	 0.0127134 0.000596211	 0.00714358 0.000317829	 0.00396447 0.000334107	 
9.5	958.348	314	0.00597393 0.000281974	 0.0480588 0.00149401	 0.0209225 0.00100943	 0.0141673 0.000694516	 0.00722741 0.000388353	 0.00395072 0.000174394	 
10.5	929.479	304.5	0.00569241 0.000234758	 0.0500027 0.0014837	 0.0199882 0.00106445	 0.013288 0.000506606	 0.00693644 0.000310849	 0.0038183 0.000159029	 
