Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	1163.71	362.5	0.00548704 9.50105e-05	 0.0330201 0.000516618	 0.018047 0.000296217	 0.0116331 0.000191081	 0.00619747 0.000100486	 0.00333907 6.60409e-05	 
15	774.599	267	0.00603904 0.000108742	 0.0602181 0.000585885	 0.0225407 0.000356117	 0.0149479 0.000225438	 0.00806891 0.000128439	 0.00445261 7.88502e-05	 
25	522.082	192.5	0.00655163 0.000139052	 0.0796399 0.000683886	 0.0263056 0.000454582	 0.0183535 0.000285656	 0.00978764 0.000166779	 0.00560547 9.56999e-05	 
35	338.719	134.5	0.0066961 0.000142758	 0.0946734 0.000898014	 0.029597 0.000497368	 0.0206357 0.000338408	 0.0116133 0.000192608	 0.00664901 0.000127721	 
45	208.477	90	0.00645482 0.000150417	 0.107155 0.00110582	 0.0323985 0.000553537	 0.0239983 0.000442637	 0.0129646 0.000226135	 0.00757019 0.00016351	 
55	123.767	56.5	0.00667442 0.00018429	 0.113484 0.00141661	 0.0369963 0.000705277	 0.0256759 0.000503888	 0.0138637 0.000275464	 0.00756443 0.00018494	 
65	nan	32.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
75	nan	16.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
85	nan	7	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
95	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
