Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
2.5	1287.31	387.5	3.39805e-12 5.34073e-11	6.32681e-09 3.22036e-08	7.15127e-09 4.53367e-09	1.68498e-09 7.6531e-10	6.39207e-11 6.21815e-11	1.2479e-11 4.65685e-12	
7.5	1042.01	334	-9.93641e-11 1.15115e-10	1.31708e-06 1.37518e-07	1.01495e-08 1.31219e-08	1.3179e-09 2.27102e-09	2.75792e-10 1.5637e-10	-9.19981e-11 1.10427e-10	
12.5	857.153	287	-1.46076e-10 1.64981e-10	6.13974e-06 3.98141e-07	1.87407e-08 1.72188e-08	1.0231e-08 2.47858e-09	2.31672e-10 3.12646e-10	-4.32282e-11 4.8565e-11	
17.5	702.365	245	-4.60569e-10 1.89762e-10	1.21502e-05 7.83824e-07	4.38004e-08 2.01492e-08	1.01691e-08 4.27997e-09	7.84784e-10 3.33119e-10	-1.4864e-11 5.35197e-11	
22.5	574.769	207.5	-2.56114e-09 1.12264e-09	2.28488e-05 1.28672e-06	-4.25594e-08 4.00526e-08	2.60607e-08 5.88629e-09	-3.73079e-10 5.76087e-10	-5.69524e-11 7.68851e-11	
27.5	469.921	175	-6.6761e-10 3.20485e-10	3.84029e-05 2.0167e-06	2.3044e-08 4.21823e-08	1.21272e-08 1.0114e-08	1.21906e-09 1.16754e-09	4.39912e-11 9.20709e-11	
32.5	341.285	146.5	-9.82694e-10 3.97169e-10	5.54563e-05 3.84884e-06	-5.48765e-08 1.18419e-07	1.43167e-08 1.45725e-08	6.36447e-10 1.72204e-09	-7.15266e-10 5.20832e-10	
37.5	336.087	121	-1.03074e-09 8.38696e-10	5.70261e-05 3.63778e-06	1.19997e-07 5.4583e-08	2.42887e-08 1.21705e-08	2.4993e-09 1.23441e-09	-1.64394e-10 1.5674e-10	
42.5	207.441	99	-1.04393e-09 4.19363e-10	9.84198e-05 6.92737e-06	1.09113e-07 7.48496e-08	-7.24928e-09 3.69403e-08	3.05433e-09 1.8647e-09	-5.6746e-10 5.79836e-10	
47.5	209.941	80	-7.39872e-10 3.81462e-10	8.44282e-05 6.53706e-06	2.63384e-07 9.29688e-08	2.92291e-08 2.44937e-08	5.12451e-09 2.00271e-09	-1.54041e-09 7.17962e-10	
52.5	124.479	63	-2.41136e-09 9.48522e-10	9.58912e-05 1.12379e-05	1.70377e-07 2.06364e-07	-2.07327e-09 5.28074e-08	-2.84837e-09 3.32668e-09	-2.82176e-09 1.18975e-09	
57.5	122.824	48.5	-1.67259e-09 6.12817e-10	9.62348e-05 9.14591e-06	5.78508e-08 1.65261e-07	-2.05762e-08 3.77571e-08	3.69825e-10 3.06259e-09	-1.07467e-09 5.4739e-10	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
