Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	1163.71	362.5	0.569007 0.0623114	0.351432 0.341244	0.342429 0.357244	
15	774.599	267	0.90278 0.00585758	0.582701 0.0665983	0.663415 0.0433931	
25	522.082	192.5	0.928101 0.00397956	-0.457786 0.181314	0.625461 0.057063	
35	338.719	134.5	0.915144 0.00566902	0.502234 0.138405	0.573329 0.0667915	
45	208.477	90	0.913917 0.00527541	0.643836 0.047667	0.432873 0.187164	
55	123.767	56.5	0.875503 0.00847849	0.444337 0.181062	-0.368147 0.353914	
65	nan	32.5	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	
