Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	1287.31	387.5	0.37428 0.338729	0.575744 0.0878982	0.61971 0.0666753	
7.5	1042.01	334	0.838274 0.0148771	0.50259 0.151086	0.472131 0.185274	
12.5	857.153	287	0.913865 0.00607757	0.54101 0.117764	0.708307 0.0392741	
17.5	702.365	245	0.913183 0.0067529	0.625205 0.0681889	0.645681 0.0643178	
22.5	574.769	207.5	0.927782 0.0050095	-0.5738 0.153085	0.714674 0.0355026	
27.5	469.921	175	0.936859 0.00450356	0.444384 0.19368	0.562884 0.112522	
32.5	341.285	146.5	0.912986 0.00939538	-0.51279 0.135815	0.524683 0.126901	
37.5	336.087	121	0.916458 0.00675591	0.633548 0.0675444	0.611238 0.072723	
42.5	207.441	99	0.916632 0.00718738	0.578513 0.0927961	-0.37979 0.357118	
47.5	209.941	80	0.910602 0.00781493	0.681623 0.0557072	0.554586 0.111552	
52.5	124.479	63	0.863354 0.0136621	0.545728 0.14768	-0.253541 1.14108	
57.5	122.824	48.5	0.884523 0.011263	0.417359 0.27242	-0.480715 0.304444	
62.5	nan	37	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
